stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(6,90,132)","{'ema1_period': 6, 'ema2_period': 90, 'ema3_period': 132}",Triple EMA crossover strategy,2.542978108015933,0.2803198876485,254297.8108015933,-0.20375635054566543,0.23048299643018857,1.1875427324322954,1.8097347593680104,,,,,,0.0857030515875677,14.0,78.57142857142857,25.093610185517754,0.11285115009830823,0.14959001565708452,0.02185802361720474,6.843711868777571,,,2.734883720930233,6.0,90.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(6,91,132)","{'ema1_period': 6, 'ema2_period': 91, 'ema3_period': 132}",Triple EMA crossover strategy,2.542978108015933,0.2803198876485,254297.8108015933,-0.20375635054566543,0.23048299643018857,1.1875427324322954,1.8097347593680104,,,,,,0.0857030515875677,14.0,78.57142857142857,25.093610185517754,0.11285115009830823,0.14959001565708452,0.02185802361720474,6.843711868777571,,,2.734883720930233,6.0,91.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(6,92,132)","{'ema1_period': 6, 'ema2_period': 92, 'ema3_period': 132}",Triple EMA crossover strategy,2.5412838752592917,0.2802002638751857,254128.38752592917,-0.20375635054566543,0.2304814457033208,1.18714331783031,1.809150218263406,,,,,,0.08582287704995223,15.0,73.33333333333333,24.888583822504042,0.10529172782912935,0.1495900156570845,0.016528563697747353,9.050394117274196,,,2.930232558139535,6.0,92.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(4,95,139)","{'ema1_period': 4, 'ema2_period': 95, 'ema3_period': 139}",Triple EMA crossover strategy,2.4177189965408297,0.2713489708091936,241771.89965408295,-0.20375635054566577,0.22867236727131326,1.1643920171262467,1.7675827742994974,,,,,,0.09010534438381662,20.0,60.0,8.433436943317341,0.07676740650196692,0.14515786057268618,0.025818274604111912,5.622291295544893,,,3.906976744186047,4.0,95.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(5,95,136)","{'ema1_period': 5, 'ema2_period': 95, 'ema3_period': 136}",Triple EMA crossover strategy,2.4273022592132993,0.2720445767134363,242730.22592132993,-0.20375635054566554,0.2292941944305097,1.1642344289399646,1.767303404813928,,,,,,0.08550289580542371,15.0,66.66666666666666,20.720440344997783,0.10050779695499139,0.15840664112310035,0.015289891381226559,10.360220172498893,,,2.930232558139535,5.0,95.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(13,66,53)","{'macd_fast_period': 13, 'macd_slow_period': 66, 'macd_signal_period': 53}",MACD line crossing its signal line,3.2997492531800714,0.3296654335536877,329974.9253180071,-0.2243950288957961,0.1940349357072636,1.5659182227817874,2.458952702606796,,,,,,0.08565753118835628,19.0,52.63157894736842,6.709799845559492,0.09436663605125907,0.21069816605581188,0.0348906195093552,6.038819861003542,,,3.7116279069767444,,,,13.0,66.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(13,70,50)","{'macd_fast_period': 13, 'macd_slow_period': 70, 'macd_signal_period': 50}",MACD line crossing its signal line,3.2477232057616248,0.3265071188944386,324772.3205761625,-0.2243950288957961,0.1939378173186672,1.5543286307499171,2.440555929618626,,,,,,0.0859622635501802,19.0,52.63157894736842,6.436462406069586,0.0937414332026318,0.21087060200209717,0.03640208768566309,5.792816165462627,,,3.7116279069767444,,,,13.0,70.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(13,62,56)","{'macd_fast_period': 13, 'macd_slow_period': 62, 'macd_signal_period': 56}",MACD line crossing its signal line,3.2480573612004826,0.3265275033443331,324805.73612004827,-0.22439502889579577,0.19397505751350722,1.5541470668207409,2.439715405502542,,,,,,0.08603926688946481,19.0,52.63157894736842,6.4652470604516905,0.09374148484009227,0.2106981660558119,0.03621038317737399,5.818722354406522,,,3.7116279069767444,,,,13.0,62.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(13,63,55)","{'macd_fast_period': 13, 'macd_slow_period': 63, 'macd_signal_period': 55}",MACD line crossing its signal line,3.2480573612004826,0.3265275033443331,324805.73612004827,-0.22439502889579577,0.19397505751350722,1.5541470668207409,2.439715405502542,,,,,,0.08603926688946481,19.0,52.63157894736842,6.4652470604516905,0.09374148484009227,0.2106981660558119,0.03621038317737399,5.818722354406522,,,3.7116279069767444,,,,13.0,63.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(13,64,54)","{'macd_fast_period': 13, 'macd_slow_period': 64, 'macd_signal_period': 54}",MACD line crossing its signal line,3.2480573612004826,0.3265275033443331,324805.73612004827,-0.22439502889579577,0.19397505751350722,1.5541470668207409,2.439715405502542,,,,,,0.08603926688946481,19.0,52.63157894736842,6.4652470604516905,0.09374148484009227,0.2106981660558119,0.03621038317737399,5.818722354406522,,,3.7116279069767444,,,,13.0,64.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
