stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(4,93,126)","{'ema1_period': 4, 'ema2_period': 93, 'ema3_period': 126}",Triple EMA crossover strategy,-0.46830685277548806,-0.1140135846158834,-46830.68527754881,-0.6791907135814386,0.2628297005441484,-0.3257881054194686,-0.4244881730247124,,,,,,0.39300017883439414,24.0,29.166666666666668,0.49936371261119555,-0.02256757857568926,0.07717787559151155,0.06363923617394843,1.2127404449129036,,,4.5992395437262354,4.0,93.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(4,94,126)","{'ema1_period': 4, 'ema2_period': 94, 'ema3_period': 126}",Triple EMA crossover strategy,-0.4677498253322132,-0.11383578387786919,-46774.98253322132,-0.671733457901105,0.26242788527745814,-0.3259245521050555,-0.42457929305653525,,,,,,0.3836477372632274,23.0,26.08695652173913,0.48898650990610093,-0.02353897413442859,0.08634329743197576,0.062320952334336016,1.385461778067286,,,4.407604562737642,4.0,94.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(4,92,126)","{'ema1_period': 4, 'ema2_period': 92, 'ema3_period': 126}",Triple EMA crossover strategy,-0.4726125109414557,-0.11539303615619789,-47261.25109414557,-0.6962922488469478,0.2641789115181221,-0.32865064354422235,-0.42783611689095036,,,,,,0.3957989275907372,22.0,31.818181818181817,0.49178830593259515,-0.024928258605735828,0.07581412478271209,0.07194137085367819,1.0538320841412754,,,4.215969581749049,4.0,92.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(4,93,127)","{'ema1_period': 4, 'ema2_period': 93, 'ema3_period': 127}",Triple EMA crossover strategy,-0.47270936477605324,-0.11542417083413004,-47270.936477605326,-0.679190713581439,0.2627953504408977,-0.33192580484229084,-0.43242881376440606,,,,,,0.39305336121348267,24.0,29.166666666666668,0.49563596893478795,-0.022906614613602674,0.0771778755915116,0.06411787528629678,1.2036873531273422,,,4.5992395437262354,4.0,93.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(4,90,126)","{'ema1_period': 4, 'ema2_period': 90, 'ema3_period': 126}",Triple EMA crossover strategy,-0.47475199206544094,-0.11608187406156423,-47475.19920654409,-0.6727894936155108,0.26397814142369874,-0.33206972317780653,-0.4328628934628884,,,,,,0.3764333044395043,22.0,27.27272727272727,0.4678670352355146,-0.025397918248665816,0.08187886893493546,0.0656267134425163,1.2476454272947055,,,4.215969581749049,4.0,90.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(37,63,49)","{'macd_fast_period': 37, 'macd_slow_period': 63, 'macd_signal_period': 49}",MACD line crossing its signal line,-0.20316963501100982,-0.04258935602636038,-20316.96350110098,-0.6424598754129824,0.34985531285313093,0.049539092973274364,0.07209180127140827,,,,,,0.3200935783697101,15.0,40.0,0.975567909184661,-0.0014814942457903953,0.14788933279990196,0.1010620456095853,1.4633518637769913,,,2.8745247148288975,,,,37.0,63.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(39,64,46)","{'macd_fast_period': 39, 'macd_slow_period': 64, 'macd_signal_period': 46}",MACD line crossing its signal line,-0.20575830068761963,-0.04318619081791775,-20575.830068761963,-0.6344186176293104,0.3495399355332089,0.04748548063209839,0.06909643103858382,,,,,,0.316414536755612,15.0,33.33333333333333,0.9699122274204449,-0.0018187707921830277,0.17589019182618237,0.09067325210136574,1.9398244548408898,,,2.8745247148288975,,,,39.0,64.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(18,60,76)","{'macd_fast_period': 18, 'macd_slow_period': 60, 'macd_signal_period': 76}",MACD line crossing its signal line,-0.20844006576722357,-0.04380615095529827,-20844.006576722357,-0.6418145008167286,0.35137602992450134,0.04715403923377069,0.06882279861145353,,,,,,0.3209024180829135,15.0,40.0,0.9702350608729962,-0.0018092410898861804,0.1474376557171501,0.10130717229457703,1.4553525913094942,,,2.8745247148288975,,,,18.0,60.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(17,61,76)","{'macd_fast_period': 17, 'macd_slow_period': 61, 'macd_signal_period': 76}",MACD line crossing its signal line,-0.20855508677046963,-0.04383277901913518,-20855.508677046964,-0.6447334404398475,0.3513261976245498,0.047033194538795745,0.06863047295172416,,,,,,0.3190017907297652,14.0,35.714285714285715,0.9689397932483016,-0.002004798870815866,0.1751141701335361,0.10040422609545586,1.7440916278469427,,,2.682889733840304,,,,17.0,61.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(35,72,46)","{'macd_fast_period': 35, 'macd_slow_period': 72, 'macd_signal_period': 46}",MACD line crossing its signal line,-0.21105078104547748,-0.044411319229957,-21105.07810454775,-0.6129201612940727,0.3487145557294216,0.04323393423773857,0.06261312227820089,,,,,,0.29457595771901135,13.0,38.46153846153847,1.0120183058670498,0.0008602713852143797,0.188344933025667,0.11631764214006848,1.6192292893872797,,,2.491254752851711,,,,35.0,72.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
