stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(9,96,139)","{'ema1_period': 9, 'ema2_period': 96, 'ema3_period': 139}",Triple EMA crossover strategy,0.03030615226706461,0.005786393366439269,3030.615226706461,-0.25437778391094734,0.14971996831781118,0.11370879257531807,0.15400045058044798,,,,,,0.1426140366397429,12.0,33.33333333333333,1.19125188469416,0.0063523884483125325,0.11870149238209501,0.0498221635185787,2.38250376938832,,,2.3190184049079754,9.0,96.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(7,109,122)","{'ema1_period': 7, 'ema2_period': 109, 'ema3_period': 122}",Triple EMA crossover strategy,0.02606783773616873,0.004985494963992476,2606.783773616873,-0.236930672044798,0.14976468589684735,0.10840400429599151,0.14667759210096654,,,,,,0.13539449967911074,11.0,36.36363636363637,1.187612525499636,0.005472603546937268,0.09526637083985565,0.045838120620444664,2.0783219196243627,,,2.125766871165644,7.0,109.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(7,104,128)","{'ema1_period': 7, 'ema2_period': 104, 'ema3_period': 128}",Triple EMA crossover strategy,0.00671513124837933,0.0012942084425240363,671.513124837933,-0.2395741946075065,0.14967002322052006,0.08379180322992442,0.11330136176740054,,,,,,0.13869463447668137,14.0,42.857142857142854,1.1221797436628898,0.0037707929196610945,0.08081140985657147,0.05400966978302169,1.4962396582171862,,,2.705521472392638,7.0,104.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(6,109,122)","{'ema1_period': 6, 'ema2_period': 109, 'ema3_period': 122}",Triple EMA crossover strategy,0.005157204848282854,0.0009945708739100834,515.7204848282854,-0.23933613665172992,0.14993436563661244,0.0819121924157078,0.11075152386088054,,,,,,0.13850089172194713,13.0,38.46153846153847,1.121459739270046,0.0038822201813955124,0.09319762673881457,0.05193990891699139,1.7943355828320737,,,2.5122699386503067,6.0,109.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(8,98,136)","{'ema1_period': 8, 'ema2_period': 98, 'ema3_period': 136}",Triple EMA crossover strategy,0.0024335580745710465,0.0004698278540113954,243.35580745710465,-0.2548719259301412,0.1499234998422497,0.07840737063060177,0.10602194815623578,,,,,,0.14446845618240617,13.0,30.76923076923077,1.11586674141632,0.0037204133858719404,0.11644694508813536,0.04638026737068958,2.5107001681867196,,,2.5122699386503067,8.0,98.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(10,60,40)","{'macd_fast_period': 10, 'macd_slow_period': 60, 'macd_signal_period': 40}",MACD line crossing its signal line,0.4100917747689129,0.06866671996440443,41009.17747689129,-0.18513698488567776,0.14435180062792402,0.5318871935392883,0.8072049938762845,,,,,,0.06253454363533006,22.0,50.0,2.0387007779923563,0.018013194407485722,0.07071047645434411,0.03468408763937266,2.0387007779923563,,,4.251533742331288,,,,10.0,60.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(10,61,40)","{'macd_fast_period': 10, 'macd_slow_period': 61, 'macd_signal_period': 40}",MACD line crossing its signal line,0.4100917747689129,0.06866671996440443,41009.17747689129,-0.18513698488567776,0.14435180062792402,0.5318871935392883,0.8072049938762845,,,,,,0.06253454363533006,22.0,50.0,2.0387007779923563,0.018013194407485722,0.07071047645434411,0.03468408763937266,2.0387007779923563,,,4.251533742331288,,,,10.0,61.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(10,60,41)","{'macd_fast_period': 10, 'macd_slow_period': 60, 'macd_signal_period': 41}",MACD line crossing its signal line,0.389610966161775,0.06564937944969218,38961.0966161775,-0.18513698488567776,0.14428523199084872,0.5124642334620353,0.7773695816356644,,,,,,0.06264244765788049,22.0,50.0,1.9821661702997628,0.01733806467831761,0.06998189573835845,0.03530576638172323,1.9821661702997626,,,4.251533742331288,,,,10.0,60.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(10,62,40)","{'macd_fast_period': 10, 'macd_slow_period': 62, 'macd_signal_period': 40}",MACD line crossing its signal line,0.389610966161775,0.06564937944969218,38961.0966161775,-0.18513698488567776,0.14428523199084872,0.5124642334620353,0.7773695816356644,,,,,,0.06264244765788049,22.0,50.0,1.9821661702997628,0.01733806467831761,0.06998189573835845,0.03530576638172323,1.9821661702997626,,,4.251533742331288,,,,10.0,62.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(10,90,118)","{'macd_fast_period': 10, 'macd_slow_period': 90, 'macd_signal_period': 118}",MACD line crossing its signal line,0.3619224428809638,0.06151259752792404,36192.24428809638,-0.16673563996302454,0.13941152136423574,0.4976769866544796,0.7388892116828929,,,,,,0.07794271631500056,14.0,50.0,2.3926488540333244,0.026279167985709,0.0902981695405198,0.03773983356910179,2.392648854033325,,,2.705521472392638,,,,10.0,90.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
