stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(9,94,138)","{'ema1_period': 9, 'ema2_period': 94, 'ema3_period': 138}",Triple EMA crossover strategy,0.1816321533436574,0.03314037256823221,18163.21533436574,-0.21320521341721344,0.19540514670650827,0.26443244567344737,0.3793389153762743,,,,,,0.11111066244274526,16.0,50.0,1.7186747835613438,0.012179826783625822,0.05825489258835524,0.0338952390211036,1.7186747835613438,,,3.1255813953488376,9.0,94.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(9,94,139)","{'ema1_period': 9, 'ema2_period': 94, 'ema3_period': 139}",Triple EMA crossover strategy,0.1816321533436574,0.03314037256823221,18163.21533436574,-0.21320521341721344,0.19540514670650827,0.26443244567344737,0.3793389153762743,,,,,,0.11111066244274526,16.0,50.0,1.7186747835613438,0.012179826783625822,0.05825489258835524,0.0338952390211036,1.7186747835613438,,,3.1255813953488376,9.0,94.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(9,94,136)","{'ema1_period': 9, 'ema2_period': 94, 'ema3_period': 136}",Triple EMA crossover strategy,0.16880430760380988,0.030939744025996196,16880.430760380987,-0.21320521341721244,0.19531798873451406,0.2535464951907519,0.3635584393902519,,,,,,0.11131261161233262,17.0,47.05882352941176,1.6504177980104313,0.010827771356425372,0.0583847590809376,0.03144510662091883,1.856720022761735,,,3.32093023255814,9.0,94.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(9,94,137)","{'ema1_period': 9, 'ema2_period': 94, 'ema3_period': 137}",Triple EMA crossover strategy,0.16880430760380988,0.030939744025996196,16880.430760380987,-0.21320521341721244,0.19531798873451406,0.2535464951907519,0.3635584393902519,,,,,,0.11131261161233262,17.0,47.05882352941176,1.6504177980104313,0.010827771356425372,0.0583847590809376,0.03144510662091883,1.856720022761735,,,3.32093023255814,9.0,94.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(9,93,138)","{'ema1_period': 9, 'ema2_period': 93, 'ema3_period': 138}",Triple EMA crossover strategy,0.1556163460477916,0.02865698298237196,15561.63460477916,-0.24124878437058261,0.1959315448338235,0.2420607647020974,0.34627642844607426,,,,,,0.11112596405261788,16.0,43.75,1.5829165832781042,0.010829316920401354,0.06721630339815032,0.03302722811784785,2.0351784642147055,,,3.1255813953488376,9.0,93.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(10,60,40)","{'macd_fast_period': 10, 'macd_slow_period': 60, 'macd_signal_period': 40}",MACD line crossing its signal line,0.43545378073713203,0.07316786661389951,43545.378073713204,-0.1960162655768929,0.16324912458957475,0.513863894702369,0.769716370463471,,,,,,0.07869345405476823,26.0,42.30769230769231,2.0586562051669834,0.016385805683557856,0.07531428221279811,0.026828410437884996,2.807258461591341,,,5.079069767441861,,,,10.0,60.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(10,60,41)","{'macd_fast_period': 10, 'macd_slow_period': 60, 'macd_signal_period': 41}",MACD line crossing its signal line,0.42539370554633527,0.07169447397061979,42539.370554633526,-0.19601626557689233,0.16337476678126892,0.5051832535795916,0.7561351998656558,,,,,,0.07867182625714116,25.0,40.0,2.042805341503893,0.01678608582521115,0.08220783021985537,0.026828410437884982,3.0642080122558397,,,4.883720930232559,,,,10.0,60.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(10,61,40)","{'macd_fast_period': 10, 'macd_slow_period': 61, 'macd_signal_period': 40}",MACD line crossing its signal line,0.42539370554633527,0.07169447397061979,42539.370554633526,-0.19601626557689233,0.16337476678126892,0.5051832535795916,0.7561351998656558,,,,,,0.07867182625714116,25.0,40.0,2.042805341503893,0.01678608582521115,0.08220783021985537,0.026828410437884982,3.0642080122558397,,,4.883720930232559,,,,10.0,61.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(10,63,41)","{'macd_fast_period': 10, 'macd_slow_period': 63, 'macd_signal_period': 41}",MACD line crossing its signal line,0.41817514775433884,0.07063208369057983,41817.51477543388,-0.20785549122738012,0.16329895368473757,0.4992673825097103,0.7469399376566563,,,,,,0.08070535263047522,24.0,37.5,2.0524375808791544,0.017265776370211847,0.08979009980664963,0.02624881769165083,3.4207293014652573,,,4.688372093023256,,,,10.0,63.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(10,64,40)","{'macd_fast_period': 10, 'macd_slow_period': 64, 'macd_signal_period': 40}",MACD line crossing its signal line,0.41817514775433884,0.07063208369057983,41817.51477543388,-0.20785549122738012,0.16329895368473757,0.4992673825097103,0.7469399376566563,,,,,,0.08070535263047522,24.0,37.5,2.0524375808791544,0.017265776370211847,0.08979009980664963,0.02624881769165083,3.4207293014652573,,,4.688372093023256,,,,10.0,64.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
