stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(8,92,130)","{'ema1_period': 8, 'ema2_period': 92, 'ema3_period': 130}",Triple EMA crossover strategy,0.1643592524519711,0.030172656393174346,16435.92524519711,-0.3598287632252697,0.22443003327123753,0.24429218606686906,0.3568289888967692,,,,,,0.1810261820815355,19.0,52.63157894736842,1.438552933625132,0.011494934013000946,0.07164137457279612,0.055334444386771466,1.2946976402626187,,,3.7116279069767444,8.0,92.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(8,92,127)","{'ema1_period': 8, 'ema2_period': 92, 'ema3_period': 127}",Triple EMA crossover strategy,0.16265941720207003,0.0298786911981912,16265.941720207004,-0.3598287632252697,0.22481259815223928,0.24297862557403116,0.3551986356866735,,,,,,0.19338535391476344,17.0,47.05882352941176,1.4708769092247973,0.013167850470701618,0.08740630406129363,0.052821886054269046,1.6547365228778967,,,3.32093023255814,8.0,92.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(8,92,128)","{'ema1_period': 8, 'ema2_period': 92, 'ema3_period': 128}",Triple EMA crossover strategy,0.16265941720207003,0.0298786911981912,16265.941720207004,-0.3598287632252697,0.22481259815223928,0.24297862557403116,0.3551986356866735,,,,,,0.19338535391476344,17.0,47.05882352941176,1.4708769092247973,0.013167850470701618,0.08740630406129363,0.052821886054269046,1.6547365228778967,,,3.32093023255814,8.0,92.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(8,90,130)","{'ema1_period': 8, 'ema2_period': 90, 'ema3_period': 130}",Triple EMA crossover strategy,0.15395024637745955,0.028367101302720688,15395.024637745955,-0.3663102920081307,0.22420534864223737,0.23650254069468846,0.3449195491583052,,,,,,0.18399024985914175,19.0,52.63157894736842,1.4148136038605412,0.010910018999644439,0.0707009654343456,0.05552436592780131,1.273332243474487,,,3.7116279069767444,8.0,90.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(8,90,127)","{'ema1_period': 8, 'ema2_period': 90, 'ema3_period': 127}",Triple EMA crossover strategy,0.1522656071208953,0.028073651332394922,15226.56071208953,-0.3609842543263677,0.22458828982307305,0.23520054093963758,0.34330083810686784,,,,,,0.1944695968634183,17.0,47.05882352941176,1.4458966206427226,0.012514121926361995,0.08623079263823047,0.053011807595298874,1.6266336982230631,,,3.32093023255814,8.0,90.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(11,61,40)","{'macd_fast_period': 11, 'macd_slow_period': 61, 'macd_signal_period': 40}",MACD line crossing its signal line,-0.33349617994991143,-0.07619554735363643,-33349.617994991146,-0.7197930091814251,0.293465687691574,-0.12413406210232442,-0.180547266209623,,,,,,0.32354596783823913,24.0,33.33333333333333,0.8963844995425927,-0.006100134982992743,0.15831800511700322,0.08830920503299074,1.7927689990851854,,,4.688372093023256,,,,11.0,61.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(26,95,53)","{'macd_fast_period': 26, 'macd_slow_period': 95, 'macd_signal_period': 53}",MACD line crossing its signal line,-0.3526758107579023,-0.08144985449677555,-35267.58107579023,-0.7450721696117418,0.3052709728047312,-0.12649865986998776,-0.18319087560899983,,,,,,0.3321568461074292,16.0,31.25,0.8664010833201644,-0.010748869800908126,0.22306366360241134,0.11702729407514424,1.9060823833043616,,,3.1255813953488376,,,,26.0,95.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(26,97,52)","{'macd_fast_period': 26, 'macd_slow_period': 97, 'macd_signal_period': 52}",MACD line crossing its signal line,-0.3526758107579023,-0.08144985449677555,-35267.58107579023,-0.7450721696117418,0.3052709728047312,-0.12649865986998776,-0.18319087560899983,,,,,,0.3321568461074292,16.0,31.25,0.8664010833201644,-0.010748869800908126,0.22306366360241134,0.11702729407514424,1.9060823833043616,,,3.1255813953488376,,,,26.0,97.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(23,76,75)","{'macd_fast_period': 23, 'macd_slow_period': 76, 'macd_signal_period': 75}",MACD line crossing its signal line,-0.35465597406068977,-0.08199943082749561,-35465.59740606898,-0.7380316179630442,0.3051955069284336,-0.12857144965586234,-0.18627514159366568,,,,,,0.3279245260585373,15.0,33.33333333333333,0.8504814276286426,-0.012691280703969347,0.21656905280113659,0.1273214474565223,1.7009628552572853,,,2.930232558139535,,,,23.0,76.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(23,77,74)","{'macd_fast_period': 23, 'macd_slow_period': 77, 'macd_signal_period': 74}",MACD line crossing its signal line,-0.35465597406068977,-0.08199943082749561,-35465.59740606898,-0.7380316179630442,0.3051955069284336,-0.12857144965586234,-0.18627514159366568,,,,,,0.3279245260585373,15.0,33.33333333333333,0.8504814276286426,-0.012691280703969347,0.21656905280113659,0.1273214474565223,1.7009628552572853,,,2.930232558139535,,,,23.0,77.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
