stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(5,94,124)","{'ema1_period': 5, 'ema2_period': 94, 'ema3_period': 124}",Triple EMA crossover strategy,-0.042169939036659054,-0.008381266014257704,-4216.993903665905,-0.3458077169446597,0.18341429955037147,0.046252750953473344,0.06326811375608767,,,,,,0.13533351600968543,15.0,26.666666666666668,1.0784851348063282,0.0030163475298838004,0.15543162952530018,0.05240739137754035,2.965834120717403,,,2.930232558139535,5.0,94.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(5,95,124)","{'ema1_period': 5, 'ema2_period': 95, 'ema3_period': 124}",Triple EMA crossover strategy,-0.042169939036659054,-0.008381266014257704,-4216.993903665905,-0.3458077169446597,0.18341429955037147,0.046252750953473344,0.06326811375608767,,,,,,0.13533351600968543,15.0,26.666666666666668,1.0784851348063282,0.0030163475298838004,0.15543162952530018,0.05240739137754035,2.965834120717403,,,2.930232558139535,5.0,95.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(5,96,124)","{'ema1_period': 5, 'ema2_period': 96, 'ema3_period': 124}",Triple EMA crossover strategy,-0.045221870333224216,-0.00899928140332118,-4522.1870333224215,-0.3458077169446597,0.18342179781536083,0.04285943617782517,0.05862292319782441,,,,,,0.13562975107823547,15.0,26.666666666666668,1.072906516545906,0.0028165184310062464,0.15543162952530015,0.052679885603282454,2.9504929205012416,,,2.930232558139535,5.0,96.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(5,97,124)","{'ema1_period': 5, 'ema2_period': 97, 'ema3_period': 124}",Triple EMA crossover strategy,-0.045221870333224216,-0.00899928140332118,-4522.1870333224215,-0.3458077169446597,0.18342179781536083,0.04285943617782517,0.05862292319782441,,,,,,0.13562975107823547,15.0,26.666666666666668,1.072906516545906,0.0028165184310062464,0.15543162952530015,0.052679885603282454,2.9504929205012416,,,2.930232558139535,5.0,97.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(5,94,121)","{'ema1_period': 5, 'ema2_period': 94, 'ema3_period': 121}",Triple EMA crossover strategy,-0.04931431975277039,-0.009830501202289343,-4931.431975277039,-0.3458077169446597,0.18334197737662616,0.038221874243084215,0.05226807038871856,,,,,,0.13549681824724238,16.0,31.25,1.0622338332201913,0.002242290087465397,0.12247158931047805,0.05240739137754035,2.3369144330844205,,,3.1255813953488376,5.0,94.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(36,68,113)","{'macd_fast_period': 36, 'macd_slow_period': 68, 'macd_signal_period': 113}",MACD line crossing its signal line,0.6449513978089747,0.10211078170731769,64495.13978089747,-0.25782642610325257,0.20333292254016888,0.579280469778855,0.8710453598380925,,,,,,0.0860935530618567,11.0,63.63636363636363,3.8028061225727225,0.06348075722228624,0.1353467621073994,0.062284751326661794,2.1730320700415557,,,2.1488372093023256,,,,36.0,68.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(33,88,43)","{'macd_fast_period': 33, 'macd_slow_period': 88, 'macd_signal_period': 43}",MACD line crossing its signal line,0.6144108642270263,0.09808335128828216,61441.08642270263,-0.28481064601162553,0.19521362570899423,0.5769332770859429,0.8495578105978266,,,,,,0.11687562682558418,13.0,46.15384615384615,3.09396937132372,0.047959884619630785,0.15353801327970998,0.04253565423186567,3.6096309332110064,,,2.5395348837209304,,,,33.0,88.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(36,87,40)","{'macd_fast_period': 36, 'macd_slow_period': 87, 'macd_signal_period': 40}",MACD line crossing its signal line,0.6144108642270263,0.09808335128828216,61441.08642270263,-0.28481064601162553,0.19521362570899423,0.5769332770859429,0.8495578105978266,,,,,,0.11687562682558418,13.0,46.15384615384615,3.09396937132372,0.047959884619630785,0.15353801327970998,0.04253565423186567,3.6096309332110064,,,2.5395348837209304,,,,36.0,87.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(34,90,41)","{'macd_fast_period': 34, 'macd_slow_period': 90, 'macd_signal_period': 41}",MACD line crossing its signal line,0.6111065048950228,0.09764393387934467,61110.65048950228,-0.2862744881278848,0.19521003815661642,0.5748889864946864,0.8465742823784722,,,,,,0.11748300044381037,13.0,46.15384615384615,3.0746872159480363,0.04781624890461319,0.15353801327971,0.04280240627404123,3.587135085272709,,,2.5395348837209304,,,,34.0,90.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(31,83,48)","{'macd_fast_period': 31, 'macd_slow_period': 83, 'macd_signal_period': 48}",MACD line crossing its signal line,0.6111065048950228,0.09764393387934467,61110.65048950228,-0.2862744881278848,0.19521663791668367,0.5748761993118692,0.846522032308132,,,,,,0.11748349704578666,13.0,46.15384615384615,3.0746872159480363,0.04781624890461319,0.15353801327971,0.04280240627404123,3.587135085272709,,,2.5395348837209304,,,,31.0,83.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,1.0,AROON(7),{'aroon_timeperiod': 7},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.3940886505287711,0.06705538095760155,39408.86505287711,-0.2813308179383337,0.21199117973197357,0.4111570314695373,0.6377653588173592,,,,,,0.10508266888611308,64.0,39.0625,1.417391131357878,0.006476110524497539,0.056299003955187936,0.025461641674662975,2.2111301649182895,,,12.50232558139535,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,2.0,AROON(6),{'aroon_timeperiod': 6},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.3453363442356739,0.05966102643037585,34533.63442356739,-0.23621990662835834,0.21433577181732602,0.3766596272920287,0.5763301142951887,,,,,,0.09991025760428734,76.0,42.10526315789473,1.3268463700110553,0.005181904474840187,0.04996086987944463,0.02738461581941759,1.8244137587652012,,,14.846511627906978,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,3.0,AROON(79),{'aroon_timeperiod': 79},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.23840007959911033,0.04265416583852,23840.007959911032,-0.3193171532501823,0.18585592686747493,0.317595975554304,0.45633753422622503,,,,,,0.15290002461091784,11.0,45.45454545454545,1.7990948304527443,0.02849577581365181,0.141142855897938,0.06537679092325335,2.158913796543293,,,2.1488372093023256,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,4.0,AROON(8),{'aroon_timeperiod': 8},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.24134838712610188,0.04313861402880437,24134.838712610188,-0.2889792576548428,0.21640641442923855,0.30249894271734024,0.458461209717608,,,,,,0.12078717971435331,62.0,41.935483870967744,1.2769353774763565,0.004996272894743663,0.054935739288808634,0.031071119500969926,1.7680643688134166,,,12.111627906976745,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
