stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(9,96,139)","{'ema1_period': 9, 'ema2_period': 96, 'ema3_period': 139}",Triple EMA crossover strategy,0.3189865056846672,0.05496155303243366,31898.650568466717,-0.30364544315959074,0.1865392411239736,0.38021615041202,0.5428366769075758,,,,,,0.1562834551882868,13.0,23.076923076923077,2.081342722328892,0.03201518973480529,0.26702899095520133,0.03848895063131351,6.937809074429641,,,2.5122699386503067,9.0,96.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(9,97,139)","{'ema1_period': 9, 'ema2_period': 97, 'ema3_period': 139}",Triple EMA crossover strategy,0.3108575104190042,0.053701936244984205,31085.75104190042,-0.3078168153223392,0.18655230256406968,0.3737968196947514,0.5336208390493892,,,,,,0.15978496587934718,14.0,28.57142857142857,2.0247463673446062,0.029322499518608693,0.20277913829023148,0.04006015599004041,5.061865918361516,,,2.705521472392638,9.0,97.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(9,93,139)","{'ema1_period': 9, 'ema2_period': 93, 'ema3_period': 139}",Triple EMA crossover strategy,0.301812723643495,0.0522929859413348,30181.272364349497,-0.31408574898636143,0.1866265394574003,0.3665525965897066,0.5229393606204125,,,,,,0.16192092234604258,14.0,21.428571428571427,2.0062286035905936,0.02888942017655995,0.26880006276095697,0.036540755073730155,7.356171546498842,,,2.705521472392638,9.0,93.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(9,94,139)","{'ema1_period': 9, 'ema2_period': 94, 'ema3_period': 139}",Triple EMA crossover strategy,0.301812723643495,0.0522929859413348,30181.272364349497,-0.31408574898636143,0.1866265394574003,0.3665525965897066,0.5229393606204125,,,,,,0.16192092234604258,14.0,21.428571428571427,2.0062286035905936,0.02888942017655995,0.26880006276095697,0.036540755073730155,7.356171546498842,,,2.705521472392638,9.0,94.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(9,92,139)","{'ema1_period': 9, 'ema2_period': 92, 'ema3_period': 139}",Triple EMA crossover strategy,0.30105512060694006,0.05217461235836551,30105.512060694007,-0.3076672414022802,0.18662528869069875,0.3659508417072642,0.5220819900931791,,,,,,0.15800544924089752,14.0,21.428571428571427,2.019856994950519,0.028276193859390137,0.261341918642662,0.03528718562695674,7.40614231481857,,,2.705521472392638,9.0,92.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(34,68,108)","{'macd_fast_period': 34, 'macd_slow_period': 68, 'macd_signal_period': 108}",MACD line crossing its signal line,0.7204561317305466,0.1105509495421182,72045.61317305466,-0.24612032770338244,0.18541372816666574,0.6582628791653848,0.9645957555104504,,,,,,0.09175846086769644,14.0,57.14285714285714,3.296034319987112,0.04510489476148446,0.11331178271963496,0.04583762251604954,2.4720257399903343,,,2.705521472392638,,,,34.0,68.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(35,64,113)","{'macd_fast_period': 35, 'macd_slow_period': 64, 'macd_signal_period': 113}",MACD line crossing its signal line,0.7204561317305466,0.1105509495421182,72045.61317305466,-0.24612032770338244,0.18541372816666574,0.6582628791653848,0.9645957555104504,,,,,,0.09175846086769644,14.0,57.14285714285714,3.296034319987112,0.04510489476148446,0.11331178271963496,0.04583762251604954,2.4720257399903343,,,2.705521472392638,,,,35.0,64.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(10,62,109)","{'macd_fast_period': 10, 'macd_slow_period': 62, 'macd_signal_period': 109}",MACD line crossing its signal line,0.7270450725188311,0.11137161008864949,72704.50725188311,-0.27809006390326285,0.19185600147876467,0.6462434388844513,0.9558166086541516,,,,,,0.10558198416207293,17.0,47.05882352941176,2.977048815367608,0.03750073717550893,0.11999614737453024,0.03582851633473222,3.349179917288559,,,3.285276073619632,,,,10.0,62.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(10,62,110)","{'macd_fast_period': 10, 'macd_slow_period': 62, 'macd_signal_period': 110}",MACD line crossing its signal line,0.7270450725188311,0.11137161008864949,72704.50725188311,-0.27809006390326285,0.19185600147876467,0.6462434388844513,0.9558166086541516,,,,,,0.10558198416207293,17.0,47.05882352941176,2.977048815367608,0.03750073717550893,0.11999614737453024,0.03582851633473222,3.349179917288559,,,3.285276073619632,,,,10.0,62.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(33,71,106)","{'macd_fast_period': 33, 'macd_slow_period': 71, 'macd_signal_period': 106}",MACD line crossing its signal line,0.6981461686804927,0.10775325524514767,69814.61686804927,-0.24612032770338244,0.18491681554685227,0.6458859056462686,0.9467384993158627,,,,,,0.09240053808606404,14.0,50.0,3.233019606012015,0.04422272681748231,0.1280534594925221,0.039608005857557485,3.2330196060120153,,,2.705521472392638,,,,33.0,71.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
