stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(9,109,139)","{'ema1_period': 9, 'ema2_period': 109, 'ema3_period': 139}",Triple EMA crossover strategy,0.33959044750281697,0.058775396529550994,33959.0447502817,-0.2527465988888189,0.13674176977358418,0.48601883518098676,0.70214114947509,,,,,,0.14086037092967135,13.0,38.46153846153847,2.85952857105669,0.028238891908397686,0.11290484623799617,0.02467732954760138,4.575245713690704,,,2.5395348837209304,9.0,109.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(9,107,138)","{'ema1_period': 9, 'ema2_period': 107, 'ema3_period': 138}",Triple EMA crossover strategy,0.328971064517099,0.057130526999562115,32897.1064517099,-0.26342578217702084,0.13642555358642142,0.47543227840247226,0.6858744620465429,,,,,,0.14700725609223322,14.0,35.714285714285715,2.6551441206860957,0.02616030613222582,0.11750413153260557,0.024586263534651834,4.7792594172349725,,,2.734883720930233,9.0,107.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(9,107,139)","{'ema1_period': 9, 'ema2_period': 107, 'ema3_period': 139}",Triple EMA crossover strategy,0.328971064517099,0.057130526999562115,32897.1064517099,-0.26342578217702084,0.13642555358642142,0.47543227840247226,0.6858744620465429,,,,,,0.14700725609223322,14.0,35.714285714285715,2.6551441206860957,0.02616030613222582,0.11750413153260557,0.024586263534651834,4.7792594172349725,,,2.734883720930233,9.0,107.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(9,107,137)","{'ema1_period': 9, 'ema2_period': 107, 'ema3_period': 137}",Triple EMA crossover strategy,0.3259412914694322,0.05665929722458429,32594.129146943218,-0.26510501566249833,0.1364226523997957,0.47217041276347405,0.6811543003421332,,,,,,0.1479775727331005,14.0,35.714285714285715,2.6285474050464104,0.02600038008530503,0.11750413153260557,0.0248350373854175,4.731385329083539,,,2.734883720930233,9.0,107.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(9,107,130)","{'ema1_period': 9, 'ema2_period': 107, 'ema3_period': 130}",Triple EMA crossover strategy,0.3223214831848808,0.05609516019038341,32232.148318488078,-0.2626296801404837,0.13615311215975973,0.4689118995634444,0.6765477974933924,,,,,,0.14676226580366747,15.0,33.33333333333333,2.48111071419322,0.024176510500717754,0.1214992208083717,0.024484844653109218,4.96222142838644,,,2.930232558139535,9.0,107.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(34,84,118)","{'macd_fast_period': 34, 'macd_slow_period': 84, 'macd_signal_period': 118}",MACD line crossing its signal line,0.5665965532857252,0.0916531086292589,56659.655328572524,-0.17099545234450397,0.11544101681075705,0.8172197861869757,1.2703851832767195,,,,,,0.06748693585628227,11.0,72.72727272727273,6.248543408867644,0.04502390922748133,0.0737031239577962,0.03145399672002497,2.3432037783253667,,,2.1488372093023256,,,,34.0,84.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(34,86,115)","{'macd_fast_period': 34, 'macd_slow_period': 86, 'macd_signal_period': 115}",MACD line crossing its signal line,0.5665965532857252,0.0916531086292589,56659.655328572524,-0.17099545234450397,0.11544101681075705,0.8172197861869757,1.2703851832767195,,,,,,0.06748693585628227,11.0,72.72727272727273,6.248543408867644,0.04502390922748133,0.0737031239577962,0.03145399672002497,2.3432037783253667,,,2.1488372093023256,,,,34.0,86.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(35,84,115)","{'macd_fast_period': 35, 'macd_slow_period': 84, 'macd_signal_period': 115}",MACD line crossing its signal line,0.5665965532857252,0.0916531086292589,56659.655328572524,-0.17099545234450397,0.11544101681075705,0.8172197861869757,1.2703851832767195,,,,,,0.06748693585628227,11.0,72.72727272727273,6.248543408867644,0.04502390922748133,0.0737031239577962,0.03145399672002497,2.3432037783253667,,,2.1488372093023256,,,,35.0,84.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(35,86,112)","{'macd_fast_period': 35, 'macd_slow_period': 86, 'macd_signal_period': 112}",MACD line crossing its signal line,0.5665965532857252,0.0916531086292589,56659.655328572524,-0.17099545234450397,0.11544101681075705,0.8172197861869757,1.2703851832767195,,,,,,0.06748693585628227,11.0,72.72727272727273,6.248543408867644,0.04502390922748133,0.0737031239577962,0.03145399672002497,2.3432037783253667,,,2.1488372093023256,,,,35.0,86.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(33,91,111)","{'macd_fast_period': 33, 'macd_slow_period': 91, 'macd_signal_period': 111}",MACD line crossing its signal line,0.5578417591140261,0.09045867257726825,55784.17591140261,-0.17099545234450397,0.11547097993180323,0.8075534861420145,1.254990563831431,,,,,,0.0676239556924636,11.0,63.63636363636363,5.923529176556786,0.04451536274648548,0.08416055250376468,0.024863719328753153,3.384873815175306,,,2.1488372093023256,,,,33.0,91.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
