stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(5,103,120)","{'ema1_period': 5, 'ema2_period': 103, 'ema3_period': 120}",Triple EMA crossover strategy,10.302235578246659,0.602901040854865,1030223.5578246659,-0.3794215135847955,0.457499711740185,1.2586377642235336,1.9877248367400662,,,,,,0.2208977134551608,14.0,57.14285714285714,13.651996646009787,0.3452016752421271,0.6518505677643663,0.0636635147875252,10.238997484507339,,,2.7238805970149254,5.0,103.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(5,103,121)","{'ema1_period': 5, 'ema2_period': 103, 'ema3_period': 121}",Triple EMA crossover strategy,10.302235578246659,0.602901040854865,1030223.5578246659,-0.3794215135847955,0.457499711740185,1.2586377642235336,1.9877248367400662,,,,,,0.2208977134551608,14.0,57.14285714285714,13.651996646009787,0.3452016752421271,0.6518505677643663,0.0636635147875252,10.238997484507339,,,2.7238805970149254,5.0,103.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(5,103,122)","{'ema1_period': 5, 'ema2_period': 103, 'ema3_period': 122}",Triple EMA crossover strategy,10.302235578246659,0.602901040854865,1030223.5578246659,-0.3794215135847955,0.457499711740185,1.2586377642235336,1.9877248367400662,,,,,,0.2208977134551608,14.0,57.14285714285714,13.651996646009787,0.3452016752421271,0.6518505677643663,0.0636635147875252,10.238997484507339,,,2.7238805970149254,5.0,103.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(5,104,120)","{'ema1_period': 5, 'ema2_period': 104, 'ema3_period': 120}",Triple EMA crossover strategy,10.302753395798758,0.6029153288449596,1030275.3395798758,-0.3794215135847955,0.45754900776665497,1.2585710573861564,1.9875528863974081,,,,,,0.22093713284785677,14.0,57.14285714285714,13.549498158729785,0.34240506925899167,0.6469565072938794,0.0636635147875252,10.162123619047339,,,2.7238805970149254,5.0,104.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(5,104,121)","{'ema1_period': 5, 'ema2_period': 104, 'ema3_period': 121}",Triple EMA crossover strategy,10.302753395798758,0.6029153288449596,1030275.3395798758,-0.3794215135847955,0.45754900776665497,1.2585710573861564,1.9875528863974081,,,,,,0.22093713284785677,14.0,57.14285714285714,13.549498158729785,0.34240506925899167,0.6469565072938794,0.0636635147875252,10.162123619047339,,,2.7238805970149254,5.0,104.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(34,68,99)","{'macd_fast_period': 34, 'macd_slow_period': 68, 'macd_signal_period': 99}",MACD line crossing its signal line,18.497924654554264,0.7823126167777974,1849792.4654554264,-0.4452420047535971,0.462665999690421,1.4793797524823464,2.359404234766211,,,,,,0.16329311699761778,11.0,63.63636363636363,17.341861407125677,0.5375598186084551,0.8964284513697558,0.09046028872382073,9.9096350897861,,,2.140191897654584,,,,34.0,68.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(34,70,96)","{'macd_fast_period': 34, 'macd_slow_period': 70, 'macd_signal_period': 96}",MACD line crossing its signal line,18.497924654554264,0.7823126167777974,1849792.4654554264,-0.4452420047535971,0.462665999690421,1.4793797524823464,2.359404234766211,,,,,,0.16329311699761778,11.0,63.63636363636363,17.341861407125677,0.5375598186084551,0.8964284513697558,0.09046028872382073,9.9096350897861,,,2.140191897654584,,,,34.0,70.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(34,71,94)","{'macd_fast_period': 34, 'macd_slow_period': 71, 'macd_signal_period': 94}",MACD line crossing its signal line,18.497924654554264,0.7823126167777974,1849792.4654554264,-0.4452420047535971,0.462665999690421,1.4793797524823464,2.359404234766211,,,,,,0.16329311699761778,11.0,63.63636363636363,17.341861407125677,0.5375598186084551,0.8964284513697558,0.09046028872382073,9.9096350897861,,,2.140191897654584,,,,34.0,71.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(40,69,89)","{'macd_fast_period': 40, 'macd_slow_period': 69, 'macd_signal_period': 89}",MACD line crossing its signal line,18.484154044371287,0.782067635854393,1848415.4044371287,-0.41898597674368343,0.4632943202970968,1.47770146212193,2.3558514155853496,,,,,,0.16327945812203318,11.0,72.72727272727273,17.27533790176731,0.5387627551089277,0.786315433934976,0.12137772176053496,6.478251713162741,,,2.140191897654584,,,,40.0,69.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(33,72,96)","{'macd_fast_period': 33, 'macd_slow_period': 72, 'macd_signal_period': 96}",MACD line crossing its signal line,18.414035207475216,0.7808180454274822,1841403.5207475217,-0.44173461717497464,0.46265776626608834,1.4775822283889581,2.3563753508626344,,,,,,0.16258761777180525,12.0,66.66666666666666,17.42827669003709,0.49201898773259556,0.7829527603606742,0.08984855752356177,8.714138345018545,,,2.3347547974413647,,,,33.0,72.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
