stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(8,103,128)","{'ema1_period': 8, 'ema2_period': 103, 'ema3_period': 128}",Triple EMA crossover strategy,0.41338305751364895,0.06992440288491242,41338.3057513649,-0.20978572937203366,0.17117639050715566,0.4810550905057541,0.6714119800230686,,,,,,0.10585300481736704,12.0,50.0,2.5048610351853053,0.035256338420508855,0.11736928033619354,0.046856603495175835,2.5048610351853053,,,2.344186046511628,8.0,103.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(9,103,132)","{'ema1_period': 9, 'ema2_period': 103, 'ema3_period': 132}",Triple EMA crossover strategy,0.40573813169102796,0.06879141708593584,40573.813169102796,-0.2060608029000094,0.17068227658121723,0.47574090296837596,0.6643584068821643,,,,,,0.10493539788194568,13.0,53.84615384615385,2.5601776046551072,0.031924079922089295,0.09728810772061004,0.04433395250951825,2.194437946847235,,,2.5395348837209304,9.0,103.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(9,103,133)","{'ema1_period': 9, 'ema2_period': 103, 'ema3_period': 133}",Triple EMA crossover strategy,0.40573813169102796,0.06879141708593584,40573.813169102796,-0.2060608029000094,0.17068227658121723,0.47574090296837596,0.6643584068821643,,,,,,0.10493539788194568,13.0,53.84615384615385,2.5601776046551072,0.031924079922089295,0.09728810772061004,0.04433395250951825,2.194437946847235,,,2.5395348837209304,9.0,103.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(9,109,132)","{'ema1_period': 9, 'ema2_period': 109, 'ema3_period': 132}",Triple EMA crossover strategy,0.4020864955150975,0.06824849036037595,40208.64955150975,-0.20954730223754103,0.16996177098864065,0.4740458266843815,0.661726606995945,,,,,,0.10514382656309615,11.0,45.45454545454545,2.6061701910778354,0.03734895756673182,0.13332524094999032,0.04263127858598358,3.1274042292934023,,,2.1488372093023256,9.0,109.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(9,109,133)","{'ema1_period': 9, 'ema2_period': 109, 'ema3_period': 133}",Triple EMA crossover strategy,0.4020864955150975,0.06824849036037595,40208.64955150975,-0.20954730223754103,0.16996177098864065,0.4740458266843815,0.661726606995945,,,,,,0.10514382656309615,11.0,45.45454545454545,2.6061701910778354,0.03734895756673182,0.13332524094999032,0.04263127858598358,3.1274042292934023,,,2.1488372093023256,9.0,109.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(11,60,63)","{'macd_fast_period': 11, 'macd_slow_period': 60, 'macd_signal_period': 63}",MACD line crossing its signal line,0.3266579045002256,0.05677083238663183,32665.79045002256,-0.16887270590634662,0.16536745872661987,0.41735795243762613,0.5759714526648789,,,,,,0.08083137029611544,20.0,40.0,1.8711347583098294,0.016968560096872996,0.0911181143125615,0.03246447604691934,2.806702137464744,,,3.906976744186047,,,,11.0,60.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(11,61,62)","{'macd_fast_period': 11, 'macd_slow_period': 61, 'macd_signal_period': 62}",MACD line crossing its signal line,0.3266579045002256,0.05677083238663183,32665.79045002256,-0.16887270590634662,0.16536745872661987,0.41735795243762613,0.5759714526648789,,,,,,0.08083137029611544,20.0,40.0,1.8711347583098294,0.016968560096872996,0.0911181143125615,0.03246447604691934,2.806702137464744,,,3.906976744186047,,,,11.0,61.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(11,62,61)","{'macd_fast_period': 11, 'macd_slow_period': 62, 'macd_signal_period': 61}",MACD line crossing its signal line,0.3266579045002256,0.05677083238663183,32665.79045002256,-0.16887270590634662,0.16536745872661987,0.41735795243762613,0.5759714526648789,,,,,,0.08083137029611544,20.0,40.0,1.8711347583098294,0.016968560096872996,0.0911181143125615,0.03246447604691934,2.806702137464744,,,3.906976744186047,,,,11.0,62.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(11,63,60)","{'macd_fast_period': 11, 'macd_slow_period': 63, 'macd_signal_period': 60}",MACD line crossing its signal line,0.3266579045002256,0.05677083238663183,32665.79045002256,-0.16887270590634662,0.16536745872661987,0.41735795243762613,0.5759714526648789,,,,,,0.08083137029611544,20.0,40.0,1.8711347583098294,0.016968560096872996,0.0911181143125615,0.03246447604691934,2.806702137464744,,,3.906976744186047,,,,11.0,63.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(11,64,59)","{'macd_fast_period': 11, 'macd_slow_period': 64, 'macd_signal_period': 59}",MACD line crossing its signal line,0.3266579045002256,0.05677083238663183,32665.79045002256,-0.16887270590634662,0.16536745872661987,0.41735795243762613,0.5759714526648789,,,,,,0.08083137029611544,20.0,40.0,1.8711347583098294,0.016968560096872996,0.0911181143125615,0.03246447604691934,2.806702137464744,,,3.906976744186047,,,,11.0,64.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,1.0,AROON(8),{'aroon_timeperiod': 8},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.5480602582070825,0.0891177550653568,54806.02582070825,-0.2128175186949256,0.18164154080492148,0.5611054395322352,0.8225553350253796,,,,,,0.0972737994199228,62.0,53.2258064516129,1.589545155098322,0.008479404411206553,0.04295353322299544,0.030749776650484242,1.3968730150864042,,,12.111627906976745,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,2.0,AROON(7),{'aroon_timeperiod': 7},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.2568277697286966,0.04566700819765068,25682.77697286966,-0.34572711567077374,0.20018649292808977,0.32388370662594795,0.45962293769269336,,,,,,0.13448594961910063,72.0,44.44444444444444,1.3020273548361831,0.004773686192852471,0.04630311556449941,0.028449857304465077,1.627534193545229,,,14.065116279069768,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,3.0,AROON(9),{'aroon_timeperiod': 9},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.21006601862055585,0.037950529020279955,21006.601862055584,-0.24456980389006777,0.18048496160444844,0.29693257571281145,0.42582654581477114,,,,,,0.11556154479391731,56.0,44.642857142857146,1.2854660099173798,0.004908257579120709,0.049508703906498246,0.03105984429779665,1.5939778522975512,,,10.939534883720931,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,4.0,AROON(11),{'aroon_timeperiod': 11},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.1495226899336267,0.02759511878192078,14952.26899336267,-0.25813361277362856,0.1797340622189088,0.24179886011351107,0.34063222115234143,,,,,,0.11363631790567022,49.0,40.816326530612244,1.2568758333736267,0.004649133478599929,0.05573233349615716,0.030580659636956782,1.8224699583917585,,,9.572093023255814,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,5.0,AROON(45),{'aroon_timeperiod': 45},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.09138184879758046,0.01722894489890714,9138.184879758046,-0.21312178705023033,0.16120216449437674,0.18720590201578122,0.2566646135223188,,,,,,0.1105566791939455,13.0,46.15384615384615,1.3114605862370552,0.013792564375900583,0.12583146937288966,0.08224078276437577,1.530037350609898,,,2.5395348837209304,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,1.0,"STC(17,70,33)","{'stc_ema_short_period': 17, 'stc_ema_long_period': 70, 'stc_cycle_period': 33}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.4905852573594677,0.08109797408756925,49058.525735946765,-0.2011291584654491,0.1638410561463545,0.5580567197744659,0.8008161385153475,,,,,,0.0977191114793509,17.0,64.70588235294117,2.4646583811848437,0.026498551160171174,0.06891261903970423,0.05126057328563941,1.344359117009915,,,3.32093023255814,,,,,,,,17.0,70.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,2.0,"STC(19,65,31)","{'stc_ema_short_period': 19, 'stc_ema_long_period': 65, 'stc_cycle_period': 31}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.48526837772237513,0.08034357694824212,48526.837772237515,-0.20779834765994354,0.16225672542106512,0.5576209436223211,0.7981676113587344,,,,,,0.09520581212921864,16.0,62.5,2.5245832869122733,0.027541774392600755,0.07297102511392727,0.04817364347627676,1.5147499721473638,,,3.1255813953488376,,,,,,,,19.0,65.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,3.0,"STC(20,65,32)","{'stc_ema_short_period': 20, 'stc_ema_long_period': 65, 'stc_cycle_period': 32}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.4832880022645254,0.08006203155703417,48328.80022645254,-0.21188411054446832,0.1630650400109941,0.5540534274642143,0.7951259939813039,,,,,,0.09986661113082351,16.0,62.5,2.4470819653328393,0.027866226702989626,0.0753969076421491,0.05135157486227615,1.4682491791997037,,,3.1255813953488376,,,,,,,,20.0,65.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,4.0,"STC(16,70,33)","{'stc_ema_short_period': 16, 'stc_ema_long_period': 70, 'stc_cycle_period': 33}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.4726019366934974,0.07853757757229851,47260.19366934974,-0.19523461614850457,0.16361188207066193,0.5441159636175701,0.7795444493421902,,,,,,0.09689695617102455,17.0,64.70588235294117,2.4847103321261965,0.025502150761831894,0.06595793952716979,0.04866679530795425,1.355296544796107,,,3.32093023255814,,,,,,,,16.0,70.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,5.0,"STC(18,64,32)","{'stc_ema_short_period': 18, 'stc_ema_long_period': 64, 'stc_cycle_period': 32}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.4506201066755342,0.07537348987367776,45062.01066755342,-0.21489885615805493,0.16253719723620844,0.5285602800986686,0.7558450906068587,,,,,,0.09635874886083882,15.0,60.0,2.509027542176617,0.027850729754887137,0.07717801262917691,0.046140194556547526,1.6726850281177448,,,2.930232558139535,,,,,,,,18.0,64.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,1.0,"KAMA(10,3,60)","{'kama_period': 10, 'kama_fast_ema_constant': 3, 'kama_slow_ema_constant': 60}","Price crossing KAMA line: buy on cross above, sell on cross below",0.42404433170464645,0.07149620956887359,42404.43317046465,-0.20586489703389865,0.17322258763189566,0.4858077432099043,0.6874751533631087,,,,,,0.08597418685270972,49.0,44.89795918367347,1.5791655149047086,0.009081860691624716,0.05515351448598349,0.02845800536303799,1.9380667682921422,,,9.572093023255814,,,,,,,,,,,10.0,3.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,2.0,"KAMA(10,3,61)","{'kama_period': 10, 'kama_fast_ema_constant': 3, 'kama_slow_ema_constant': 61}","Price crossing KAMA line: buy on cross above, sell on cross below",0.41026235387093735,0.06946250847618285,41026.23538709374,-0.20586489703389865,0.17327904037331726,0.4747387659380014,0.6716202449097093,,,,,,0.08622227744811635,49.0,42.857142857142854,1.5645421974016596,0.008882843811225269,0.05744069458810001,0.02753554427143079,2.0860562632022126,,,9.572093023255814,,,,,,,,,,,10.0,3.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,3.0,"KAMA(10,3,62)","{'kama_period': 10, 'kama_fast_ema_constant': 3, 'kama_slow_ema_constant': 62}","Price crossing KAMA line: buy on cross above, sell on cross below",0.41026235387093735,0.06946250847618285,41026.23538709374,-0.20586489703389865,0.17327904037331726,0.4747387659380014,0.6716202449097093,,,,,,0.08622227744811635,49.0,42.857142857142854,1.5645421974016596,0.008882843811225269,0.05744069458810001,0.02753554427143079,2.0860562632022126,,,9.572093023255814,,,,,,,,,,,10.0,3.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,4.0,"KAMA(5,8,66)","{'kama_period': 5, 'kama_fast_ema_constant': 8, 'kama_slow_ema_constant': 66}","Price crossing KAMA line: buy on cross above, sell on cross below",0.3813096770559666,0.0651375473385094,38130.96770559666,-0.26307902211373624,0.17671337098483916,0.44607133852691677,0.6222533742818124,,,,,,0.12601784073649241,33.0,48.484848484848484,1.896597975144776,0.011719722734237294,0.05113153412716663,0.025373746812049132,2.015135348591324,,,6.446511627906977,,,,,,,,,,,5.0,8.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,5.0,"KAMA(5,8,67)","{'kama_period': 5, 'kama_fast_ema_constant': 8, 'kama_slow_ema_constant': 67}","Price crossing KAMA line: buy on cross above, sell on cross below",0.3813096770559666,0.0651375473385094,38130.96770559666,-0.26307902211373624,0.17671337098483916,0.44607133852691677,0.6222533742818124,,,,,,0.12601784073649241,33.0,48.484848484848484,1.896597975144776,0.011719722734237294,0.05113153412716663,0.025373746812049132,2.015135348591324,,,6.446511627906977,,,,,,,,,,,5.0,8.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,SUPERTREND,1.0,"SUPERTREND(ATR=5,Factor=1)","{'supertrend_atr_length': 5, 'supertrend_factor': 1}","SUPERTREND flip: buy when close above red line, sell when close below green line",0.7774764242698622,0.11891962589700888,77747.64242698622,-0.39179815232876736,0.2101966689193518,0.6404861460911334,0.9183663952644066,,,,,,0.14086185257018277,67.0,50.74626865671642,1.6645688052217935,0.0105828323749413,0.05223475989043053,0.03233127476222942,1.6156108991858587,,,13.088372093023256,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
