stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(5,105,137)","{'ema1_period': 5, 'ema2_period': 105, 'ema3_period': 137}",Triple EMA crossover strategy,0.1142685127679781,0.0211295922407162,11426.85127679781,-0.3356342073459906,0.2519369369011065,0.2094018811730063,0.29399394423247077,,,,,,0.1896458730238868,17.0,41.17647058823529,1.4049575426781413,0.009902018787199826,0.08343117021383341,0.04156838721144368,2.007082203825916,,,3.285276073619632,5.0,105.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(5,106,137)","{'ema1_period': 5, 'ema2_period': 106, 'ema3_period': 137}",Triple EMA crossover strategy,0.09580166747245225,0.017837064449090168,9580.166747245225,-0.33563420734599037,0.2518504851821477,0.19656211063179282,0.2758725948045645,,,,,,0.18969818979953826,17.0,41.17647058823529,1.3532324152717283,0.008967380796004464,0.08343117021383342,0.04315727179647581,1.9331891646738972,,,3.285276073619632,5.0,106.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(5,97,137)","{'ema1_period': 5, 'ema2_period': 97, 'ema3_period': 137}",Triple EMA crossover strategy,0.09045280177469976,0.016875036399729648,9045.280177469976,-0.3518475901919722,0.2534353587167826,0.19319592582426331,0.2707954757838939,,,,,,0.18868728160709058,20.0,40.0,1.3301175744219393,0.007535955313004221,0.0759101255017819,0.03804682481284757,1.9951763616329092,,,3.8650306748466257,5.0,97.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(5,105,138)","{'ema1_period': 5, 'ema2_period': 105, 'ema3_period': 138}",Triple EMA crossover strategy,0.07620454776537924,0.01429368938333897,7620.454776537925,-0.357254493305866,0.2517751850445606,0.18269393459678474,0.2562571195150759,,,,,,0.1991698271051718,17.0,41.17647058823529,1.2982403698606007,0.007892030831567596,0.08343117021383341,0.044985366736018474,1.854629099800858,,,3.285276073619632,5.0,105.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(5,105,139)","{'ema1_period': 5, 'ema2_period': 105, 'ema3_period': 139}",Triple EMA crossover strategy,0.07620454776537924,0.01429368938333897,7620.454776537925,-0.357254493305866,0.2517751850445606,0.18269393459678474,0.2562571195150759,,,,,,0.1991698271051718,17.0,41.17647058823529,1.2982403698606007,0.007892030831567596,0.08343117021383341,0.044985366736018474,1.854629099800858,,,3.285276073619632,5.0,105.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(10,70,52)","{'macd_fast_period': 10, 'macd_slow_period': 70, 'macd_signal_period': 52}",MACD line crossing its signal line,0.037004291367549305,0.00704671282906566,3700.4291367549304,-0.3731962888777546,0.27636879242684753,0.16372450502520894,0.23302663341229005,,,,,,0.19449416098549718,24.0,45.83333333333333,1.1585101256497414,0.00461284517850135,0.07355805866466714,0.05372541238671584,1.369148330313331,,,4.638036809815951,,,,10.0,70.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(10,72,51)","{'macd_fast_period': 10, 'macd_slow_period': 72, 'macd_signal_period': 51}",MACD line crossing its signal line,0.025114353983486215,0.004804951065219276,2511.4353983486217,-0.37319628887775447,0.2763231391454358,0.1556398351556882,0.2214832511945875,,,,,,0.194494160985497,24.0,45.83333333333333,1.1416574576003078,0.0041224112189163845,0.07248802093466361,0.053725412386715875,1.349231540800364,,,4.638036809815951,,,,10.0,72.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(10,73,50)","{'macd_fast_period': 10, 'macd_slow_period': 73, 'macd_signal_period': 50}",MACD line crossing its signal line,0.025114353983486215,0.004804951065219276,2511.4353983486217,-0.37319628887775447,0.2763231391454358,0.1556398351556882,0.2214832511945875,,,,,,0.194494160985497,24.0,45.83333333333333,1.1416574576003078,0.0041224112189163845,0.07248802093466361,0.053725412386715875,1.349231540800364,,,4.638036809815951,,,,10.0,73.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(11,76,44)","{'macd_fast_period': 11, 'macd_slow_period': 76, 'macd_signal_period': 44}",MACD line crossing its signal line,0.024714989886686526,0.004729290483096449,2471.4989886686526,-0.3689675747973641,0.2762300329954832,0.1553266789394187,0.22103671875354475,,,,,,0.19070458999996964,24.0,41.66666666666667,1.1349496379301567,0.003995338591837702,0.08064356139545482,0.05075339198217453,1.5889294931022193,,,4.638036809815951,,,,11.0,76.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(10,71,51)","{'macd_fast_period': 10, 'macd_slow_period': 71, 'macd_signal_period': 51}",MACD line crossing its signal line,0.022526845009048703,0.004314317905954157,2252.68450090487,-0.3763193291743754,0.2763063851439646,0.15386478526421357,0.21894399083286875,,,,,,0.19706597531714762,24.0,45.83333333333333,1.1347542414974803,0.003921518897460247,0.07204971041512291,0.05372541238671585,1.3410731944970222,,,4.638036809815951,,,,10.0,71.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
