stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(8,97,120)","{'ema1_period': 8, 'ema2_period': 97, 'ema3_period': 120}",Triple EMA crossover strategy,0.15060153363003206,0.02778344462507132,15060.153363003206,-0.46165945393678753,0.2026155999624998,0.23695180972835952,0.33728717212210313,,,,,,0.17821181292207833,15.0,20.0,1.6259581043019633,0.026076662763772827,0.33867730813380476,0.052073498578735146,6.503832417207854,,,2.930232558139535,8.0,97.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(8,97,126)","{'ema1_period': 8, 'ema2_period': 97, 'ema3_period': 126}",Triple EMA crossover strategy,0.13528592758399624,0.025096492225139766,13528.592758399624,-0.46879748055154524,0.20251048134671065,0.22404197883162957,0.3187549769442775,,,,,,0.18123317823262966,16.0,18.75,1.585294288880443,0.023686028847702496,0.34215791471644047,0.049807483275852424,6.869608585148587,,,3.1255813953488376,8.0,97.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(8,97,127)","{'ema1_period': 8, 'ema2_period': 97, 'ema3_period': 127}",Triple EMA crossover strategy,0.13528592758399624,0.025096492225139766,13528.592758399624,-0.46879748055154524,0.20251048134671065,0.22404197883162957,0.3187549769442775,,,,,,0.18123317823262966,16.0,18.75,1.585294288880443,0.023686028847702496,0.34215791471644047,0.049807483275852424,6.869608585148587,,,3.1255813953488376,8.0,97.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(8,97,128)","{'ema1_period': 8, 'ema2_period': 97, 'ema3_period': 128}",Triple EMA crossover strategy,0.13202513555516154,0.024520660141421402,13202.513555516154,-0.47032321155818313,0.2025386700661428,0.22126517928027034,0.3147556989286205,,,,,,0.1817821429103522,16.0,18.75,1.5785804884029417,0.023513913472649403,0.3421579147164404,0.050019317583610064,6.84051544974608,,,3.1255813953488376,8.0,97.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(8,97,121)","{'ema1_period': 8, 'ema2_period': 97, 'ema3_period': 121}",Triple EMA crossover strategy,0.13109577244158355,0.024356297010088568,13109.577244158354,-0.4687974805515447,0.20249180369705472,0.2204761688617353,0.31365280168817833,,,,,,0.18148436218026856,16.0,18.75,1.5833062756772365,0.02339478654952054,0.33867730813380476,0.04936271843146812,6.8609938612680255,,,3.1255813953488376,8.0,97.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(11,62,40)","{'macd_fast_period': 11, 'macd_slow_period': 62, 'macd_signal_period': 40}",MACD line crossing its signal line,1.2229408936622588,0.16888548275814985,122294.08936622587,-0.5070327581054948,0.2628577303490457,0.7246634009679316,1.0956372607616696,,,,,,0.16752058075807408,17.0,47.05882352941176,3.192074491843066,0.08229059318333576,0.25464012370145256,0.07090898949943472,3.5910838033234493,,,3.32093023255814,,,,11.0,62.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(11,60,41)","{'macd_fast_period': 11, 'macd_slow_period': 60, 'macd_signal_period': 41}",MACD line crossing its signal line,1.1773718142407221,0.1641655401806128,117737.18142407222,-0.5070327581054948,0.2630719818580362,0.7088979664613658,1.0709343651376377,,,,,,0.16758433526827934,16.0,43.75,3.157768061327486,0.08606539845162356,0.28788961153155557,0.07090898949943471,4.059987507421053,,,3.1255813953488376,,,,11.0,60.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(11,60,40)","{'macd_fast_period': 11, 'macd_slow_period': 60, 'macd_signal_period': 40}",MACD line crossing its signal line,1.1649416140899873,0.1628642598346004,116494.16140899873,-0.5098470140099874,0.26308722136326823,0.7046179695878935,1.0644184939724661,,,,,,0.16948128657690856,16.0,43.75,3.148622391850025,0.08570061147484329,0.28705581272748637,0.07090898949943467,4.048228789521461,,,3.1255813953488376,,,,11.0,60.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(11,61,40)","{'macd_fast_period': 11, 'macd_slow_period': 61, 'macd_signal_period': 40}",MACD line crossing its signal line,1.1649416140899873,0.1628642598346004,116494.16140899873,-0.5098470140099874,0.26308722136326823,0.7046179695878935,1.0644184939724661,,,,,,0.16948128657690856,16.0,43.75,3.148622391850025,0.08570061147484329,0.28705581272748637,0.07090898949943467,4.048228789521461,,,3.1255813953488376,,,,11.0,61.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(11,63,40)","{'macd_fast_period': 11, 'macd_slow_period': 63, 'macd_signal_period': 40}",MACD line crossing its signal line,1.1314454688197686,0.15932747371002498,113144.54688197686,-0.5066754835371218,0.26254168395726163,0.6939273312497276,1.0479514575134887,,,,,,0.1676191058875906,17.0,41.17647058823529,3.0951844122420873,0.07936187629140984,0.2847259715318942,0.06439299037692918,4.421692017488697,,,3.32093023255814,,,,11.0,63.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,1.0,AROON(52),{'aroon_timeperiod': 52},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",1.4691504729525195,0.1931188546502245,146915.04729525195,-0.26340555648810715,0.20501663597924127,0.9633880368558612,1.518199815138986,,,,,,0.10885788841243539,11.0,54.54545454545454,6.542822714678288,0.12286447514681349,0.26588995421582806,0.04876609973600397,5.452352262231907,,,2.1488372093023256,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,2.0,AROON(45),{'aroon_timeperiod': 45},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",1.5571174096461065,0.20130592497970312,155711.74096461065,-0.30345465327502075,0.2268732538512336,0.9205147236406748,1.5119915279434937,,,,,,0.11553841048662342,14.0,42.857142857142854,4.785951776729508,0.09202153941139139,0.2714310457986931,0.04253559037908487,6.3812690356393444,,,2.734883720930233,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,3.0,AROON(47),{'aroon_timeperiod': 47},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",1.5216124929500132,0.19802918540614667,152161.24929500133,-0.30089993666473536,0.22499962361148362,0.9141245763728878,1.5085269467080198,,,,,,0.12745503951356468,13.0,38.46153846153847,5.018245384746721,0.11247008084560435,0.3651958171337295,0.04548350433447386,8.029192615594754,,,2.5395348837209304,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,4.0,AROON(51),{'aroon_timeperiod': 51},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",1.235691772000333,0.170192240345985,123569.17720003331,-0.25945563365005175,0.20604894097878454,0.8653898312746889,1.3512650513180735,,,,,,0.11727761132478476,11.0,45.45454545454545,5.719904522839446,0.11210769613451922,0.2988915756953059,0.043545536832802996,6.863885427407336,,,2.1488372093023256,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,5.0,AROON(46),{'aroon_timeperiod': 46},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",1.3590481853877858,0.18253418085802298,135904.81853877858,-0.314208927007919,0.22604669262453,0.8533288887104108,1.396805311948889,,,,,,0.131328485248884,14.0,35.714285714285715,3.965155362494894,0.08642128854444273,0.3235873411937133,0.045337629594040904,7.137279652490809,,,2.734883720930233,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,1.0,"STC(28,92,37)","{'stc_ema_short_period': 28, 'stc_ema_long_period': 92, 'stc_cycle_period': 37}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",2.057445376682453,0.2439824660340335,205744.53766824532,-0.33213860106032334,0.23433280853022623,1.0475501354969554,1.7312619008303822,,,,,,0.1267880422232237,12.0,41.66666666666667,8.423644822519064,0.13815298433979714,0.3762308243150869,0.03190261564255272,11.793102751526689,,,2.344186046511628,,,,,,,,28.0,92.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
