stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(8,100,120)","{'ema1_period': 8, 'ema2_period': 100, 'ema3_period': 120}",Triple EMA crossover strategy,0.23411510818573414,0.04126281032367052,23411.510818573413,-0.139416007467414,0.1217252866790039,0.393229406515281,0.5371442394919126,,,,,,0.06269428555745239,11.0,45.45454545454545,2.8077321391021863,0.021459069499662944,0.07332552161548729,0.021762973930190683,3.369278566922624,,,2.11441647597254,8.0,100.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(8,100,121)","{'ema1_period': 8, 'ema2_period': 100, 'ema3_period': 121}",Triple EMA crossover strategy,0.23411510818573414,0.04126281032367052,23411.510818573413,-0.139416007467414,0.1217252866790039,0.393229406515281,0.5371442394919126,,,,,,0.06269428555745239,11.0,45.45454545454545,2.8077321391021863,0.021459069499662944,0.07332552161548729,0.021762973930190683,3.369278566922624,,,2.11441647597254,8.0,100.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(8,100,122)","{'ema1_period': 8, 'ema2_period': 100, 'ema3_period': 122}",Triple EMA crossover strategy,0.23285645673364094,0.041058595630362404,23285.645673364095,-0.139416007467414,0.12172641408825136,0.39161525669061237,0.5349375603045334,,,,,,0.06295909680823257,11.0,45.45454545454545,2.7859865298191404,0.021366414389814018,0.0733255216154873,0.02193284163158039,3.3431838357829684,,,2.11441647597254,8.0,100.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(9,96,120)","{'ema1_period': 9, 'ema2_period': 96, 'ema3_period': 120}",Triple EMA crossover strategy,0.23285645673364094,0.041058595630362404,23285.645673364095,-0.139416007467414,0.12172641408825136,0.39161525669061237,0.5349375603045334,,,,,,0.06295909680823257,11.0,45.45454545454545,2.7859865298191404,0.021366414389814018,0.0733255216154873,0.02193284163158039,3.3431838357829684,,,2.11441647597254,9.0,96.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(9,96,121)","{'ema1_period': 9, 'ema2_period': 96, 'ema3_period': 121}",Triple EMA crossover strategy,0.23285645673364094,0.041058595630362404,23285.645673364095,-0.139416007467414,0.12172641408825136,0.39161525669061237,0.5349375603045334,,,,,,0.06295909680823257,11.0,45.45454545454545,2.7859865298191404,0.021366414389814018,0.0733255216154873,0.02193284163158039,3.3431838357829684,,,2.11441647597254,9.0,96.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(46,60,61)","{'macd_fast_period': 46, 'macd_slow_period': 60, 'macd_signal_period': 61}",MACD line crossing its signal line,0.4273099365012425,0.07078297150783386,42730.99365012425,-0.23598512255542747,0.11998909633190528,0.6300287937655562,0.9043841183952578,,,,,,0.07299191385570833,12.0,58.333333333333336,2.573649995767116,0.033801930547948854,0.09476894605787353,0.05155189116594568,1.83832142554794,,,2.3066361556064074,,,,46.0,60.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(46,61,60)","{'macd_fast_period': 46, 'macd_slow_period': 61, 'macd_signal_period': 60}",MACD line crossing its signal line,0.4273099365012425,0.07078297150783386,42730.99365012425,-0.23598512255542747,0.11998909633190528,0.6300287937655562,0.9043841183952578,,,,,,0.07299191385570833,12.0,58.333333333333336,2.573649995767116,0.033801930547948854,0.09476894605787353,0.05155189116594568,1.83832142554794,,,2.3066361556064074,,,,46.0,61.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(46,62,59)","{'macd_fast_period': 46, 'macd_slow_period': 62, 'macd_signal_period': 59}",MACD line crossing its signal line,0.4273099365012425,0.07078297150783386,42730.99365012425,-0.23598512255542747,0.11998909633190528,0.6300287937655562,0.9043841183952578,,,,,,0.07299191385570833,12.0,58.333333333333336,2.573649995767116,0.033801930547948854,0.09476894605787353,0.05155189116594568,1.83832142554794,,,2.3066361556064074,,,,46.0,62.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(46,63,58)","{'macd_fast_period': 46, 'macd_slow_period': 63, 'macd_signal_period': 58}",MACD line crossing its signal line,0.4273099365012425,0.07078297150783386,42730.99365012425,-0.23598512255542747,0.11998909633190528,0.6300287937655562,0.9043841183952578,,,,,,0.07299191385570833,12.0,58.333333333333336,2.573649995767116,0.033801930547948854,0.09476894605787353,0.05155189116594568,1.83832142554794,,,2.3066361556064074,,,,46.0,63.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(46,64,57)","{'macd_fast_period': 46, 'macd_slow_period': 64, 'macd_signal_period': 57}",MACD line crossing its signal line,0.4273099365012425,0.07078297150783386,42730.99365012425,-0.23598512255542747,0.11998909633190528,0.6300287937655562,0.9043841183952578,,,,,,0.07299191385570833,12.0,58.333333333333336,2.573649995767116,0.033801930547948854,0.09476894605787353,0.05155189116594568,1.83832142554794,,,2.3066361556064074,,,,46.0,64.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
