stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(4,93,129)","{'ema1_period': 4, 'ema2_period': 93, 'ema3_period': 129}",Triple EMA crossover strategy,0.41663697525103577,0.07040514118164243,41663.69752510358,-0.3664236847107736,0.24515938722735398,0.39906909291223136,0.6225487137944311,,,,,,0.1936041647102752,23.0,43.47826086956522,2.25876351992752,0.030040017815281428,0.1239808583593098,0.04222216721858656,2.9363925759057756,,,4.493023255813954,4.0,93.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(4,93,130)","{'ema1_period': 4, 'ema2_period': 93, 'ema3_period': 130}",Triple EMA crossover strategy,0.41663697525103577,0.07040514118164243,41663.69752510358,-0.3664236847107736,0.24515938722735398,0.39906909291223136,0.6225487137944311,,,,,,0.1936041647102752,23.0,43.47826086956522,2.25876351992752,0.030040017815281428,0.1239808583593098,0.04222216721858656,2.9363925759057756,,,4.493023255813954,4.0,93.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(4,92,129)","{'ema1_period': 4, 'ema2_period': 92, 'ema3_period': 129}",Triple EMA crossover strategy,0.4100586145719327,0.06943232449414083,41005.86145719327,-0.3664236847107736,0.24517528182071185,0.39534917433485806,0.6167080732377898,,,,,,0.19367611609911378,23.0,39.130434782608695,2.2414414326023158,0.029837870659247746,0.1376747553643419,0.03948584093688422,3.486686672936936,,,4.493023255813954,4.0,92.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(4,92,130)","{'ema1_period': 4, 'ema2_period': 92, 'ema3_period': 130}",Triple EMA crossover strategy,0.4100586145719327,0.06943232449414083,41005.86145719327,-0.3664236847107736,0.24517528182071185,0.39534917433485806,0.6167080732377898,,,,,,0.19367611609911378,23.0,39.130434782608695,2.2414414326023158,0.029837870659247746,0.1376747553643419,0.03948584093688422,3.486686672936936,,,4.493023255813954,4.0,92.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(4,93,139)","{'ema1_period': 4, 'ema2_period': 93, 'ema3_period': 139}",Triple EMA crossover strategy,0.38335751626614467,0.06544583946853844,38335.75162661447,-0.4178746592884036,0.2454359424124624,0.37997892530052385,0.5915463164975073,,,,,,0.21024851850559817,24.0,41.66666666666667,2.168446225905757,0.027835784809078723,0.12398085835930975,0.04083926772680059,3.0358247162680603,,,4.688372093023256,4.0,93.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(24,98,119)","{'macd_fast_period': 24, 'macd_slow_period': 98, 'macd_signal_period': 119}",MACD line crossing its signal line,0.865585372475369,0.1295446953225703,86558.53724753691,-0.31911804988259973,0.25905464536043016,0.598837130893647,0.9353720323004335,,,,,,0.14297724000939596,11.0,36.36363636363637,3.6003005499866747,0.09940581478538796,0.3784946038354045,0.06007349324319293,6.300525962476681,,,2.1488372093023256,,,,24.0,98.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(23,98,118)","{'macd_fast_period': 23, 'macd_slow_period': 98, 'macd_signal_period': 118}",MACD line crossing its signal line,0.865048026956277,0.1294811325127243,86504.8026956277,-0.29175219548456055,0.25973086257844935,0.5977239225610089,0.934704231011165,,,,,,0.14096122134346944,11.0,45.45454545454545,3.5631050828623674,0.09811075054002742,0.30005543502449017,0.07017648653035821,4.2757260994348405,,,2.1488372093023256,,,,23.0,98.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(23,99,117)","{'macd_fast_period': 23, 'macd_slow_period': 99, 'macd_signal_period': 117}",MACD line crossing its signal line,0.865048026956277,0.1294811325127243,86504.8026956277,-0.29175219548456055,0.25973086257844935,0.5977239225610089,0.934704231011165,,,,,,0.14096122134346944,11.0,45.45454545454545,3.5631050828623674,0.09811075054002742,0.30005543502449017,0.07017648653035821,4.2757260994348405,,,2.1488372093023256,,,,23.0,99.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(24,99,118)","{'macd_fast_period': 24, 'macd_slow_period': 99, 'macd_signal_period': 118}",MACD line crossing its signal line,0.8531239056626154,0.12806681746252857,85312.39056626154,-0.3191180498825985,0.25904069281534037,0.5937982229822464,0.9274514007375753,,,,,,0.14297766356009872,11.0,36.36363636363637,3.5472072520041875,0.09883362331302607,0.37849460383540456,0.060972651271190226,6.207612691007329,,,2.1488372093023256,,,,24.0,99.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(24,99,119)","{'macd_fast_period': 24, 'macd_slow_period': 99, 'macd_signal_period': 119}",MACD line crossing its signal line,0.8531239056626154,0.12806681746252857,85312.39056626154,-0.3191180498825985,0.25904069281534037,0.5937982229822464,0.9274514007375753,,,,,,0.14297766356009872,11.0,36.36363636363637,3.5472072520041875,0.09883362331302607,0.37849460383540456,0.060972651271190226,6.207612691007329,,,2.1488372093023256,,,,24.0,99.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
