stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(8,94,126)","{'ema1_period': 8, 'ema2_period': 94, 'ema3_period': 126}",Triple EMA crossover strategy,4.269492666618329,0.3835558553765035,426949.2666618329,-0.8831976086675505,1.2786453425491924,0.7756772455569833,1.700613180073199,,,,,,0.5391715571688525,21.0,14.285714285714285,20.59131339799824,1.8267783094164618,13.440158267894503,0.1087850169965447,123.54788038798944,,,4.102325581395349,8.0,94.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(8,105,126)","{'ema1_period': 8, 'ema2_period': 105, 'ema3_period': 126}",Triple EMA crossover strategy,4.18919938488523,0.3794120751421344,418919.93848852295,-0.8831976086675505,1.278325123234309,0.7732097837058515,1.69494861677135,,,,,,0.5398721247991919,19.0,10.526315789473683,18.551985224289037,1.6470114824453965,16.53805292182218,0.1048757457165784,157.6918744064568,,,3.7116279069767444,8.0,105.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(8,95,126)","{'ema1_period': 8, 'ema2_period': 95, 'ema3_period': 126}",Triple EMA crossover strategy,4.142330533091728,0.376969360763284,414233.05330917286,-0.8831976086675505,1.2786064203167018,0.7719163195014448,1.6923161206128583,,,,,,0.5401371297469797,21.0,14.285714285714285,20.35784810573324,1.825708976955364,13.440158267894503,0.11003257153449211,122.14708863439942,,,4.102325581395349,8.0,95.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(9,90,139)","{'ema1_period': 9, 'ema2_period': 90, 'ema3_period': 139}",Triple EMA crossover strategy,4.080586975700653,0.3737239111824422,408058.6975700653,-0.8831976086675505,1.280387838107745,0.7707694138005684,1.686890883343449,,,,,,0.5419898341926358,17.0,11.76470588235294,20.95049266329082,2.254509115518676,20.123871554946582,0.12807254307171095,157.12869497468114,,,3.32093023255814,9.0,90.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(9,92,139)","{'ema1_period': 9, 'ema2_period': 92, 'ema3_period': 139}",Triple EMA crossover strategy,4.05228785436657,0.3722257975057355,405228.785436657,-0.8831976086675505,1.2803967947590849,0.7699301050122899,1.684417712130913,,,,,,0.5421054627962894,20.0,15.0,19.71213016493387,1.9165701630222032,13.459960710235086,0.12049875707418763,111.70207093462528,,,3.906976744186047,9.0,92.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(42,60,50)","{'macd_fast_period': 42, 'macd_slow_period': 60, 'macd_signal_period': 50}",MACD line crossing its signal line,8.932553587269922,0.5659384602052284,893255.3587269922,-0.8831976086675505,1.2943958030793168,0.8774502588929278,1.9083401592653217,,,,,,0.4677860392542574,12.0,33.33333333333333,23.30543597583505,2.6836900462275515,8.41201668764968,0.18047327448351397,46.6108719516701,,,2.344186046511628,,,,42.0,60.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(44,61,47)","{'macd_fast_period': 44, 'macd_slow_period': 61, 'macd_signal_period': 47}",MACD line crossing its signal line,8.932553587269922,0.5659384602052284,893255.3587269922,-0.8831976086675505,1.2943958030793168,0.8774502588929278,1.9083401592653217,,,,,,0.4677860392542574,12.0,33.33333333333333,23.30543597583505,2.6836900462275515,8.41201668764968,0.18047327448351397,46.6108719516701,,,2.344186046511628,,,,44.0,61.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(45,61,46)","{'macd_fast_period': 45, 'macd_slow_period': 61, 'macd_signal_period': 46}",MACD line crossing its signal line,8.932553587269922,0.5659384602052284,893255.3587269922,-0.8831976086675505,1.2943958030793168,0.8774502588929278,1.9083401592653217,,,,,,0.4677860392542574,12.0,33.33333333333333,23.30543597583505,2.6836900462275515,8.41201668764968,0.18047327448351397,46.6108719516701,,,2.344186046511628,,,,45.0,61.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(46,61,45)","{'macd_fast_period': 46, 'macd_slow_period': 61, 'macd_signal_period': 45}",MACD line crossing its signal line,8.932553587269922,0.5659384602052284,893255.3587269922,-0.8831976086675505,1.2943958030793168,0.8774502588929278,1.9083401592653217,,,,,,0.4677860392542574,12.0,33.33333333333333,23.30543597583505,2.6836900462275515,8.41201668764968,0.18047327448351397,46.6108719516701,,,2.344186046511628,,,,46.0,61.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(47,61,44)","{'macd_fast_period': 47, 'macd_slow_period': 61, 'macd_signal_period': 44}",MACD line crossing its signal line,8.932553587269922,0.5659384602052284,893255.3587269922,-0.8831976086675505,1.2943958030793168,0.8774502588929278,1.9083401592653217,,,,,,0.4677860392542574,12.0,33.33333333333333,23.30543597583505,2.6836900462275515,8.41201668764968,0.18047327448351397,46.6108719516701,,,2.344186046511628,,,,47.0,61.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
