stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(7,100,126)","{'ema1_period': 7, 'ema2_period': 100, 'ema3_period': 126}",Triple EMA crossover strategy,0.016734386541614514,0.0032472525512741157,1673.4386541614515,-0.2523727259146785,0.14062500423919683,0.0939712022730278,0.12468026237675482,,,,,,0.1190772637785116,16.0,50.0,1.1297298088413745,0.0021271401349932783,0.03704767068643594,0.032793390416449394,1.1297298088413745,,,3.1255813953488376,7.0,100.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(7,101,126)","{'ema1_period': 7, 'ema2_period': 101, 'ema3_period': 126}",Triple EMA crossover strategy,0.016734386541614514,0.0032472525512741157,1673.4386541614515,-0.2523727259146785,0.14062500423919683,0.0939712022730278,0.12468026237675482,,,,,,0.1190772637785116,16.0,50.0,1.1297298088413745,0.0021271401349932783,0.03704767068643594,0.032793390416449394,1.1297298088413745,,,3.1255813953488376,7.0,101.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(7,102,126)","{'ema1_period': 7, 'ema2_period': 102, 'ema3_period': 126}",Triple EMA crossover strategy,0.016734386541614514,0.0032472525512741157,1673.4386541614515,-0.2523727259146785,0.14062500423919683,0.0939712022730278,0.12468026237675482,,,,,,0.1190772637785116,16.0,50.0,1.1297298088413745,0.0021271401349932783,0.03704767068643594,0.032793390416449394,1.1297298088413745,,,3.1255813953488376,7.0,102.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(7,103,126)","{'ema1_period': 7, 'ema2_period': 103, 'ema3_period': 126}",Triple EMA crossover strategy,0.016734386541614514,0.0032472525512741157,1673.4386541614515,-0.2523727259146785,0.14062500423919683,0.0939712022730278,0.12468026237675482,,,,,,0.1190772637785116,16.0,50.0,1.1297298088413745,0.0021271401349932783,0.03704767068643594,0.032793390416449394,1.1297298088413745,,,3.1255813953488376,7.0,103.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(7,100,127)","{'ema1_period': 7, 'ema2_period': 100, 'ema3_period': 127}",Triple EMA crossover strategy,0.010946365557749959,0.0021290039799246596,1094.636555774996,-0.2523727259146785,0.140647926762617,0.08604909928058181,0.11415572566752911,,,,,,0.11969783759725566,16.0,50.0,1.1078537593620885,0.0017684452193213775,0.03633028085509213,0.03279339041644938,1.1078537593620885,,,3.1255813953488376,7.0,100.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(15,61,41)","{'macd_fast_period': 15, 'macd_slow_period': 61, 'macd_signal_period': 41}",MACD line crossing its signal line,0.2985024654638703,0.05235171917322701,29850.246546387032,-0.1915916185503238,0.11956159020068584,0.48725202009813107,0.6593177928541344,,,,,,0.074481572811402,20.0,45.0,2.006493711628711,0.014718389384470542,0.06520404097254855,0.02658805282395691,2.452381203101758,,,3.906976744186047,,,,15.0,61.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(15,62,40)","{'macd_fast_period': 15, 'macd_slow_period': 62, 'macd_signal_period': 40}",MACD line crossing its signal line,0.2985024654638703,0.05235171917322701,29850.246546387032,-0.1915916185503238,0.11956159020068584,0.48725202009813107,0.6593177928541344,,,,,,0.074481572811402,20.0,45.0,2.006493711628711,0.014718389384470542,0.06520404097254855,0.02658805282395691,2.452381203101758,,,3.906976744186047,,,,15.0,62.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(15,60,41)","{'macd_fast_period': 15, 'macd_slow_period': 60, 'macd_signal_period': 41}",MACD line crossing its signal line,0.29689404451648194,0.052096950969250155,29689.404451648195,-0.1915916185503238,0.11956331185512234,0.48522119344271314,0.6565666616903888,,,,,,0.07453150111225373,20.0,45.0,2.002094685830693,0.014654060542810113,0.06506108799108089,0.026588052823956876,2.447004616015292,,,3.906976744186047,,,,15.0,60.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(17,60,40)","{'macd_fast_period': 17, 'macd_slow_period': 60, 'macd_signal_period': 40}",MACD line crossing its signal line,0.2791230887865412,0.04926503497405488,27912.30887865412,-0.20762004520395272,0.1204691806411912,0.4601071987821972,0.6207668181345235,,,,,,0.08503520535486368,18.0,44.44444444444444,2.020257680257348,0.015519350183740371,0.0691437523755192,0.0273801715696827,2.5253221003216852,,,3.516279069767442,,,,17.0,60.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(14,60,43)","{'macd_fast_period': 14, 'macd_slow_period': 60, 'macd_signal_period': 43}",MACD line crossing its signal line,0.27537415168774226,0.04866357801742294,27537.415168774227,-0.1915916185503238,0.11942954175955897,0.458256661505008,0.6193786866462356,,,,,,0.07574671754859075,21.0,47.61904761904761,1.9119105638548572,0.01312642109631233,0.05779376040175651,0.027480250999546006,2.1031016202403428,,,4.102325581395349,,,,14.0,60.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,1.0,AROON(8),{'aroon_timeperiod': 8},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.10774613061550321,0.020190674941898523,10774.61306155032,-0.1708486140121842,0.12207641795731891,0.22485013825136327,0.3189253191407785,,,,,,0.07524757112307372,61.0,39.34426229508197,1.2224310290927365,0.0022476355444648725,0.0313959391543391,0.016659372202480573,1.8845811698513022,,,11.916279069767443,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,2.0,AROON(29),{'aroon_timeperiod': 29},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.05132871453671949,0.009826110555423373,5132.871453671949,-0.2356554991144736,0.12888754083959658,0.1409696522951458,0.18603850437719247,,,,,,0.13156304398982382,22.0,40.909090909090914,1.1976919702168842,0.003570453762726218,0.05287613381174131,0.030564247809668852,1.7299995125354992,,,4.297674418604651,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,3.0,AROON(30),{'aroon_timeperiod': 30},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.04440983732281413,0.00852442087326244,4440.983732281413,-0.23162450093673126,0.12643919279165147,0.13106765364816178,0.17134879664672722,,,,,,0.1395212123811978,20.0,40.0,1.2001558001336146,0.0034746342179014485,0.052085705325219056,0.02893274652031028,1.8002337002004218,,,3.906976744186047,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,4.0,AROON(9),{'aroon_timeperiod': 9},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.03859089544872768,0.007424285849060963,3859.089544872768,-0.1838320022054205,0.1210556882117846,0.12168191790506605,0.17250678873165684,,,,,,0.08079278561045987,54.0,42.592592592592595,1.1141803230483243,0.0013515246471600697,0.03096378982329271,0.020618865644809303,1.5017213049781761,,,10.548837209302327,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,5.0,AROON(14),{'aroon_timeperiod': 14},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.034910395540683675,0.006725883618863948,3491.0395540683676,-0.15384581291870858,0.12547949578063178,0.11677151950445937,0.15595828596153158,,,,,,0.08043297203508656,44.0,36.36363636363637,1.1206648439156763,0.001574204643577616,0.04020581551203495,0.020501001566969428,1.9611634768524333,,,8.595348837209302,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,1.0,"STC(10,93,20)","{'stc_ema_short_period': 10, 'stc_ema_long_period': 93, 'stc_cycle_period': 20}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.5124615060544029,0.08417933451737358,51246.150605440285,-0.11371484889234651,0.11196935301590866,0.7779175577358783,1.1594620797307675,,,,,,0.04907290118662205,22.0,50.0,2.7557478916934346,0.020224132784601754,0.06348589287353748,0.023037627304333987,2.755747891693434,,,4.297674418604651,,,,,,,,10.0,93.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,2.0,"STC(10,92,20)","{'stc_ema_short_period': 10, 'stc_ema_long_period': 92, 'stc_cycle_period': 20}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.49015109926210293,0.08103645386950942,49015.109926210294,-0.11371484889234729,0.11177811122405153,0.753078567776414,1.1205232233865379,,,,,,0.0491125211788447,22.0,50.0,2.692957276183774,0.019500859385441164,0.06203934607521637,0.023037627304334053,2.692957276183774,,,4.297674418604651,,,,,,,,10.0,92.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,3.0,"STC(10,91,20)","{'stc_ema_short_period': 10, 'stc_ema_long_period': 91, 'stc_cycle_period': 20}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.4901277497632947,0.08103314483601709,49012.77497632947,-0.11371484889234673,0.11177814694093889,0.7530509692336573,1.1204819276689408,,,,,,0.04911052673408083,22.0,50.0,2.6927384858893246,0.019498339180810485,0.062034305665955025,0.02303762730433405,2.692738485889324,,,4.297674418604651,,,,,,,,10.0,91.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,4.0,"STC(10,90,20)","{'stc_ema_short_period': 10, 'stc_ema_long_period': 90, 'stc_cycle_period': 20}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.46425969173478515,0.07734128952778896,46425.969173478516,-0.11371484889234651,0.11193239343712573,0.7215955291025544,1.0721012485826198,,,,,,0.049464634063894626,22.0,50.0,2.584262340605648,0.018680958266300212,0.06094507922920112,0.0235831626966007,2.584262340605648,,,4.297674418604651,,,,,,,,10.0,90.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,5.0,"STC(10,84,20)","{'stc_ema_short_period': 10, 'stc_ema_long_period': 84, 'stc_cycle_period': 20}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.4601986129802796,0.07675694015717127,46019.86129802796,-0.12477247036939842,0.11291219859772375,0.7115122258930157,1.051320190873624,,,,,,0.050799875084184126,22.0,50.0,2.5390286545318483,0.018525062790674552,0.0611238330280888,0.024073707446739687,2.539028654531848,,,4.297674418604651,,,,,,,,10.0,84.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,1.0,"KAMA(25,32,97)","{'kama_period': 25, 'kama_fast_ema_constant': 32, 'kama_slow_ema_constant': 97}","Price crossing KAMA line: buy on cross above, sell on cross below",0.08515186401468483,0.016091999802408274,8515.186401468483,-0.18328126960282565,0.18259542350123892,0.17917103945873092,0.24494993724479514,,,,,,0.087220123982165,17.0,41.17647058823529,1.4236776975058623,0.007896791872299233,0.0644432822141381,0.03168575136698798,2.0338252821512315,,,3.32093023255814,,,,,,,,,,,25.0,32.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,2.0,"KAMA(25,32,98)","{'kama_period': 25, 'kama_fast_ema_constant': 32, 'kama_slow_ema_constant': 98}","Price crossing KAMA line: buy on cross above, sell on cross below",0.08515186401468483,0.016091999802408274,8515.186401468483,-0.18328126960282565,0.18259542350123892,0.17917103945873092,0.24494993724479514,,,,,,0.087220123982165,17.0,41.17647058823529,1.4236776975058623,0.007896791872299233,0.0644432822141381,0.03168575136698798,2.0338252821512315,,,3.32093023255814,,,,,,,,,,,25.0,32.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,3.0,"KAMA(25,32,99)","{'kama_period': 25, 'kama_fast_ema_constant': 32, 'kama_slow_ema_constant': 99}","Price crossing KAMA line: buy on cross above, sell on cross below",0.08515186401468483,0.016091999802408274,8515.186401468483,-0.18328126960282565,0.18259542350123892,0.17917103945873092,0.24494993724479514,,,,,,0.087220123982165,17.0,41.17647058823529,1.4236776975058623,0.007896791872299233,0.0644432822141381,0.03168575136698798,2.0338252821512315,,,3.32093023255814,,,,,,,,,,,25.0,32.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,4.0,"KAMA(25,33,94)","{'kama_period': 25, 'kama_fast_ema_constant': 33, 'kama_slow_ema_constant': 94}","Price crossing KAMA line: buy on cross above, sell on cross below",0.08515186401468483,0.016091999802408274,8515.186401468483,-0.18328126960282565,0.18259542350123892,0.17917103945873092,0.24494993724479514,,,,,,0.087220123982165,17.0,41.17647058823529,1.4236776975058623,0.007896791872299233,0.0644432822141381,0.03168575136698798,2.0338252821512315,,,3.32093023255814,,,,,,,,,,,25.0,33.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,5.0,"KAMA(25,33,95)","{'kama_period': 25, 'kama_fast_ema_constant': 33, 'kama_slow_ema_constant': 95}","Price crossing KAMA line: buy on cross above, sell on cross below",0.08515186401468483,0.016091999802408274,8515.186401468483,-0.18328126960282565,0.18259542350123892,0.17917103945873092,0.24494993724479514,,,,,,0.087220123982165,17.0,41.17647058823529,1.4236776975058623,0.007896791872299233,0.0644432822141381,0.03168575136698798,2.0338252821512315,,,3.32093023255814,,,,,,,,,,,25.0,33.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,SUPERTREND,1.0,"SUPERTREND(ATR=27,Factor=2)","{'supertrend_atr_length': 27, 'supertrend_factor': 2}","SUPERTREND flip: buy when close above red line, sell when close below green line",0.1841861603489441,0.03357621811542111,18418.61603489441,-0.17810973078534742,0.14190858585926838,0.3041280848777087,0.4190563574168289,,,,,,0.0920301424047355,27.0,48.148148148148145,1.444698243665979,0.008004407843382385,0.05400840495186854,0.03471358947164045,1.5558288777941314,,,5.274418604651164,,,,,,,,,,,,,,27.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,SUPERTREND,2.0,"SUPERTREND(ATR=24,Factor=2)","{'supertrend_atr_length': 24, 'supertrend_factor': 2}","SUPERTREND flip: buy when close above red line, sell when close below green line",0.1428038902700621,0.026419055571737626,14280.38902700621,-0.17810973078534686,0.14418734857116725,0.2533996525232716,0.34741327874775896,,,,,,0.0947348743419685,28.0,46.42857142857143,1.3401093885961166,0.006616084965062332,0.05614839960139015,0.03631192105308843,1.5462800637647498,,,5.469767441860466,,,,,,,,,,,,,,24.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,SUPERTREND,3.0,"SUPERTREND(ATR=25,Factor=2)","{'supertrend_atr_length': 25, 'supertrend_factor': 2}","SUPERTREND flip: buy when close above red line, sell when close below green line",0.1428038902700621,0.026419055571737626,14280.38902700621,-0.17810973078534686,0.14418734857116725,0.2533996525232716,0.34741327874775896,,,,,,0.0947348743419685,28.0,46.42857142857143,1.3401093885961166,0.006616084965062332,0.05614839960139015,0.03631192105308843,1.5462800637647498,,,5.469767441860466,,,,,,,,,,,,,,25.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,SUPERTREND,4.0,"SUPERTREND(ATR=26,Factor=2)","{'supertrend_atr_length': 26, 'supertrend_factor': 2}","SUPERTREND flip: buy when close above red line, sell when close below green line",0.1428038902700621,0.026419055571737626,14280.38902700621,-0.17810973078534686,0.14418734857116725,0.2533996525232716,0.34741327874775896,,,,,,0.0947348743419685,28.0,46.42857142857143,1.3401093885961166,0.006616084965062332,0.05614839960139015,0.03631192105308843,1.5462800637647498,,,5.469767441860466,,,,,,,,,,,,,,26.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
