stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(4,90,122)","{'ema1_period': 4, 'ema2_period': 90, 'ema3_period': 122}",Triple EMA crossover strategy,0.4925792247773155,0.08047237580657329,49257.922477731554,-0.3712802527868867,0.21660952721400437,0.4655224099067019,0.6828870423117952,,,,,,0.17052566419783563,23.0,21.73913043478261,2.092540655794881,0.03532431084304561,0.31122023555897577,0.04131344602249056,7.533146360861572,,,4.4447852760736195,4.0,90.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(4,90,123)","{'ema1_period': 4, 'ema2_period': 90, 'ema3_period': 123}",Triple EMA crossover strategy,0.4925792247773155,0.08047237580657329,49257.922477731554,-0.3712802527868867,0.21660952721400437,0.4655224099067019,0.6828870423117952,,,,,,0.17052566419783563,23.0,21.73913043478261,2.092540655794881,0.03532431084304561,0.31122023555897577,0.04131344602249056,7.533146360861572,,,4.4447852760736195,4.0,90.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(4,90,124)","{'ema1_period': 4, 'ema2_period': 90, 'ema3_period': 124}",Triple EMA crossover strategy,0.4925792247773155,0.08047237580657329,49257.922477731554,-0.3712802527868867,0.21660952721400437,0.4655224099067019,0.6828870423117952,,,,,,0.17052566419783563,23.0,21.73913043478261,2.092540655794881,0.03532431084304561,0.31122023555897577,0.04131344602249056,7.533146360861572,,,4.4447852760736195,4.0,90.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(4,90,125)","{'ema1_period': 4, 'ema2_period': 90, 'ema3_period': 125}",Triple EMA crossover strategy,0.4925792247773155,0.08047237580657329,49257.922477731554,-0.3712802527868867,0.21660952721400437,0.4655224099067019,0.6828870423117952,,,,,,0.17052566419783563,23.0,21.73913043478261,2.092540655794881,0.03532431084304561,0.31122023555897577,0.04131344602249056,7.533146360861572,,,4.4447852760736195,4.0,90.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(4,90,126)","{'ema1_period': 4, 'ema2_period': 90, 'ema3_period': 126}",Triple EMA crossover strategy,0.4925792247773155,0.08047237580657329,49257.922477731554,-0.3712802527868867,0.21660952721400437,0.4655224099067019,0.6828870423117952,,,,,,0.17052566419783563,23.0,21.73913043478261,2.092540655794881,0.03532431084304561,0.31122023555897577,0.04131344602249056,7.533146360861572,,,4.4447852760736195,4.0,90.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(25,86,99)","{'macd_fast_period': 25, 'macd_slow_period': 86, 'macd_signal_period': 99}",MACD line crossing its signal line,1.6152529070345456,0.20416267561417145,161525.29070345455,-0.2998498581860505,0.21220680371979495,0.9812399919951269,1.5359966205432676,,,,,,0.10528695716793683,11.0,54.54545454545454,6.41479869231946,0.1291272011087745,0.28045287020223547,0.0524636018033787,5.345665576932883,,,2.125766871165644,,,,25.0,86.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(25,87,98)","{'macd_fast_period': 25, 'macd_slow_period': 87, 'macd_signal_period': 98}",MACD line crossing its signal line,1.6152529070345456,0.20416267561417145,161525.29070345455,-0.2998498581860505,0.21220680371979495,0.9812399919951269,1.5359966205432676,,,,,,0.10528695716793683,11.0,54.54545454545454,6.41479869231946,0.1291272011087745,0.28045287020223547,0.0524636018033787,5.345665576932883,,,2.125766871165644,,,,25.0,87.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(25,88,97)","{'macd_fast_period': 25, 'macd_slow_period': 88, 'macd_signal_period': 97}",MACD line crossing its signal line,1.6152529070345456,0.20416267561417145,161525.29070345455,-0.2998498581860505,0.21220680371979495,0.9812399919951269,1.5359966205432676,,,,,,0.10528695716793683,11.0,54.54545454545454,6.41479869231946,0.1291272011087745,0.28045287020223547,0.0524636018033787,5.345665576932883,,,2.125766871165644,,,,25.0,88.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(29,91,82)","{'macd_fast_period': 29, 'macd_slow_period': 91, 'macd_signal_period': 82}",MACD line crossing its signal line,1.613008012260206,0.20396285474996678,161300.8012260206,-0.2844934820768007,0.21221540800126407,0.9804272847182484,1.5343452619366722,,,,,,0.09976880976829451,11.0,54.54545454545454,6.5829384305812235,0.12919050856861716,0.27927303030086703,0.050908517510082685,5.485782025484353,,,2.125766871165644,,,,29.0,91.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(29,92,81)","{'macd_fast_period': 29, 'macd_slow_period': 92, 'macd_signal_period': 81}",MACD line crossing its signal line,1.613008012260206,0.20396285474996678,161300.8012260206,-0.2844934820768007,0.21221540800126407,0.9804272847182484,1.5343452619366722,,,,,,0.09976880976829451,11.0,54.54545454545454,6.5829384305812235,0.12919050856861716,0.27927303030086703,0.050908517510082685,5.485782025484353,,,2.125766871165644,,,,29.0,92.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,1.0,AROON(39),{'aroon_timeperiod': 39},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",2.0964123757939994,0.24411124327270706,209641.23757939995,-0.23569463070283947,0.23112705161102934,1.060213019865665,1.6734511189125747,,,,,,0.09587127484676544,12.0,66.66666666666666,8.442672492506452,0.1561167407395285,0.26563895844975666,0.06292769468092775,4.221336246253226,,,2.3190184049079754,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,2.0,AROON(38),{'aroon_timeperiod': 38},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",1.8143823861449677,0.22136079170660872,181438.23861449677,-0.3157066830512304,0.23792437911519349,0.9590802629114987,1.4841967640583007,,,,,,0.11431614624546642,15.0,53.333333333333336,6.33587970627385,0.11808905860532085,0.2629128575570381,0.04742385448235599,5.54389474298962,,,2.8987730061349692,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,3.0,AROON(37),{'aroon_timeperiod': 37},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",1.4469283932793562,0.18878045080788386,144692.83932793562,-0.2873899564447021,0.23785834035365377,0.8455486089958292,1.2989601216088031,,,,,,0.11790295893254449,15.0,46.666666666666664,4.7552204647089775,0.10436356686562902,0.2831896328971629,0.05210924091196317,5.434537673953117,,,2.8987730061349692,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,4.0,AROON(36),{'aroon_timeperiod': 36},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",1.4009409326920859,0.18442973998153755,140094.0932692086,-0.2959152489957869,0.2388595072073419,0.8276242603641855,1.2731026920886832,,,,,,0.12587993703071831,17.0,58.82352941176471,3.769479628434191,0.07359259911645603,0.17028103783552154,0.0645337419107804,2.6386357399039335,,,3.285276073619632,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,5.0,AROON(35),{'aroon_timeperiod': 35},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",1.1939616178068557,0.16397333820705962,119396.16178068558,-0.3026144139372755,0.23858443765928916,0.7552566376890457,1.1546297059887665,,,,,,0.13058901261026032,17.0,47.05882352941176,3.253761250387291,0.06565385857154861,0.20141739035527018,0.055024836347315004,3.6604814066857023,,,3.285276073619632,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,1.0,"STC(27,82,54)","{'stc_ema_short_period': 27, 'stc_ema_long_period': 82, 'stc_cycle_period': 54}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",1.4430663647848154,0.18841762724232192,144306.63647848155,-0.270959234311418,0.22549360170882612,0.8778688903864823,1.3603648573576437,,,,,,0.09176336150136893,11.0,72.72727272727273,5.5872268733940205,0.10197899514587333,0.17078884959233748,0.0815139500446978,2.095210077522758,,,2.125766871165644,,,,,,,,27.0,82.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,2.0,"STC(42,98,32)","{'stc_ema_short_period': 42, 'stc_ema_long_period': 98, 'stc_cycle_period': 32}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",1.388913289975832,0.18328076478926736,138891.32899758322,-0.24673829996557972,0.2229214215470238,0.8660288983588166,1.3379109415381305,,,,,,0.08711208727207305,11.0,72.72727272727273,5.544434154811727,0.09905492950713221,0.16617137228139173,0.07992225122422647,2.079162808054398,,,2.125766871165644,,,,,,,,42.0,98.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,3.0,"STC(48,89,31)","{'stc_ema_short_period': 48, 'stc_ema_long_period': 89, 'stc_cycle_period': 31}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",1.3792410741111985,0.1823534081581244,137924.10741111985,-0.24673829996557872,0.2228214683427355,0.8627971826454313,1.332652565089848,,,,,,0.08711178144625832,11.0,72.72727272727273,5.51632602672194,0.09844225726859542,0.16532894795340358,0.0799222512242264,2.0686222600207276,,,2.125766871165644,,,,,,,,48.0,89.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,4.0,"STC(49,87,31)","{'stc_ema_short_period': 49, 'stc_ema_long_period': 87, 'stc_cycle_period': 31}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",1.3792410741111985,0.1823534081581244,137924.10741111985,-0.24673829996557872,0.2228214683427355,0.8627971826454313,1.332652565089848,,,,,,0.08711178144625832,11.0,72.72727272727273,5.51632602672194,0.09844225726859542,0.16532894795340358,0.0799222512242264,2.0686222600207276,,,2.125766871165644,,,,,,,,49.0,87.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,5.0,"STC(48,93,31)","{'stc_ema_short_period': 48, 'stc_ema_long_period': 93, 'stc_cycle_period': 31}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",1.3792581985117782,0.18235505270374652,137925.81985117783,-0.24673829996557894,0.22306396976725892,0.862108185747838,1.3311089191500656,,,,,,0.08619064969082055,11.0,63.63636363636363,5.398209822816011,0.09865010777720039,0.19026811962981707,0.06168141296487885,3.0846913273234353,,,2.125766871165644,,,,,,,,48.0,93.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,1.0,"KAMA(15,12,94)","{'kama_period': 15, 'kama_fast_ema_constant': 12, 'kama_slow_ema_constant': 94}","Price crossing KAMA line: buy on cross above, sell on cross below",0.990600297276245,0.14229724417187684,99060.0297276245,-0.25059164363925035,0.210777485354293,0.7363417079968072,1.1155563534105788,,,,,,0.08475888807076952,16.0,50.0,4.842633297766522,0.057751205471595124,0.1455605512841706,0.030058140340980345,4.842633297766522,,,3.0920245398773005,,,,,,,,,,,15.0,12.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,2.0,"KAMA(15,13,65)","{'kama_period': 15, 'kama_fast_ema_constant': 13, 'kama_slow_ema_constant': 65}","Price crossing KAMA line: buy on cross above, sell on cross below",0.9644220010061021,0.139378638319686,96442.20010061021,-0.25334356179423867,0.2075580383707725,0.7322996338978275,1.1001660288482917,,,,,,0.09406432455521933,17.0,58.82352941176471,4.871830491045597,0.05144522042854717,0.11004486635956678,0.0322685594729094,3.410281343731918,,,3.285276073619632,,,,,,,,,,,15.0,13.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
