stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(4,106,134)","{'ema1_period': 4, 'ema2_period': 106, 'ema3_period': 134}",Triple EMA crossover strategy,1.6848997149569265,0.20836356641203202,168489.97149569265,-0.184639885973369,0.20284304147531917,1.0347104338634077,1.5338338455778355,,,,,,0.07828082120770417,13.0,46.15384615384615,9.223152772446912,0.0911707149577454,0.22155854581303228,0.020590282918214797,10.760344901188063,,,2.491254752851711,4.0,106.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(4,106,135)","{'ema1_period': 4, 'ema2_period': 106, 'ema3_period': 135}",Triple EMA crossover strategy,1.6848997149569265,0.20836356641203202,168489.97149569265,-0.184639885973369,0.20284304147531917,1.0347104338634077,1.5338338455778355,,,,,,0.07828082120770417,13.0,46.15384615384615,9.223152772446912,0.0911707149577454,0.22155854581303228,0.020590282918214797,10.760344901188063,,,2.491254752851711,4.0,106.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(4,105,134)","{'ema1_period': 4, 'ema2_period': 105, 'ema3_period': 134}",Triple EMA crossover strategy,1.6713038134088483,0.20718855241867407,167130.38134088484,-0.1846398859733691,0.20281496017535527,1.0300256272817434,1.5265261557130847,,,,,,0.07851409788669406,14.0,50.0,7.892915960117375,0.08450654930637971,0.19353292441517375,0.024519825802414314,7.892915960117374,,,2.682889733840304,4.0,105.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(4,105,135)","{'ema1_period': 4, 'ema2_period': 105, 'ema3_period': 135}",Triple EMA crossover strategy,1.6713038134088483,0.20718855241867407,167130.38134088484,-0.1846398859733691,0.20281496017535527,1.0300256272817434,1.5265261557130847,,,,,,0.07851409788669406,14.0,50.0,7.892915960117375,0.08450654930637971,0.19353292441517375,0.024519825802414314,7.892915960117374,,,2.682889733840304,4.0,105.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(4,103,134)","{'ema1_period': 4, 'ema2_period': 103, 'ema3_period': 134}",Triple EMA crossover strategy,1.6530095805264562,0.20559983644826385,165300.9580526456,-0.1846398859733691,0.20239146080586895,1.025245375569652,1.5194687641063893,,,,,,0.07760371885259527,15.0,53.333333333333336,6.873407514302058,0.07928368770800145,0.17396707964885857,0.028925903081549516,6.014231575014301,,,2.8745247148288975,4.0,103.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(17,72,119)","{'macd_fast_period': 17, 'macd_slow_period': 72, 'macd_signal_period': 119}",MACD line crossing its signal line,2.058383523287312,0.2389028149149799,205838.35232873118,-0.12680517110909528,0.171618382337064,1.334113124517246,2.1233908361768994,,,,,,0.061849198069516845,11.0,81.81818181818183,42.286546524462736,0.1139147213371216,0.14260136711356955,0.015175184656894042,9.397010338769496,,,2.1079847908745246,,,,17.0,72.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(17,73,117)","{'macd_fast_period': 17, 'macd_slow_period': 73, 'macd_signal_period': 117}",MACD line crossing its signal line,2.058383523287312,0.2389028149149799,205838.35232873118,-0.12680517110909528,0.171618382337064,1.334113124517246,2.1233908361768994,,,,,,0.061849198069516845,11.0,81.81818181818183,42.286546524462736,0.1139147213371216,0.14260136711356955,0.015175184656894042,9.397010338769496,,,2.1079847908745246,,,,17.0,73.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(17,74,115)","{'macd_fast_period': 17, 'macd_slow_period': 74, 'macd_signal_period': 115}",MACD line crossing its signal line,2.058383523287312,0.2389028149149799,205838.35232873118,-0.12680517110909528,0.171618382337064,1.334113124517246,2.1233908361768994,,,,,,0.061849198069516845,11.0,81.81818181818183,42.286546524462736,0.1139147213371216,0.14260136711356955,0.015175184656894042,9.397010338769496,,,2.1079847908745246,,,,17.0,74.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(17,75,113)","{'macd_fast_period': 17, 'macd_slow_period': 75, 'macd_signal_period': 113}",MACD line crossing its signal line,2.058383523287312,0.2389028149149799,205838.35232873118,-0.12680517110909528,0.171618382337064,1.334113124517246,2.1233908361768994,,,,,,0.061849198069516845,11.0,81.81818181818183,42.286546524462736,0.1139147213371216,0.14260136711356955,0.015175184656894042,9.397010338769496,,,2.1079847908745246,,,,17.0,75.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(17,72,118)","{'macd_fast_period': 17, 'macd_slow_period': 72, 'macd_signal_period': 118}",MACD line crossing its signal line,2.0440793842000335,0.23779030387937672,204407.93842000337,-0.12680517110909428,0.17160977844756697,1.3289316619599376,2.1150379164249493,,,,,,0.061865136649472616,11.0,81.81818181818183,42.08155770994769,0.11334913168023732,0.14191009086626655,0.015175184656894044,9.351457268877265,,,2.1079847908745246,,,,17.0,72.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
