stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(7,109,135)","{'ema1_period': 7, 'ema2_period': 109, 'ema3_period': 135}",Triple EMA crossover strategy,0.4802761685666368,0.07963326578432373,48027.61685666368,-0.14846214170480942,0.14344614760073385,0.6058571182959489,0.8861947003453114,,,,,,0.06504254191142961,15.0,46.666666666666664,3.47515463020235,0.029555173791812148,0.08891981171234754,0.022388884388656313,3.9716052916598286,,,2.930232558139535,7.0,109.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(7,109,136)","{'ema1_period': 7, 'ema2_period': 109, 'ema3_period': 136}",Triple EMA crossover strategy,0.4802761685666368,0.07963326578432373,48027.61685666368,-0.14846214170480942,0.14344614760073385,0.6058571182959489,0.8861947003453114,,,,,,0.06504254191142961,15.0,46.666666666666664,3.47515463020235,0.029555173791812148,0.08891981171234754,0.022388884388656313,3.9716052916598286,,,2.930232558139535,7.0,109.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(7,109,130)","{'ema1_period': 7, 'ema2_period': 109, 'ema3_period': 130}",Triple EMA crossover strategy,0.4669335253592911,0.07772531636633317,46693.35253592911,-0.14846214170480898,0.14338010602606624,0.5937300803460144,0.868065303765791,,,,,,0.06560007893606869,14.0,42.857142857142854,3.4243473331606147,0.03101624694861731,0.10222308873164886,0.022388884388656334,4.565796444214153,,,2.734883720930233,7.0,109.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(7,109,131)","{'ema1_period': 7, 'ema2_period': 109, 'ema3_period': 131}",Triple EMA crossover strategy,0.4669335253592911,0.07772531636633317,46693.35253592911,-0.14846214170480898,0.14338010602606624,0.5937300803460144,0.868065303765791,,,,,,0.06560007893606869,14.0,42.857142857142854,3.4243473331606147,0.03101624694861731,0.10222308873164886,0.022388884388656334,4.565796444214153,,,2.734883720930233,7.0,109.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(7,109,132)","{'ema1_period': 7, 'ema2_period': 109, 'ema3_period': 132}",Triple EMA crossover strategy,0.4669335253592911,0.07772531636633317,46693.35253592911,-0.14846214170480898,0.14338010602606624,0.5937300803460144,0.868065303765791,,,,,,0.06560007893606869,14.0,42.857142857142854,3.4243473331606147,0.03101624694861731,0.10222308873164886,0.022388884388656334,4.565796444214153,,,2.734883720930233,7.0,109.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(13,70,60)","{'macd_fast_period': 13, 'macd_slow_period': 70, 'macd_signal_period': 60}",MACD line crossing its signal line,0.6420855030609389,0.10173542180525175,64208.55030609389,-0.1545869382699009,0.12276160743253366,0.8504784816206715,1.3234194157600148,,,,,,0.05680482176197657,17.0,52.94117647058824,4.821088141502581,0.031392250484498334,0.07481468966145376,0.017457993589576528,4.285411681335628,,,3.32093023255814,,,,13.0,70.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(13,71,59)","{'macd_fast_period': 13, 'macd_slow_period': 71, 'macd_signal_period': 59}",MACD line crossing its signal line,0.6378725707154318,0.10118267581143137,63787.25707154318,-0.15458693826990155,0.12276060591077348,0.8463948502856296,1.3170541450567324,,,,,,0.056805164643771236,17.0,52.94117647058824,4.801151055211094,0.03122845682582931,0.07450530163952336,0.01745799358957651,4.267689826854306,,,3.32093023255814,,,,13.0,71.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(13,60,69)","{'macd_fast_period': 13, 'macd_slow_period': 60, 'macd_signal_period': 69}",MACD line crossing its signal line,0.6266158543982158,0.09970013726659421,62661.585439821574,-0.1545869382699011,0.12280269399964347,0.8351718867627344,1.2990732974881023,,,,,,0.05682499392506135,17.0,52.94117647058824,4.750190932321254,0.03080979259113054,0.07371449141842569,0.017457993589576507,4.222391939841114,,,3.32093023255814,,,,13.0,60.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(13,61,68)","{'macd_fast_period': 13, 'macd_slow_period': 61, 'macd_signal_period': 68}",MACD line crossing its signal line,0.6266158543982158,0.09970013726659421,62661.585439821574,-0.1545869382699011,0.12280269399964347,0.8351718867627344,1.2990732974881023,,,,,,0.05682499392506135,17.0,52.94117647058824,4.750190932321254,0.03080979259113054,0.07371449141842569,0.017457993589576507,4.222391939841114,,,3.32093023255814,,,,13.0,61.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(13,62,67)","{'macd_fast_period': 13, 'macd_slow_period': 62, 'macd_signal_period': 67}",MACD line crossing its signal line,0.6266158543982158,0.09970013726659421,62661.585439821574,-0.1545869382699011,0.12280269399964347,0.8351718867627344,1.2990732974881023,,,,,,0.05682499392506135,17.0,52.94117647058824,4.750190932321254,0.03080979259113054,0.07371449141842569,0.017457993589576507,4.222391939841114,,,3.32093023255814,,,,13.0,62.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
