stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(4,109,133)","{'ema1_period': 4, 'ema2_period': 109, 'ema3_period': 133}",Triple EMA crossover strategy,0.43068453993421846,0.0724704057741199,43068.45399342185,-0.36140298627194356,0.2988637151207454,0.3827087195692973,0.5727692153980238,,,,,,0.16276111872588192,18.0,33.33333333333333,2.0886812893322824,0.02689771211019199,0.15481320904723594,0.03706003635833,4.177362578664565,,,3.516279069767442,4.0,109.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(4,109,134)","{'ema1_period': 4, 'ema2_period': 109, 'ema3_period': 134}",Triple EMA crossover strategy,0.43068453993421846,0.0724704057741199,43068.45399342185,-0.36140298627194356,0.2988637151207454,0.3827087195692973,0.5727692153980238,,,,,,0.16276111872588192,18.0,33.33333333333333,2.0886812893322824,0.02689771211019199,0.15481320904723594,0.03706003635833,4.177362578664565,,,3.516279069767442,4.0,109.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(4,106,133)","{'ema1_period': 4, 'ema2_period': 106, 'ema3_period': 133}",Triple EMA crossover strategy,0.4172236360037573,0.07049172069338239,41722.36360037573,-0.36741136394859664,0.29887615321193256,0.37652283637918244,0.5634940007727103,,,,,,0.16588585971217257,18.0,33.33333333333333,2.047186234765889,0.026396924507251604,0.15481320904723597,0.03781121776274058,4.094372469531778,,,3.516279069767442,4.0,106.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(4,106,134)","{'ema1_period': 4, 'ema2_period': 106, 'ema3_period': 134}",Triple EMA crossover strategy,0.4172236360037573,0.07049172069338239,41722.36360037573,-0.36741136394859664,0.29887615321193256,0.37652283637918244,0.5634940007727103,,,,,,0.16588585971217257,18.0,33.33333333333333,2.047186234765889,0.026396924507251604,0.15481320904723597,0.03781121776274058,4.094372469531778,,,3.516279069767442,4.0,106.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(4,107,133)","{'ema1_period': 4, 'ema2_period': 107, 'ema3_period': 133}",Triple EMA crossover strategy,0.4172236360037573,0.07049172069338239,41722.36360037573,-0.36741136394859664,0.29887615321193256,0.37652283637918244,0.5634940007727103,,,,,,0.16588585971217257,18.0,33.33333333333333,2.047186234765889,0.026396924507251604,0.15481320904723597,0.03781121776274058,4.094372469531778,,,3.516279069767442,4.0,107.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(25,97,119)","{'macd_fast_period': 25, 'macd_slow_period': 97, 'macd_signal_period': 119}",MACD line crossing its signal line,1.587008289690945,0.2040362825940527,158700.8289690945,-0.3205566161193595,0.28785162438437056,0.7883839079002549,1.228092620792008,,,,,,0.16830554443520804,11.0,54.54545454545454,4.143835023124073,0.12210827628492246,0.29507284520184107,0.08544920641537987,3.4531958526033937,,,2.1488372093023256,,,,25.0,97.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(25,98,117)","{'macd_fast_period': 25, 'macd_slow_period': 98, 'macd_signal_period': 117}",MACD line crossing its signal line,1.587008289690945,0.2040362825940527,158700.8289690945,-0.3205566161193595,0.28785162438437056,0.7883839079002549,1.228092620792008,,,,,,0.16830554443520804,11.0,54.54545454545454,4.143835023124073,0.12210827628492246,0.29507284520184107,0.08544920641537987,3.4531958526033937,,,2.1488372093023256,,,,25.0,98.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(25,98,118)","{'macd_fast_period': 25, 'macd_slow_period': 98, 'macd_signal_period': 118}",MACD line crossing its signal line,1.587008289690945,0.2040362825940527,158700.8289690945,-0.3205566161193595,0.28785162438437056,0.7883839079002549,1.228092620792008,,,,,,0.16830554443520804,11.0,54.54545454545454,4.143835023124073,0.12210827628492246,0.29507284520184107,0.08544920641537987,3.4531958526033937,,,2.1488372093023256,,,,25.0,98.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(25,99,116)","{'macd_fast_period': 25, 'macd_slow_period': 99, 'macd_signal_period': 116}",MACD line crossing its signal line,1.587008289690945,0.2040362825940527,158700.8289690945,-0.3205566161193595,0.28785162438437056,0.7883839079002549,1.228092620792008,,,,,,0.16830554443520804,11.0,54.54545454545454,4.143835023124073,0.12210827628492246,0.29507284520184107,0.08544920641537987,3.4531958526033937,,,2.1488372093023256,,,,25.0,99.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(25,99,117)","{'macd_fast_period': 25, 'macd_slow_period': 99, 'macd_signal_period': 117}",MACD line crossing its signal line,1.587008289690945,0.2040362825940527,158700.8289690945,-0.3205566161193595,0.28785162438437056,0.7883839079002549,1.228092620792008,,,,,,0.16830554443520804,11.0,54.54545454545454,4.143835023124073,0.12210827628492246,0.29507284520184107,0.08544920641537987,3.4531958526033937,,,2.1488372093023256,,,,25.0,99.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,1.0,AROON(50),{'aroon_timeperiod': 50},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",1.167611394074007,0.1631442570883488,116761.1394074007,-0.24176666258027746,0.29759709779628946,0.6553844437678744,1.0147936219507467,,,,,,0.12146168474423696,11.0,54.54545454545454,3.975832423290059,0.08399372013891543,0.20573484391247432,0.06209562838935523,3.3131936860750493,,,2.1488372093023256,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,2.0,AROON(46),{'aroon_timeperiod': 46},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",1.0121718209677966,0.14635892597829736,101217.18209677965,-0.2861408106656298,0.299411449088563,0.6048608332767166,0.9258390639998305,,,,,,0.13691296092659613,12.0,58.333333333333336,2.8467067957209866,0.07309515511138268,0.19315972962278916,0.09499524920458643,2.0333619969435617,,,2.344186046511628,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,3.0,AROON(45),{'aroon_timeperiod': 45},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.9112899829387707,0.13489797472722942,91128.99829387707,-0.3088278730347197,0.2992538785976359,0.5714259721753812,0.8736999101559506,,,,,,0.14158329541851805,14.0,57.14285714285714,2.688316110645719,0.05866004730650098,0.16345831870830066,0.08107098122923193,2.0162370829842895,,,2.734883720930233,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
