stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(4,90,133)","{'ema1_period': 4, 'ema2_period': 90, 'ema3_period': 133}",Triple EMA crossover strategy,0.186918406367617,0.0340416438421427,18691.8406367617,-0.3205813036141698,0.19591904511941854,0.26854220806861684,0.39074450110988634,,,,,,0.19768713464715212,28.0,50.0,1.477882544209319,0.008414010594007447,0.052041739269845476,0.03521371808183058,1.4778825442093189,,,5.469767441860466,4.0,90.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(4,91,133)","{'ema1_period': 4, 'ema2_period': 91, 'ema3_period': 133}",Triple EMA crossover strategy,0.186918406367617,0.0340416438421427,18691.8406367617,-0.3205813036141698,0.19591904511941854,0.26854220806861684,0.39074450110988634,,,,,,0.19768713464715212,28.0,50.0,1.477882544209319,0.008414010594007447,0.052041739269845476,0.03521371808183058,1.4778825442093189,,,5.469767441860466,4.0,91.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(4,92,133)","{'ema1_period': 4, 'ema2_period': 92, 'ema3_period': 133}",Triple EMA crossover strategy,0.186918406367617,0.0340416438421427,18691.8406367617,-0.3205813036141698,0.19591904511941854,0.26854220806861684,0.39074450110988634,,,,,,0.19768713464715212,28.0,50.0,1.477882544209319,0.008414010594007447,0.052041739269845476,0.03521371808183058,1.4778825442093189,,,5.469767441860466,4.0,92.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(4,90,134)","{'ema1_period': 4, 'ema2_period': 90, 'ema3_period': 134}",Triple EMA crossover strategy,0.18327009477566011,0.033419977073054774,18327.00947756601,-0.3226696789334176,0.19592439569129602,0.2654701362113951,0.3862653464584316,,,,,,0.19895545925388172,28.0,50.0,1.4687991348606375,0.008305125516247413,0.05204173926984544,0.035431488237350615,1.4687991348606375,,,5.469767441860466,4.0,90.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(4,91,134)","{'ema1_period': 4, 'ema2_period': 91, 'ema3_period': 134}",Triple EMA crossover strategy,0.18327009477566011,0.033419977073054774,18327.00947756601,-0.3226696789334176,0.19592439569129602,0.2654701362113951,0.3862653464584316,,,,,,0.19895545925388172,28.0,50.0,1.4687991348606375,0.008305125516247413,0.05204173926984544,0.035431488237350615,1.4687991348606375,,,5.469767441860466,4.0,91.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(12,60,40)","{'macd_fast_period': 12, 'macd_slow_period': 60, 'macd_signal_period': 40}",MACD line crossing its signal line,0.4990343865764749,0.08229235496125376,49903.43865764749,-0.22936055351313467,0.16808270558601598,0.5540643896435138,0.8521631825310585,,,,,,0.09941039132437449,16.0,56.25,2.400813687343951,0.029497521156774786,0.0898754496770663,0.04813124408360003,1.867299534600851,,,3.1255813953488376,,,,12.0,60.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(12,61,40)","{'macd_fast_period': 12, 'macd_slow_period': 61, 'macd_signal_period': 40}",MACD line crossing its signal line,0.4990343865764749,0.08229235496125376,49903.43865764749,-0.22936055351313467,0.16808270558601598,0.5540643896435138,0.8521631825310585,,,,,,0.09941039132437449,16.0,56.25,2.400813687343951,0.029497521156774786,0.0898754496770663,0.04813124408360003,1.867299534600851,,,3.1255813953488376,,,,12.0,61.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(11,64,41)","{'macd_fast_period': 11, 'macd_slow_period': 64, 'macd_signal_period': 41}",MACD line crossing its signal line,0.48080248936828923,0.07970824359568263,48080.248936828924,-0.23873339999266707,0.16801398810772727,0.5399897812149738,0.830172335832176,,,,,,0.10184313736122362,16.0,56.25,2.3206986190725236,0.02877057773986602,0.08987544967706632,0.04979282903653436,1.804987814834185,,,3.1255813953488376,,,,11.0,64.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(11,65,40)","{'macd_fast_period': 11, 'macd_slow_period': 65, 'macd_signal_period': 40}",MACD line crossing its signal line,0.48080248936828923,0.07970824359568263,48080.248936828924,-0.23873339999266707,0.16801398810772727,0.5399897812149738,0.830172335832176,,,,,,0.10184313736122362,16.0,56.25,2.3206986190725236,0.02877057773986602,0.08987544967706632,0.04979282903653436,1.804987814834185,,,3.1255813953488376,,,,11.0,65.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(11,66,40)","{'macd_fast_period': 11, 'macd_slow_period': 66, 'macd_signal_period': 40}",MACD line crossing its signal line,0.48080248936828923,0.07970824359568263,48080.248936828924,-0.23873339999266707,0.16801398810772727,0.5399897812149738,0.830172335832176,,,,,,0.10184313736122362,16.0,56.25,2.3206986190725236,0.02877057773986602,0.08987544967706632,0.04979282903653436,1.804987814834185,,,3.1255813953488376,,,,11.0,66.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
