stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(8,103,120)","{'ema1_period': 8, 'ema2_period': 103, 'ema3_period': 120}",Triple EMA crossover strategy,0.35288109168492415,0.09083639317720271,35288.10916849242,-0.4929560794872263,0.4179052001033393,0.40759032087489616,0.6976073039203708,,,,,,0.2826935377279982,11.0,27.27272727272727,1.9329942348204727,0.05409810521579097,0.41096523341559066,0.07972706785913393,5.154651292854594,,,3.1643835616438354,8.0,103.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(8,103,121)","{'ema1_period': 8, 'ema2_period': 103, 'ema3_period': 121}",Triple EMA crossover strategy,0.35288109168492415,0.09083639317720271,35288.10916849242,-0.4929560794872263,0.4179052001033393,0.40759032087489616,0.6976073039203708,,,,,,0.2826935377279982,11.0,27.27272727272727,1.9329942348204727,0.05409810521579097,0.41096523341559066,0.07972706785913393,5.154651292854594,,,3.1643835616438354,8.0,103.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(8,104,120)","{'ema1_period': 8, 'ema2_period': 104, 'ema3_period': 120}",Triple EMA crossover strategy,0.35288109168492415,0.09083639317720271,35288.10916849242,-0.4929560794872263,0.4179052001033393,0.40759032087489616,0.6976073039203708,,,,,,0.2826935377279982,11.0,27.27272727272727,1.9329942348204727,0.05409810521579097,0.41096523341559066,0.07972706785913393,5.154651292854594,,,3.1643835616438354,8.0,104.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(8,104,121)","{'ema1_period': 8, 'ema2_period': 104, 'ema3_period': 121}",Triple EMA crossover strategy,0.35288109168492415,0.09083639317720271,35288.10916849242,-0.4929560794872263,0.4179052001033393,0.40759032087489616,0.6976073039203708,,,,,,0.2826935377279982,11.0,27.27272727272727,1.9329942348204727,0.05409810521579097,0.41096523341559066,0.07972706785913393,5.154651292854594,,,3.1643835616438354,8.0,104.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(8,105,120)","{'ema1_period': 8, 'ema2_period': 105, 'ema3_period': 120}",Triple EMA crossover strategy,0.34949100753608947,0.09004935665088043,34949.100753608946,-0.5121053826111062,0.41783535508994785,0.40586259058171403,0.6945563469583492,,,,,,0.28577504358138145,12.0,33.33333333333333,1.8975804076621687,0.04951813963192606,0.31405983504306456,0.08275270807364318,3.7951608153243375,,,3.452054794520548,8.0,105.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(12,98,118)","{'macd_fast_period': 12, 'macd_slow_period': 98, 'macd_signal_period': 118}",MACD line crossing its signal line,-0.02326860133983384,-0.0067499295641210155,-2326.860133983384,-0.6071689135581777,0.4517880391000513,0.20686353404708527,0.3174057563431268,,,,,,0.31613664265032826,8.0,12.5,1.6871233198282942,0.06488734630336881,1.274565446418486,0.10792381085593365,11.80986323879806,,,2.3013698630136985,,,,12.0,98.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(12,98,119)","{'macd_fast_period': 12, 'macd_slow_period': 98, 'macd_signal_period': 119}",MACD line crossing its signal line,-0.02326860133983384,-0.0067499295641210155,-2326.860133983384,-0.6071689135581777,0.4517880391000513,0.20686353404708527,0.3174057563431268,,,,,,0.31613664265032826,8.0,12.5,1.6871233198282942,0.06488734630336881,1.274565446418486,0.10792381085593365,11.80986323879806,,,2.3013698630136985,,,,12.0,98.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(12,99,117)","{'macd_fast_period': 12, 'macd_slow_period': 99, 'macd_signal_period': 117}",MACD line crossing its signal line,-0.02326860133983384,-0.0067499295641210155,-2326.860133983384,-0.6071689135581777,0.4517880391000513,0.20686353404708527,0.3174057563431268,,,,,,0.31613664265032826,8.0,12.5,1.6871233198282942,0.06488734630336881,1.274565446418486,0.10792381085593365,11.80986323879806,,,2.3013698630136985,,,,12.0,99.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(12,99,118)","{'macd_fast_period': 12, 'macd_slow_period': 99, 'macd_signal_period': 118}",MACD line crossing its signal line,-0.02326860133983384,-0.0067499295641210155,-2326.860133983384,-0.6071689135581777,0.4517880391000513,0.20686353404708527,0.3174057563431268,,,,,,0.31613664265032826,8.0,12.5,1.6871233198282942,0.06488734630336881,1.274565446418486,0.10792381085593365,11.80986323879806,,,2.3013698630136985,,,,12.0,99.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(12,97,119)","{'macd_fast_period': 12, 'macd_slow_period': 97, 'macd_signal_period': 119}",MACD line crossing its signal line,-0.035477731997610534,-0.01033755993822616,-3547.7731997610535,-0.6071689135581777,0.4517399000253377,0.19882473512728788,0.30503873679731874,,,,,,0.3172406746486005,8.0,12.5,1.6494799777202525,0.06133255998642198,1.2461271558829117,0.1079238108559337,11.546359844041767,,,2.3013698630136985,,,,12.0,97.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
