stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(4,91,127)","{'ema1_period': 4, 'ema2_period': 91, 'ema3_period': 127}",Triple EMA crossover strategy,1.008509567895698,0.14595104544175874,100850.95678956978,-0.13224723481777578,0.15125705460837846,0.9767408270566129,1.3697458531452693,,,,,,0.05669612639298079,15.0,53.333333333333336,6.431732277854493,0.054265584736879,0.12048011173335156,0.021408160401946773,5.627765743122682,,,2.930232558139535,4.0,91.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(4,98,127)","{'ema1_period': 4, 'ema2_period': 98, 'ema3_period': 127}",Triple EMA crossover strategy,1.043586597231569,0.1498334021604748,104358.6597231569,-0.15363694140291673,0.15686227878797324,0.9690389209569004,1.3461643681761892,,,,,,0.06568864775353885,13.0,76.92307692307693,5.710762618085123,0.06451254098503319,0.10166942988228941,0.059343755339154224,1.713228785425537,,,2.5395348837209304,4.0,98.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(4,99,127)","{'ema1_period': 4, 'ema2_period': 99, 'ema3_period': 127}",Triple EMA crossover strategy,1.0333957264233795,0.1487110295210159,103339.57264233795,-0.15363694140291673,0.15688151109034218,0.9627106154517944,1.3372824890456552,,,,,,0.06572477090089424,13.0,76.92307692307693,5.682030219304976,0.06411905903652941,0.1011579033492345,0.05934375533915417,1.7046090657914927,,,2.5395348837209304,4.0,99.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(4,91,120)","{'ema1_period': 4, 'ema2_period': 91, 'ema3_period': 120}",Triple EMA crossover strategy,0.9847411529883402,0.1432892125971601,98474.11529883402,-0.14054470737771263,0.1513425952813817,0.9608999574399102,1.3469524375732056,,,,,,0.058464411779894365,16.0,50.0,5.960787829512568,0.05013399982347623,0.12048011173335155,0.020212112086399087,5.960787829512568,,,3.1255813953488376,4.0,91.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(4,91,121)","{'ema1_period': 4, 'ema2_period': 91, 'ema3_period': 121}",Triple EMA crossover strategy,0.9847411529883402,0.1432892125971601,98474.11529883402,-0.14054470737771263,0.1513425952813817,0.9608999574399102,1.3469524375732056,,,,,,0.058464411779894365,16.0,50.0,5.960787829512568,0.05013399982347623,0.12048011173335155,0.020212112086399087,5.960787829512568,,,3.1255813953488376,4.0,91.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(16,82,46)","{'macd_fast_period': 16, 'macd_slow_period': 82, 'macd_signal_period': 46}",MACD line crossing its signal line,0.688192334069272,0.1077113569134931,68819.2334069272,-0.1758156359086237,0.13499040029229778,0.8256335317660072,1.1559654606267846,,,,,,0.05891730567973424,16.0,68.75,3.8359525284539204,0.03643791722023121,0.0716894270537244,0.04111540441345383,1.7436147856608728,,,3.1255813953488376,,,,16.0,82.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(16,83,46)","{'macd_fast_period': 16, 'macd_slow_period': 83, 'macd_signal_period': 46}",MACD line crossing its signal line,0.688192334069272,0.1077113569134931,68819.2334069272,-0.1758156359086237,0.13499040029229778,0.8256335317660072,1.1559654606267846,,,,,,0.05891730567973424,16.0,68.75,3.8359525284539204,0.03643791722023121,0.0716894270537244,0.04111540441345383,1.7436147856608728,,,3.1255813953488376,,,,16.0,83.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(16,84,45)","{'macd_fast_period': 16, 'macd_slow_period': 84, 'macd_signal_period': 45}",MACD line crossing its signal line,0.688192334069272,0.1077113569134931,68819.2334069272,-0.1758156359086237,0.13499040029229778,0.8256335317660072,1.1559654606267846,,,,,,0.05891730567973424,16.0,68.75,3.8359525284539204,0.03643791722023121,0.0716894270537244,0.04111540441345383,1.7436147856608728,,,3.1255813953488376,,,,16.0,84.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(16,85,45)","{'macd_fast_period': 16, 'macd_slow_period': 85, 'macd_signal_period': 45}",MACD line crossing its signal line,0.688192334069272,0.1077113569134931,68819.2334069272,-0.1758156359086237,0.13499040029229778,0.8256335317660072,1.1559654606267846,,,,,,0.05891730567973424,16.0,68.75,3.8359525284539204,0.03643791722023121,0.0716894270537244,0.04111540441345383,1.7436147856608728,,,3.1255813953488376,,,,16.0,85.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(16,86,45)","{'macd_fast_period': 16, 'macd_slow_period': 86, 'macd_signal_period': 45}",MACD line crossing its signal line,0.688192334069272,0.1077113569134931,68819.2334069272,-0.1758156359086237,0.13499040029229778,0.8256335317660072,1.1559654606267846,,,,,,0.05891730567973424,16.0,68.75,3.8359525284539204,0.03643791722023121,0.0716894270537244,0.04111540441345383,1.7436147856608728,,,3.1255813953488376,,,,16.0,86.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
