stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(9,90,130)","{'ema1_period': 9, 'ema2_period': 90, 'ema3_period': 130}",Triple EMA crossover strategy,0.6621169893198728,0.1043480909478991,66211.69893198728,-0.22110117499833892,0.1867918588109102,0.6250093230624556,0.8978573628468907,,,,,,0.114542552226207,15.0,46.666666666666664,2.908384109751336,0.041823246007759315,0.1365830878508869,0.041091615604977316,3.3238675540015263,,,2.930232558139535,9.0,90.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(9,90,129)","{'ema1_period': 9, 'ema2_period': 90, 'ema3_period': 129}",Triple EMA crossover strategy,0.6607348461516876,0.10416863675816224,66073.48461516877,-0.22110117499833815,0.18679189960544051,0.624138813333433,0.8966070276045611,,,,,,0.11464399528324237,15.0,46.666666666666664,2.901333171028179,0.041769985993076526,0.13658308785088694,0.041191478132507564,3.315809338317919,,,2.930232558139535,9.0,90.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(4,93,120)","{'ema1_period': 4, 'ema2_period': 93, 'ema3_period': 120}",Triple EMA crossover strategy,0.6555326245293075,0.10349211338055819,65553.26245293075,-0.20521661448577178,0.1855170319616367,0.6238507862784176,0.8960651412207855,,,,,,0.10767188427417684,26.0,53.84615384615385,2.590570323281601,0.023020328662059907,0.06963047262138923,0.031358172623824294,2.220488848527087,,,5.079069767441861,4.0,93.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(9,91,130)","{'ema1_period': 9, 'ema2_period': 91, 'ema3_period': 130}",Triple EMA crossover strategy,0.6586970436878079,0.10390383398607472,65869.70436878079,-0.2211011749983386,0.18678298406427193,0.6228747845991957,0.8948460461666136,,,,,,0.11460841925521414,15.0,46.666666666666664,2.9009156305751937,0.04165957034084741,0.1362323542789328,0.0410916156049773,3.3153321492287926,,,2.930232558139535,9.0,91.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(5,91,126)","{'ema1_period': 5, 'ema2_period': 91, 'ema3_period': 126}",Triple EMA crossover strategy,0.6431736883259989,0.10187800864982877,64317.36883259989,-0.20437056596734227,0.18298817039477644,0.6220141630095029,0.8846286540863523,,,,,,0.10194010436193662,22.0,50.0,2.9015209249944123,0.027064589676578158,0.08259543425556577,0.028466254902409446,2.9015209249944123,,,4.297674418604651,5.0,91.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(13,65,119)","{'macd_fast_period': 13, 'macd_slow_period': 65, 'macd_signal_period': 119}",MACD line crossing its signal line,1.1419332303982126,0.16043963424566576,114193.32303982126,-0.18780772183290384,0.16799084312137874,0.9693498970550428,1.5127626053063796,,,,,,0.08232210088622724,16.0,50.0,4.47908006328923,0.057715039071514596,0.14860841150794118,0.033178333364911994,4.47908006328923,,,3.1255813953488376,,,,13.0,65.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(13,64,119)","{'macd_fast_period': 13, 'macd_slow_period': 64, 'macd_signal_period': 119}",MACD line crossing its signal line,1.1277878085461241,0.15893856636542703,112778.78085461241,-0.18780772183290384,0.16815451260135345,0.9608710096107871,1.4975471546067711,,,,,,0.08245771566512486,14.0,57.14285714285714,4.382465465167391,0.0655420788339673,0.14860841150794124,0.04521303139799796,3.286849098875543,,,2.734883720930233,,,,13.0,64.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(12,64,119)","{'macd_fast_period': 12, 'macd_slow_period': 64, 'macd_signal_period': 119}",MACD line crossing its signal line,1.0942102075447033,0.15534299864498857,109421.02075447033,-0.20212269529480842,0.16790580398460975,0.9435289898428113,1.4696573044581587,,,,,,0.08559888748209589,14.0,50.0,4.394000174868517,0.06439730717599666,0.1667423479159678,0.03794773356397448,4.394000174868517,,,2.734883720930233,,,,12.0,64.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(15,99,118)","{'macd_fast_period': 15, 'macd_slow_period': 99, 'macd_signal_period': 118}",MACD line crossing its signal line,1.07930632775197,0.153732175434524,107930.63277519701,-0.19127709765358403,0.1663592263182313,0.9423234675480568,1.478828732990779,,,,,,0.08204477035502959,13.0,53.84615384615385,4.12994787672988,0.06828755176637018,0.16733790223234074,0.047271190443928794,3.539955322911326,,,2.5395348837209304,,,,15.0,99.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(15,99,119)","{'macd_fast_period': 15, 'macd_slow_period': 99, 'macd_signal_period': 119}",MACD line crossing its signal line,1.07930632775197,0.153732175434524,107930.63277519701,-0.19127709765358403,0.1663592263182313,0.9423234675480568,1.478828732990779,,,,,,0.08204477035502959,13.0,53.84615384615385,4.12994787672988,0.06828755176637018,0.16733790223234074,0.047271190443928794,3.539955322911326,,,2.5395348837209304,,,,15.0,99.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
