stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(6,90,125)","{'ema1_period': 6, 'ema2_period': 90, 'ema3_period': 125}",Triple EMA crossover strategy,-0.14068356725301215,-0.02868026468060303,-14068.356725301215,-0.4009621744946895,0.19195750324104927,-0.05563031301449985,-0.07927966527426364,,,,,,0.22596443294499882,20.0,30.0,0.9821747688054193,-0.0006817129404829453,0.12520852088846213,0.05463467029574511,2.2917411272126453,,,3.8385376999238385,6.0,90.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(6,91,125)","{'ema1_period': 6, 'ema2_period': 91, 'ema3_period': 125}",Triple EMA crossover strategy,-0.14068356725301215,-0.02868026468060303,-14068.356725301215,-0.4009621744946895,0.19195750324104927,-0.05563031301449985,-0.07927966527426364,,,,,,0.22596443294499882,20.0,30.0,0.9821747688054193,-0.0006817129404829453,0.12520852088846213,0.05463467029574511,2.2917411272126453,,,3.8385376999238385,6.0,91.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(6,91,128)","{'ema1_period': 6, 'ema2_period': 91, 'ema3_period': 128}",Triple EMA crossover strategy,-0.15387074619177932,-0.03155903035152674,-15387.074619177933,-0.39724200549859845,0.19047478820218067,-0.0731278206022125,-0.1040705363359199,,,,,,0.2254894717161767,21.0,33.33333333333333,0.9507748248011698,-0.001792934144825584,0.1038905381570135,0.054634670295745126,1.9015496496023399,,,4.03046458492003,6.0,91.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(6,95,125)","{'ema1_period': 6, 'ema2_period': 95, 'ema3_period': 125}",Triple EMA crossover strategy,-0.1580894462669098,-0.03248762791214965,-15808.94462669098,-0.4107460024600019,0.19347661376146522,-0.073972469839571,-0.10528106048415045,,,,,,0.2311118153340313,19.0,26.31578947368421,0.9157231821122868,-0.0031989064592494528,0.13208126418555724,0.05151325311810899,2.564024909914403,,,3.6466108149276466,6.0,95.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(6,90,139)","{'ema1_period': 6, 'ema2_period': 90, 'ema3_period': 139}",Triple EMA crossover strategy,-0.1583475242943938,-0.0325445566052891,-15834.75242943938,-0.40560026595842336,0.18850765097294878,-0.08126671544254778,-0.1155842716681341,,,,,,0.22087983540572048,20.0,25.0,0.9425234206330687,-0.00218322332995087,0.14320539904190063,0.050646097453901376,2.827570261899206,,,3.8385376999238385,6.0,90.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(44,86,96)","{'macd_fast_period': 44, 'macd_slow_period': 86, 'macd_signal_period': 96}",MACD line crossing its signal line,0.22188137643546768,0.039209752175664914,22188.13764354677,-0.46495938429933914,0.2522431583277425,0.27656858312567567,0.43710018317615257,,,,,,0.17951148079168563,11.0,36.36363636363637,1.7441029870723919,0.03085483328718711,0.19888176979668912,0.0651605590039569,3.052180227376686,,,2.111195734958111,,,,44.0,86.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(48,68,114)","{'macd_fast_period': 48, 'macd_slow_period': 68, 'macd_signal_period': 114}",MACD line crossing its signal line,0.20447000452197447,0.036351123356593185,20447.000452197448,-0.47678157036192026,0.2513944574952425,0.26568922548925444,0.42029998270604807,,,,,,0.18227767189711863,11.0,36.36363636363637,1.6938754059772418,0.029481747678508696,0.19791827025585446,0.0667676937942603,2.9642819604601733,,,2.111195734958111,,,,48.0,68.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(36,96,104)","{'macd_fast_period': 36, 'macd_slow_period': 96, 'macd_signal_period': 104}",MACD line crossing its signal line,0.19580102008607267,0.03491536433867837,19580.102008607268,-0.41998488038033766,0.23819186582844834,0.2610365073775358,0.41742324564409194,,,,,,0.15624718813513258,11.0,36.36363636363637,1.712464715256969,0.0269756492845886,0.17830473299220806,0.0594981128340511,2.9968132516996957,,,2.111195734958111,,,,36.0,96.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(36,97,103)","{'macd_fast_period': 36, 'macd_slow_period': 97, 'macd_signal_period': 103}",MACD line crossing its signal line,0.19580102008607267,0.03491536433867837,19580.102008607268,-0.41998488038033766,0.23819186582844834,0.2610365073775358,0.41742324564409194,,,,,,0.15624718813513258,11.0,36.36363636363637,1.712464715256969,0.0269756492845886,0.17830473299220806,0.0594981128340511,2.9968132516996957,,,2.111195734958111,,,,36.0,97.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(36,98,102)","{'macd_fast_period': 36, 'macd_slow_period': 98, 'macd_signal_period': 102}",MACD line crossing its signal line,0.19580102008607267,0.03491536433867837,19580.102008607268,-0.41998488038033766,0.23819186582844834,0.2610365073775358,0.41742324564409194,,,,,,0.15624718813513258,11.0,36.36363636363637,1.712464715256969,0.0269756492845886,0.17830473299220806,0.0594981128340511,2.9968132516996957,,,2.111195734958111,,,,36.0,98.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
