stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(6,94,132)","{'ema1_period': 6, 'ema2_period': 94, 'ema3_period': 132}",Triple EMA crossover strategy,1.3718638720339689,0.18164404709491122,137186.38720339688,-0.12389683627745562,0.1865856354136743,0.9874405920234008,1.5658596646856782,,,,,,0.0601752586383113,12.0,50.0,9.955509251037064,0.08956979481891547,0.19914287304877554,0.020003283410944633,9.955509251037064,,,2.3190184049079754,6.0,94.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(6,94,133)","{'ema1_period': 6, 'ema2_period': 94, 'ema3_period': 133}",Triple EMA crossover strategy,1.3718638720339689,0.18164404709491122,137186.38720339688,-0.12389683627745562,0.1865856354136743,0.9874405920234008,1.5658596646856782,,,,,,0.0601752586383113,12.0,50.0,9.955509251037064,0.08956979481891547,0.19914287304877554,0.020003283410944633,9.955509251037064,,,2.3190184049079754,6.0,94.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(6,94,130)","{'ema1_period': 6, 'ema2_period': 94, 'ema3_period': 130}",Triple EMA crossover strategy,1.3614537739182944,0.18064002119293487,136145.37739182945,-0.12389683627745562,0.18665592490945787,0.9825818932591182,1.557674333859068,,,,,,0.06025791824084308,12.0,50.0,9.917369845687347,0.08918833815174788,0.19837995971444042,0.02000328341094465,9.917369845687347,,,2.3190184049079754,6.0,94.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(6,94,131)","{'ema1_period': 6, 'ema2_period': 94, 'ema3_period': 131}",Triple EMA crossover strategy,1.3614537739182944,0.18064002119293487,136145.37739182945,-0.12389683627745562,0.18665592490945787,0.9825818932591182,1.557674333859068,,,,,,0.06025791824084308,12.0,50.0,9.917369845687347,0.08918833815174788,0.19837995971444042,0.02000328341094465,9.917369845687347,,,2.3190184049079754,6.0,94.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(6,93,132)","{'ema1_period': 6, 'ema2_period': 93, 'ema3_period': 132}",Triple EMA crossover strategy,1.3319815796843113,0.17777801306977148,133198.15796843113,-0.13862828984695552,0.1867179139892736,0.969310514449216,1.5358141658128057,,,,,,0.0606936126647914,12.0,50.0,8.749314015314113,0.08819095156864083,0.1991428730487755,0.0227609699114938,8.749314015314113,,,2.3190184049079754,6.0,93.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(29,60,40)","{'macd_fast_period': 29, 'macd_slow_period': 60, 'macd_signal_period': 40}",MACD line crossing its signal line,1.5263558302988571,0.19614184376606802,152635.58302988572,-0.3169970467423293,0.185244305549087,1.0593841965313546,1.6474266085148799,,,,,,0.09885976250817866,14.0,50.0,4.676084907300244,0.08231134330134027,0.20940475523111737,0.044782068628436866,4.676084907300244,,,2.705521472392638,,,,29.0,60.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(23,62,48)","{'macd_fast_period': 23, 'macd_slow_period': 62, 'macd_signal_period': 48}",MACD line crossing its signal line,1.5118277457365328,0.1948094603746111,151182.77457365327,-0.3183584394434793,0.18575287791568634,1.0509966981766798,1.630397112439691,,,,,,0.09705908992977454,15.0,46.666666666666664,4.483611455594739,0.07683973152826948,0.21192262167121492,0.04135779734680778,5.124127377822559,,,2.8987730061349692,,,,23.0,62.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(21,80,63)","{'macd_fast_period': 21, 'macd_slow_period': 80, 'macd_signal_period': 63}",MACD line crossing its signal line,1.4651220012806037,0.19048348552948569,146512.20012806036,-0.3269012923058653,0.18349048122047099,1.041827844091035,1.6357579069323331,,,,,,0.09489614847876501,13.0,53.84615384615385,4.365668241458799,0.08628241890144678,0.20784857383512864,0.05554476185451542,3.742001349821827,,,2.5122699386503067,,,,21.0,80.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(37,82,42)","{'macd_fast_period': 37, 'macd_slow_period': 82, 'macd_signal_period': 42}",MACD line crossing its signal line,1.44648081421035,0.188738426055989,144648.081421035,-0.32698785568535416,0.18180033720903802,1.0417552754393797,1.6335766624956698,,,,,,0.09003105712348661,11.0,54.54545454545454,5.04779533709762,0.09871754913960483,0.22569346891819042,0.05365355459469787,4.206496114248017,,,2.125766871165644,,,,37.0,82.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(21,69,73)","{'macd_fast_period': 21, 'macd_slow_period': 69, 'macd_signal_period': 73}",MACD line crossing its signal line,1.46074726724763,0.190074911580687,146074.726724763,-0.32690129230586484,0.18350540524143572,1.039886050148469,1.632694986177725,,,,,,0.09495244314727108,14.0,50.0,4.319187825871894,0.08001615711737735,0.20824661322300703,0.04821429898825234,4.319187825871893,,,2.705521472392638,,,,21.0,69.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
