stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(9,99,122)","{'ema1_period': 9, 'ema2_period': 99, 'ema3_period': 122}",Triple EMA crossover strategy,0.08395260380612962,0.015872537489265648,8395.260380612963,-0.22672059764485364,0.1524241668219124,0.18019392635762727,0.23869670406746626,,,,,,0.1062792622797094,11.0,45.45454545454545,1.4427748827710702,0.012569367871556613,0.09010558574725942,0.052044147024862396,1.7313298593252842,,,2.1488372093023256,9.0,99.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(9,99,123)","{'ema1_period': 9, 'ema2_period': 99, 'ema3_period': 123}",Triple EMA crossover strategy,0.08395260380612962,0.015872537489265648,8395.260380612963,-0.22672059764485364,0.1524241668219124,0.18019392635762727,0.23869670406746626,,,,,,0.1062792622797094,11.0,45.45454545454545,1.4427748827710702,0.012569367871556613,0.09010558574725942,0.052044147024862396,1.7313298593252842,,,2.1488372093023256,9.0,99.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(9,99,124)","{'ema1_period': 9, 'ema2_period': 99, 'ema3_period': 124}",Triple EMA crossover strategy,0.08395260380612962,0.015872537489265648,8395.260380612963,-0.22672059764485364,0.1524241668219124,0.18019392635762727,0.23869670406746626,,,,,,0.1062792622797094,11.0,45.45454545454545,1.4427748827710702,0.012569367871556613,0.09010558574725942,0.052044147024862396,1.7313298593252842,,,2.1488372093023256,9.0,99.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(9,99,125)","{'ema1_period': 9, 'ema2_period': 99, 'ema3_period': 125}",Triple EMA crossover strategy,0.08395260380612962,0.015872537489265648,8395.260380612963,-0.22672059764485364,0.1524241668219124,0.18019392635762727,0.23869670406746626,,,,,,0.1062792622797094,11.0,45.45454545454545,1.4427748827710702,0.012569367871556613,0.09010558574725942,0.052044147024862396,1.7313298593252842,,,2.1488372093023256,9.0,99.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(9,99,126)","{'ema1_period': 9, 'ema2_period': 99, 'ema3_period': 126}",Triple EMA crossover strategy,0.08395260380612962,0.015872537489265648,8395.260380612963,-0.22672059764485364,0.1524241668219124,0.18019392635762727,0.23869670406746626,,,,,,0.1062792622797094,11.0,45.45454545454545,1.4427748827710702,0.012569367871556613,0.09010558574725942,0.052044147024862396,1.7313298593252842,,,2.1488372093023256,9.0,99.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(20,98,40)","{'macd_fast_period': 20, 'macd_slow_period': 98, 'macd_signal_period': 40}",MACD line crossing its signal line,0.4929537184941876,0.08143333146777243,49295.37184941876,-0.13334955357086176,0.1511075027447411,0.5938020907695448,0.8578849649459415,,,,,,0.06694691164741742,11.0,72.72727272727273,7.481509219792523,0.03932870478355013,0.06242023717183187,0.022248714918534546,2.8055659574221963,,,2.1488372093023256,,,,20.0,98.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(19,90,45)","{'macd_fast_period': 19, 'macd_slow_period': 90, 'macd_signal_period': 45}",MACD line crossing its signal line,0.48427433800166747,0.08020229440654236,48427.43380016675,-0.13838788053665452,0.15114483318616162,0.5861544625419106,0.8466951333147662,,,,,,0.0693898490125153,11.0,72.72727272727273,6.882242444503753,0.03880035232426237,0.062420237171831844,0.024186007269256238,2.5808409166889072,,,2.1488372093023256,,,,19.0,90.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(19,92,44)","{'macd_fast_period': 19, 'macd_slow_period': 92, 'macd_signal_period': 44}",MACD line crossing its signal line,0.48427433800166747,0.08020229440654236,48427.43380016675,-0.13838788053665452,0.15114483318616162,0.5861544625419106,0.8466951333147662,,,,,,0.0693898490125153,11.0,72.72727272727273,6.882242444503753,0.03880035232426237,0.062420237171831844,0.024186007269256238,2.5808409166889072,,,2.1488372093023256,,,,19.0,92.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(19,93,44)","{'macd_fast_period': 19, 'macd_slow_period': 93, 'macd_signal_period': 44}",MACD line crossing its signal line,0.48427433800166747,0.08020229440654236,48427.43380016675,-0.13838788053665452,0.15114483318616162,0.5861544625419106,0.8466951333147662,,,,,,0.0693898490125153,11.0,72.72727272727273,6.882242444503753,0.03880035232426237,0.062420237171831844,0.024186007269256238,2.5808409166889072,,,2.1488372093023256,,,,19.0,93.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(20,93,42)","{'macd_fast_period': 20, 'macd_slow_period': 93, 'macd_signal_period': 42}",MACD line crossing its signal line,0.48427433800166747,0.08020229440654236,48427.43380016675,-0.13838788053665452,0.15114483318616162,0.5861544625419106,0.8466951333147662,,,,,,0.0693898490125153,11.0,72.72727272727273,6.882242444503753,0.03880035232426237,0.062420237171831844,0.024186007269256238,2.5808409166889072,,,2.1488372093023256,,,,20.0,93.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
