stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(5,109,139)","{'ema1_period': 5, 'ema2_period': 109, 'ema3_period': 139}",Triple EMA crossover strategy,3.7404608137153925,0.35525419650152634,374046.0813715393,-0.37531509980074673,0.41808245881929107,0.9392309666018666,1.3063814855412565,,,,,,0.14681661750199554,18.0,72.22222222222221,9.005896550356809,0.11698287301550031,0.1822084089612966,0.05260352044357003,3.463806365521849,,,3.516279069767442,5.0,109.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(5,108,139)","{'ema1_period': 5, 'ema2_period': 108, 'ema3_period': 139}",Triple EMA crossover strategy,3.7020812159898533,0.35310373989860055,370208.12159898534,-0.37531509980074673,0.41787776334232724,0.9356829965916521,1.3011791278950633,,,,,,0.1469504382703609,19.0,73.68421052631578,8.340129278019761,0.11035458387929387,0.17017079050927286,0.057130794684647455,2.978617599292772,,,3.7116279069767444,5.0,108.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(5,109,135)","{'ema1_period': 5, 'ema2_period': 109, 'ema3_period': 135}",Triple EMA crossover strategy,3.6736263014620234,0.3515002396542528,367362.63014620234,-0.3753150998007464,0.4175848021904674,0.9332202335943989,1.2964774484753547,,,,,,0.14827892124205147,17.0,64.70588235294117,7.756712387044447,0.12323639673808187,0.21864395953167248,0.05167746838350094,4.2309340292969715,,,3.32093023255814,5.0,109.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(5,109,136)","{'ema1_period': 5, 'ema2_period': 109, 'ema3_period': 136}",Triple EMA crossover strategy,3.6736263014620234,0.3515002396542528,367362.63014620234,-0.3753150998007464,0.4175848021904674,0.9332202335943989,1.2964774484753547,,,,,,0.14827892124205147,17.0,64.70588235294117,7.756712387044447,0.12323639673808187,0.21864395953167248,0.05167746838350094,4.2309340292969715,,,3.32093023255814,5.0,109.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(5,108,135)","{'ema1_period': 5, 'ema2_period': 108, 'ema3_period': 135}",Triple EMA crossover strategy,3.6357878076070307,0.34935573966176214,363578.7807607031,-0.37531509980074607,0.41737981519922596,0.9296657346917531,1.2912722705836701,,,,,,0.1484114234748469,18.0,66.66666666666666,7.2700833057753576,0.11589245133194274,0.20156377545678017,0.0554501969177321,3.6350416528876788,,,3.516279069767442,5.0,108.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(12,68,79)","{'macd_fast_period': 12, 'macd_slow_period': 68, 'macd_signal_period': 79}",MACD line crossing its signal line,2.624926579463093,0.2860517693273781,262492.6579463093,-0.4849035761118772,0.42749990257637616,0.8042983023282695,1.1375478128848542,,,,,,0.17734650492465429,14.0,50.0,4.242285091087326,0.1311972736087062,0.3433234414527481,0.08092889423533581,4.242285091087326,,,2.734883720930233,,,,12.0,68.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(12,69,78)","{'macd_fast_period': 12, 'macd_slow_period': 69, 'macd_signal_period': 78}",MACD line crossing its signal line,2.624926579463093,0.2860517693273781,262492.6579463093,-0.4849035761118772,0.42749990257637616,0.8042983023282695,1.1375478128848542,,,,,,0.17734650492465429,14.0,50.0,4.242285091087326,0.1311972736087062,0.3433234414527481,0.08092889423533581,4.242285091087326,,,2.734883720930233,,,,12.0,69.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(12,60,96)","{'macd_fast_period': 12, 'macd_slow_period': 60, 'macd_signal_period': 96}",MACD line crossing its signal line,2.576697762446391,0.2826911921742159,257669.77624463913,-0.4849035761118772,0.4282744525566624,0.7974926886770111,1.1275111942060603,,,,,,0.1764779635360214,15.0,53.333333333333336,3.8934840524712135,0.12319105278555108,0.3108119770554194,0.09123286066572703,3.406798545912312,,,2.930232558139535,,,,12.0,60.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(12,60,97)","{'macd_fast_period': 12, 'macd_slow_period': 60, 'macd_signal_period': 97}",MACD line crossing its signal line,2.576697762446391,0.2826911921742159,257669.77624463913,-0.4849035761118772,0.4282744525566624,0.7974926886770111,1.1275111942060603,,,,,,0.1764779635360214,15.0,53.333333333333336,3.8934840524712135,0.12319105278555108,0.3108119770554194,0.09123286066572703,3.406798545912312,,,2.930232558139535,,,,12.0,60.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(12,60,98)","{'macd_fast_period': 12, 'macd_slow_period': 60, 'macd_signal_period': 98}",MACD line crossing its signal line,2.576697762446391,0.2826911921742159,257669.77624463913,-0.4849035761118772,0.4282744525566624,0.7974926886770111,1.1275111942060603,,,,,,0.1764779635360214,15.0,53.333333333333336,3.8934840524712135,0.12319105278555108,0.3108119770554194,0.09123286066572703,3.406798545912312,,,2.930232558139535,,,,12.0,60.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
