stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(4,90,120)","{'ema1_period': 4, 'ema2_period': 90, 'ema3_period': 120}",Triple EMA crossover strategy,4.7881219340824375,0.40916175385631215,478812.19340824377,-0.5725749384137677,0.4969625559700155,0.939188257861479,1.4223434370523045,,,,,,0.3076020323906377,25.0,44.0,5.883050520132951,0.19189809361436802,0.5254475170591963,0.07017645337799706,7.487518843805574,,,4.883720930232559,4.0,90.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(4,90,128)","{'ema1_period': 4, 'ema2_period': 90, 'ema3_period': 128}",Triple EMA crossover strategy,4.672314239988978,0.40360916292500404,467231.42399889784,-0.5865036810291404,0.49749455710671897,0.9307709585101832,1.4092970245783765,,,,,,0.3085266171735582,24.0,37.5,5.959093875748226,0.19895324008314708,0.6375256255785873,0.06419019121411702,9.931823126247044,,,4.688372093023256,4.0,90.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(4,90,129)","{'ema1_period': 4, 'ema2_period': 90, 'ema3_period': 129}",Triple EMA crossover strategy,4.672314239988978,0.40360916292500404,467231.42399889784,-0.5865036810291404,0.49749455710671897,0.9307709585101832,1.4092970245783765,,,,,,0.3085266171735582,24.0,37.5,5.959093875748226,0.19895324008314708,0.6375256255785873,0.06419019121411702,9.931823126247044,,,4.688372093023256,4.0,90.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(4,90,130)","{'ema1_period': 4, 'ema2_period': 90, 'ema3_period': 130}",Triple EMA crossover strategy,4.672314239988978,0.40360916292500404,467231.42399889784,-0.5865036810291404,0.49749455710671897,0.9307709585101832,1.4092970245783765,,,,,,0.3085266171735582,24.0,37.5,5.959093875748226,0.19895324008314708,0.6375256255785873,0.06419019121411702,9.931823126247044,,,4.688372093023256,4.0,90.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(4,90,131)","{'ema1_period': 4, 'ema2_period': 90, 'ema3_period': 131}",Triple EMA crossover strategy,4.672314239988978,0.40360916292500404,467231.42399889784,-0.5865036810291404,0.49749455710671897,0.9307709585101832,1.4092970245783765,,,,,,0.3085266171735582,24.0,37.5,5.959093875748226,0.19895324008314708,0.6375256255785873,0.06419019121411702,9.931823126247044,,,4.688372093023256,4.0,90.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(11,99,56)","{'macd_fast_period': 11, 'macd_slow_period': 99, 'macd_signal_period': 56}",MACD line crossing its signal line,23.227884569045816,0.8639077858027713,2322788.4569045817,-0.35408342434647133,0.4410730396557883,1.632735665786309,2.637628440913346,,,,,,0.12730350716407296,11.0,63.63636363636363,23.2124115629429,0.46445793603282476,0.7627207883786907,0.05750205557244074,13.264235178824515,,,2.1488372093023256,,,,11.0,99.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(11,65,51)","{'macd_fast_period': 11, 'macd_slow_period': 65, 'macd_signal_period': 51}",MACD line crossing its signal line,22.547383354980525,0.8535632157405939,2254738.3354980526,-0.3373535396533903,0.43631458125057493,1.6326557762818816,2.6584891596411335,,,,,,0.1412393896732774,13.0,61.53846153846154,13.003266736213035,0.37508885761868876,0.6602988528413765,0.0812471347376115,8.127041710133149,,,2.5395348837209304,,,,11.0,65.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(11,97,57)","{'macd_fast_period': 11, 'macd_slow_period': 97, 'macd_signal_period': 57}",MACD line crossing its signal line,22.76165301587503,0.8568460736488044,2276165.301587503,-0.35408342434647144,0.4411794075212479,1.6238211877230737,2.6225878261940077,,,,,,0.1277578511423068,11.0,63.63636363636363,22.968119034198544,0.4593498187369008,0.7546937469136674,0.057502055572440716,13.124639448113452,,,2.1488372093023256,,,,11.0,97.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(10,66,50)","{'macd_fast_period': 10, 'macd_slow_period': 66, 'macd_signal_period': 50}",MACD line crossing its signal line,21.237978609401893,0.8329621712079882,2123797.860940189,-0.3373535396533903,0.43227410544600275,1.618309679196606,2.610851660475082,,,,,,0.13897099684359981,13.0,61.53846153846154,13.099905508547693,0.3719186068305364,0.6543158729402507,0.07991701894500651,8.187440942842308,,,2.5395348837209304,,,,10.0,66.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(10,68,49)","{'macd_fast_period': 10, 'macd_slow_period': 68, 'macd_signal_period': 49}",MACD line crossing its signal line,21.237978609401893,0.8329621712079882,2123797.860940189,-0.3373535396533903,0.43227410544600275,1.618309679196606,2.610851660475082,,,,,,0.13897099684359981,13.0,61.53846153846154,13.099905508547693,0.3719186068305364,0.6543158729402507,0.07991701894500651,8.187440942842308,,,2.5395348837209304,,,,10.0,68.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
