stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(6,92,127)","{'ema1_period': 6, 'ema2_period': 92, 'ema3_period': 127}",Triple EMA crossover strategy,1.0212807598750586,0.1473708423569451,102128.07598750586,-0.41135619810579427,0.40975819993767987,0.546004223550042,0.731082265634116,,,,,,0.2522500965828079,14.0,35.714285714285715,3.4856241193812525,0.07723380008683008,0.3032567893439933,0.04833452727826061,6.274123414886255,,,2.734883720930233,6.0,92.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(9,98,120)","{'ema1_period': 9, 'ema2_period': 98, 'ema3_period': 120}",Triple EMA crossover strategy,1.0128758317701223,0.14643726616155806,101287.58317701223,-0.37646427414782746,0.4078175756694248,0.5445715220201913,0.730017922041584,,,,,,0.23494203164997024,11.0,36.36363636363637,3.941951881300651,0.09490626143989217,0.3497061848877654,0.05069369481603536,6.898415792276139,,,2.1488372093023256,9.0,98.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(6,92,122)","{'ema1_period': 6, 'ema2_period': 92, 'ema3_period': 122}",Triple EMA crossover strategy,0.9799693311040656,0.1427517258243698,97996.93311040656,-0.41135619810579505,0.40989342621555974,0.5361100038390492,0.7177400979894971,,,,,,0.2561804708252635,12.0,25.0,3.458879771044442,0.08833685025235277,0.4970499948370557,0.04790086460921486,10.376639313133325,,,2.344186046511628,6.0,92.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(6,92,123)","{'ema1_period': 6, 'ema2_period': 92, 'ema3_period': 123}",Triple EMA crossover strategy,0.9799693311040656,0.1427517258243698,97996.93311040656,-0.41135619810579505,0.40989342621555974,0.5361100038390492,0.7177400979894971,,,,,,0.2561804708252635,12.0,25.0,3.458879771044442,0.08833685025235277,0.4970499948370557,0.04790086460921486,10.376639313133325,,,2.344186046511628,6.0,92.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(6,92,124)","{'ema1_period': 6, 'ema2_period': 92, 'ema3_period': 124}",Triple EMA crossover strategy,0.9799693311040656,0.1427517258243698,97996.93311040656,-0.41135619810579505,0.40989342621555974,0.5361100038390492,0.7177400979894971,,,,,,0.2561804708252635,12.0,25.0,3.458879771044442,0.08833685025235277,0.4970499948370557,0.04790086460921486,10.376639313133325,,,2.344186046511628,6.0,92.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(11,99,45)","{'macd_fast_period': 11, 'macd_slow_period': 99, 'macd_signal_period': 45}",MACD line crossing its signal line,4.634731234525536,0.4017875796693531,463473.12345255364,-0.5315833837609322,0.46824426117293033,0.9559853748659897,1.4167816016257186,,,,,,0.21312671069776157,20.0,50.0,5.235961984919135,0.17059908948369598,0.42174615843041013,0.08054797946301813,5.235961984919135,,,3.906976744186047,,,,11.0,99.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(10,94,43)","{'macd_fast_period': 10, 'macd_slow_period': 94, 'macd_signal_period': 43}",MACD line crossing its signal line,4.476049435758569,0.3939870528566185,447604.9435758569,-0.5729376757517202,0.4644869208736139,0.9477903619206555,1.4090073745659253,,,,,,0.20422561496310018,19.0,57.89473684210527,5.6737996028627915,0.16839040500660832,0.3530873533014009,0.0855678988987315,4.126399711172939,,,3.7116279069767444,,,,10.0,94.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(11,96,42)","{'macd_fast_period': 11, 'macd_slow_period': 96, 'macd_signal_period': 42}",MACD line crossing its signal line,4.473809234354664,0.3938756334691025,447380.92343546636,-0.5630245503688276,0.4644137928099776,0.9476877026921491,1.409341356772475,,,,,,0.2049111764817698,19.0,52.63157894736842,5.551409308061557,0.16818029404389354,0.3897499465615691,0.07800820875352382,4.996268377255402,,,3.7116279069767444,,,,11.0,96.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(12,98,40)","{'macd_fast_period': 12, 'macd_slow_period': 98, 'macd_signal_period': 40}",MACD line crossing its signal line,4.472630256118241,0.3938169806860501,447263.0256118241,-0.5627502742765698,0.4643814611430091,0.9476298727000548,1.4093223885049964,,,,,,0.2043398801590072,19.0,52.63157894736842,5.565973831256933,0.16871680638955389,0.3907686271382065,0.07800743888672684,5.00937644813124,,,3.7116279069767444,,,,12.0,98.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(12,99,40)","{'macd_fast_period': 12, 'macd_slow_period': 99, 'macd_signal_period': 40}",MACD line crossing its signal line,4.4088405416811876,0.39062825358290465,440884.05416811875,-0.5788599007068349,0.4648452423116798,0.9422170934360443,1.4006692160852952,,,,,,0.21133892047215802,18.0,61.111111111111114,5.674854552764198,0.17595287575107016,0.3495125871957022,0.09678381366192315,3.611271079031762,,,3.516279069767442,,,,12.0,99.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,1.0,AROON(22),{'aroon_timeperiod': 22},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",4.3550594534204095,0.387916241661749,435505.94534204097,-0.3660687125502653,0.4164789692982349,0.9984460585393111,1.4134869373668442,,,,,,0.15749658742735523,22.0,54.54545454545454,3.8057304659138653,0.10791794336115836,0.2683658027999552,0.08461948796539784,3.171442054928221,,,4.297674418604651,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,2.0,AROON(23),{'aroon_timeperiod': 23},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",4.629106092139739,0.4015140982328662,462910.60921397386,-0.40858497069145283,0.43621456214516535,0.9935912668417461,1.4365194653663704,,,,,,0.1798428005741823,20.0,50.0,3.7338634495485703,0.12750692539136232,0.3482935099496204,0.09327965916689578,3.7338634495485703,,,3.906976744186047,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,3.0,AROON(21),{'aroon_timeperiod': 21},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",3.6561887831225897,0.3505137090904007,365618.878312259,-0.44204036809231384,0.4150717975197638,0.9345922398034019,1.3176360692324771,,,,,,0.17338722325387115,26.0,46.15384615384615,3.251523012092466,0.08495306668256287,0.26581629761825504,0.07007255983374472,3.793443514107877,,,5.079069767441861,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,4.0,AROON(24),{'aroon_timeperiod': 24},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",3.8995361904095045,0.36402073067606855,389953.61904095043,-0.41916856161121396,0.43745870915927526,0.9300467389366728,1.3381777178967265,,,,,,0.18568625945769324,18.0,50.0,3.381178015151913,0.13113540281413513,0.3724141061120596,0.11014330048378934,3.3811780151519133,,,3.516279069767442,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,5.0,AROON(20),{'aroon_timeperiod': 20},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",3.385371520784227,0.3347969392905079,338537.1520784227,-0.466187598784196,0.41876256276218654,0.902146469115921,1.267643380014599,,,,,,0.1879676464785615,28.0,46.42857142857143,2.9484709811032705,0.07644574070243193,0.2491557347640518,0.073236254150972,3.402081901273005,,,5.469767441860466,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,1.0,"STC(37,91,21)","{'stc_ema_short_period': 37, 'stc_ema_long_period': 91, 'stc_cycle_period': 21}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",7.674983697951842,0.5250697018653907,767498.3697951842,-0.4055369212933023,0.47722348619343474,1.1229705955509794,1.6984197294369832,,,,,,0.19188266157067732,15.0,60.0,7.686401725961669,0.29520177111848755,0.5655855710408876,0.11037392876511255,5.124267817307779,,,2.930232558139535,,,,,,,,37.0,91.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,2.0,"STC(38,88,21)","{'stc_ema_short_period': 38, 'stc_ema_long_period': 88, 'stc_cycle_period': 21}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",7.674983697951842,0.5250697018653907,767498.3697951842,-0.4055369212933023,0.47722348619343474,1.1229705955509794,1.6984197294369832,,,,,,0.19188266157067732,15.0,60.0,7.686401725961669,0.29520177111848755,0.5655855710408876,0.11037392876511255,5.124267817307779,,,2.930232558139535,,,,,,,,38.0,88.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,3.0,"STC(36,93,21)","{'stc_ema_short_period': 36, 'stc_ema_long_period': 93, 'stc_cycle_period': 21}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",7.383022187235832,0.5149044333041302,738302.2187235832,-0.4055369212933023,0.47693624026488957,1.1093156985123909,1.6767577226370947,,,,,,0.19226485694769344,15.0,60.0,7.630956706774043,0.2927538972792095,0.5615057813087574,0.11037392876511255,5.087304471182695,,,2.930232558139535,,,,,,,,36.0,93.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,4.0,"STC(36,94,21)","{'stc_ema_short_period': 36, 'stc_ema_long_period': 94, 'stc_cycle_period': 21}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",7.383022187235832,0.5149044333041302,738302.2187235832,-0.4055369212933023,0.47693624026488957,1.1093156985123909,1.6767577226370947,,,,,,0.19226485694769344,15.0,60.0,7.630956706774043,0.2927538972792095,0.5615057813087574,0.11037392876511255,5.087304471182695,,,2.930232558139535,,,,,,,,36.0,94.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,5.0,"STC(37,88,21)","{'stc_ema_short_period': 37, 'stc_ema_long_period': 88, 'stc_cycle_period': 21}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",7.347545386999727,0.5136499046223857,734754.5386999727,-0.4055369212933023,0.4769361929916751,1.1075750592703164,1.6741265380501784,,,,,,0.19229118244180698,15.0,60.0,7.624147046510185,0.29245325369645847,0.5610047086708392,0.1103739287651126,5.082764697673457,,,2.930232558139535,,,,,,,,37.0,88.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,1.0,"KAMA(25,3,97)","{'kama_period': 25, 'kama_fast_ema_constant': 3, 'kama_slow_ema_constant': 97}","Price crossing KAMA line: buy on cross above, sell on cross below",0.9367935151550987,0.13784051394943986,93679.35151550987,-0.5219828594453159,0.4068958656952139,0.5258345126067401,0.7081730746306621,,,,,,0.29496109322257025,47.0,36.17021276595745,1.776030496540208,0.023258468617609433,0.14716403379214224,0.04695468498129248,3.13417146448272,,,9.18139534883721,,,,,,,,,,,25.0,3.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,2.0,"KAMA(25,3,85)","{'kama_period': 25, 'kama_fast_ema_constant': 3, 'kama_slow_ema_constant': 85}","Price crossing KAMA line: buy on cross above, sell on cross below",0.879696299118526,0.1312086329194675,87969.6299118526,-0.5656868156795183,0.40649545554855193,0.5115478348462565,0.688964988326331,,,,,,0.31213032666650575,49.0,38.775510204081634,1.7295227402098174,0.02170246116563055,0.13269021856748595,0.04858978518887786,2.730825379278659,,,9.572093023255814,,,,,,,,,,,25.0,3.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,3.0,"KAMA(25,3,86)","{'kama_period': 25, 'kama_fast_ema_constant': 3, 'kama_slow_ema_constant': 86}","Price crossing KAMA line: buy on cross above, sell on cross below",0.879696299118526,0.1312086329194675,87969.6299118526,-0.5656868156795183,0.40649545554855193,0.5115478348462565,0.688964988326331,,,,,,0.31213032666650575,49.0,38.775510204081634,1.7295227402098174,0.02170246116563055,0.13269021856748595,0.04858978518887786,2.730825379278659,,,9.572093023255814,,,,,,,,,,,25.0,3.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
