stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(9,101,123)","{'ema1_period': 9, 'ema2_period': 101, 'ema3_period': 123}",Triple EMA crossover strategy,-0.3805664477132076,-0.08840347347026223,-38056.64477132076,-0.4732932907022771,0.19975249559831684,-0.36391887850990523,-0.5250303769543703,,,,,,0.23776282682083924,25.0,12.0,0.5945111956503243,-0.015087599827972505,0.1843402110613813,0.04228230131288439,4.359748768102378,,,4.831288343558282,9.0,101.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(9,96,130)","{'ema1_period': 9, 'ema2_period': 96, 'ema3_period': 130}",Triple EMA crossover strategy,-0.38520392984909335,-0.08972637835726038,-38520.39298490933,-0.45123538808076924,0.19869465261288272,-0.3741842004741467,-0.5371561019868438,,,,,,0.2453738080996142,25.0,20.0,0.5789025759623727,-0.015438040525036445,0.10611702800343563,0.04582680765715447,2.315610303849491,,,4.831288343558282,9.0,96.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(9,96,131)","{'ema1_period': 9, 'ema2_period': 96, 'ema3_period': 131}",Triple EMA crossover strategy,-0.38520392984909335,-0.08972637835726038,-38520.39298490933,-0.45123538808076924,0.19869465261288272,-0.3741842004741467,-0.5371561019868438,,,,,,0.2453738080996142,25.0,20.0,0.5789025759623727,-0.015438040525036445,0.10611702800343563,0.04582680765715447,2.315610303849491,,,4.831288343558282,9.0,96.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(9,96,132)","{'ema1_period': 9, 'ema2_period': 96, 'ema3_period': 132}",Triple EMA crossover strategy,-0.38763036338110834,-0.09042176239851207,-38763.03633811083,-0.4534012133359906,0.19870109409970088,-0.3780105565895089,-0.5426239492716755,,,,,,0.24638305941433572,25.0,20.0,0.5764903925251217,-0.015591441404351696,0.10611702800343567,0.04601855875629853,2.3059615701004867,,,4.831288343558282,9.0,96.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(9,104,123)","{'ema1_period': 9, 'ema2_period': 104, 'ema3_period': 123}",Triple EMA crossover strategy,-0.3902693399507487,-0.09118058655132,-39026.93399507487,-0.45153513493065445,0.19889951060484973,-0.3816371504204863,-0.5483628849495645,,,,,,0.23499314058262735,25.0,16.0,0.5790052172303901,-0.01584394012702299,0.1361911769826578,0.044803010052676485,3.0397773904595478,,,4.831288343558282,9.0,104.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(18,99,91)","{'macd_fast_period': 18, 'macd_slow_period': 99, 'macd_signal_period': 91}",MACD line crossing its signal line,0.11732536264949507,0.021670356524658985,11732.536264949507,-0.4414510400832309,0.23321005175330017,0.20788157002077767,0.31075447082450003,,,,,,0.1793742727881405,11.0,36.36363636363637,1.4405083888363261,0.019453529998966757,0.17494144977022877,0.06939670987032581,2.5208896804635708,,,2.125766871165644,,,,18.0,99.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(15,97,101)","{'macd_fast_period': 15, 'macd_slow_period': 97, 'macd_signal_period': 101}",MACD line crossing its signal line,0.11308567069173106,0.020920023375614383,11308.567069173107,-0.4326892048574805,0.23490420070173165,0.2049902888392848,0.3049055537133921,,,,,,0.1719454017910121,12.0,41.66666666666667,1.4567717306475727,0.017985664691057956,0.13766705487676573,0.0675010425844476,2.039480422906602,,,2.3190184049079754,,,,15.0,97.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(15,98,99)","{'macd_fast_period': 15, 'macd_slow_period': 98, 'macd_signal_period': 99}",MACD line crossing its signal line,0.11308567069173106,0.020920023375614383,11308.567069173107,-0.4326892048574805,0.23490420070173165,0.2049902888392848,0.3049055537133921,,,,,,0.1719454017910121,12.0,41.66666666666667,1.4567717306475727,0.017985664691057956,0.13766705487676573,0.0675010425844476,2.039480422906602,,,2.3190184049079754,,,,15.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(15,98,100)","{'macd_fast_period': 15, 'macd_slow_period': 98, 'macd_signal_period': 100}",MACD line crossing its signal line,0.11308567069173106,0.020920023375614383,11308.567069173107,-0.4326892048574805,0.23490420070173165,0.2049902888392848,0.3049055537133921,,,,,,0.1719454017910121,12.0,41.66666666666667,1.4567717306475727,0.017985664691057956,0.13766705487676573,0.0675010425844476,2.039480422906602,,,2.3190184049079754,,,,15.0,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(15,99,98)","{'macd_fast_period': 15, 'macd_slow_period': 99, 'macd_signal_period': 98}",MACD line crossing its signal line,0.11308567069173106,0.020920023375614383,11308.567069173107,-0.4326892048574805,0.23490420070173165,0.2049902888392848,0.3049055537133921,,,,,,0.1719454017910121,12.0,41.66666666666667,1.4567717306475727,0.017985664691057956,0.13766705487676573,0.0675010425844476,2.039480422906602,,,2.3190184049079754,,,,15.0,99.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
