stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(6,90,129)","{'ema1_period': 6, 'ema2_period': 90, 'ema3_period': 129}",Triple EMA crossover strategy,-0.02052823548748187,-0.004043702011482853,-2052.823548748187,-0.414301770076974,0.17797327282504313,0.06638885299410278,0.09367541581521109,,,,,,0.17045140322483573,21.0,33.33333333333333,1.0693834378390779,0.0018089483859949768,0.08364212717631761,0.03910764100916635,2.1387668756781553,,,4.102325581395349,6.0,90.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(6,91,129)","{'ema1_period': 6, 'ema2_period': 91, 'ema3_period': 129}",Triple EMA crossover strategy,-0.021466481867159017,-0.004230143914385032,-2146.648186715902,-0.41430177007697355,0.1779837754575942,0.06534344794008358,0.09220361120039465,,,,,,0.17048469274176084,21.0,33.33333333333333,1.067498986300812,0.0017598174164898577,0.08349473426780223,0.039107641009166326,2.134997972601624,,,4.102325581395349,6.0,91.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(6,90,128)","{'ema1_period': 6, 'ema2_period': 90, 'ema3_period': 128}",Triple EMA crossover strategy,-0.02175040327008057,-0.004286591183357946,-2175.040327008057,-0.4143017700769738,0.17796744948458568,0.06501467275302081,0.09173318586966384,,,,,,0.17046384599728162,22.0,31.818181818181817,1.0668064379758393,0.0017009679194751786,0.08536661779885064,0.03734300202423337,2.2860137956625133,,,4.297674418604651,6.0,90.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(5,93,132)","{'ema1_period': 5, 'ema2_period': 93, 'ema3_period': 132}",Triple EMA crossover strategy,-0.022978312652743044,-0.004530867440458386,-2297.8312652743043,-0.38221949772531305,0.1786757734917281,0.06412873791235607,0.09007155534984146,,,,,,0.15478648528239108,20.0,35.0,1.0674992834749593,0.001885607010816693,0.08520234922023462,0.042977254178869884,1.9824986693106383,,,3.906976744186047,5.0,93.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(6,91,128)","{'ema1_period': 6, 'ema2_period': 91, 'ema3_period': 128}",Triple EMA crossover strategy,-0.022687478922291775,-0.004472987617679447,-2268.7478922291775,-0.41430177007697233,0.177977951447625,0.06396931482612396,0.09026143083714419,,,,,,0.1704971330847586,22.0,31.818181818181817,1.0649645036486908,0.0016540701758566247,0.08521922489033519,0.03734300202423338,2.2820667935329086,,,4.297674418604651,6.0,91.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(10,64,110)","{'macd_fast_period': 10, 'macd_slow_period': 64, 'macd_signal_period': 110}",MACD line crossing its signal line,0.41951400085838586,0.07082945737627466,41951.400085838584,-0.13904332485832782,0.1259676439522453,0.6061764275700428,0.9056618648683306,,,,,,0.0596366885974028,16.0,68.75,3.9407377399684167,0.022952923552231254,0.04473902813534209,0.024976506530612574,1.7912444272583714,,,3.1255813953488376,,,,10.0,64.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(10,63,112)","{'macd_fast_period': 10, 'macd_slow_period': 63, 'macd_signal_period': 112}",MACD line crossing its signal line,0.4172077413188333,0.07048937533270339,41720.77413188333,-0.13904332485832827,0.12599421358924248,0.6035531909554551,0.901782861722724,,,,,,0.05963782246867742,15.0,66.66666666666666,3.931818912676021,0.024408864739675348,0.049101550374819294,0.024976506530612556,1.9659094563380104,,,2.930232558139535,,,,10.0,63.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(10,62,114)","{'macd_fast_period': 10, 'macd_slow_period': 62, 'macd_signal_period': 114}",MACD line crossing its signal line,0.4044584094880521,0.06860127677930916,40445.84094880521,-0.13904332485832738,0.12607956843777607,0.5892245036596504,0.8797660225398759,,,,,,0.05968682113196215,15.0,66.66666666666666,3.8584001357761144,0.023797616552771968,0.048184678094464216,0.024976506530612543,1.929200067888057,,,2.930232558139535,,,,10.0,62.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(10,65,108)","{'macd_fast_period': 10, 'macd_slow_period': 65, 'macd_signal_period': 108}",MACD line crossing its signal line,0.38236962015045445,0.0652971624423071,38236.96201504544,-0.15398079811587118,0.1255655133594221,0.5664576890354168,0.8436180890156264,,,,,,0.06273997897284726,16.0,68.75,3.717771413221148,0.021212636078446912,0.04220770090074667,0.024976506530612556,1.6898960969187038,,,3.1255813953488376,,,,10.0,65.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(10,60,119)","{'macd_fast_period': 10, 'macd_slow_period': 60, 'macd_signal_period': 119}",MACD line crossing its signal line,0.38007281774626694,0.06495116606085793,38007.281774626696,-0.13904332485832904,0.1263495285039853,0.5611498446600588,0.8357976486933996,,,,,,0.06023971716171086,15.0,66.66666666666666,3.714027693215091,0.02259564346795002,0.04638171846723131,0.024976506530612563,1.8570138466075452,,,2.930232558139535,,,,10.0,60.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,1.0,AROON(15),{'aroon_timeperiod': 15},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.6015841544684053,0.09637357218084053,60158.41544684053,-0.19817060940673703,0.16139592567094263,0.6503438210046681,1.0035108081516617,,,,,,0.058675276645730565,42.0,52.38095238095239,2.2303065845876886,0.012118090147713704,0.041938414400899696,0.02068426653079089,2.0275514405342623,,,8.204651162790698,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,2.0,AROON(16),{'aroon_timeperiod': 16},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.4797887113347343,0.07956380520447537,47978.871133473425,-0.23250722942449742,0.16207602582615838,0.5529432690485995,0.8460787458284789,,,,,,0.08316871191449524,40.0,55.00000000000001,1.9581035991432383,0.010707559492931524,0.03978789843508359,0.024835076991921,1.602084762935377,,,7.813953488372094,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,3.0,AROON(14),{'aroon_timeperiod': 14},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.46962413995730895,0.07811118522359983,46962.413995730894,-0.1839046290440196,0.16154062916583084,0.5458981936207318,0.8372045587954832,,,,,,0.056793825924093023,44.0,45.45454545454545,2.000177976937212,0.009529782663694662,0.04192731300487009,0.017468159287284863,2.4002135723246543,,,8.595348837209302,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,4.0,AROON(18),{'aroon_timeperiod': 18},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.475802541456762,0.0789951010261345,47580.2541456762,-0.2549306419254467,0.16441062853686883,0.544184423775262,0.8352487792388515,,,,,,0.08234189846517881,38.0,47.368421052631575,1.8781397556253847,0.011329673612331934,0.05115554982021208,0.02451361497476019,2.0868219506948718,,,7.423255813953489,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,5.0,AROON(13),{'aroon_timeperiod': 13},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",0.41020870010317334,0.06945456000956174,41020.87001031733,-0.17552260075100112,0.16149584766975036,0.4960598289699516,0.7609543412568072,,,,,,0.058673189704527014,46.0,47.82608695652174,1.7873861741475825,0.008230065269867326,0.03906330997992083,0.020033742381015043,1.9498758263428175,,,8.986046511627908,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,1.0,"STC(31,69,20)","{'stc_ema_short_period': 31, 'stc_ema_long_period': 69, 'stc_cycle_period': 20}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.6643648980822979,0.10463969780108573,66436.48980822979,-0.13139665469180195,0.16824648531136036,0.6747464804482796,1.0812557134492158,,,,,,0.050634239849604766,20.0,60.0,4.005373965543985,0.026925729196417954,0.05980820576910531,0.022397985662613105,2.6702493103626566,,,3.906976744186047,,,,,,,,31.0,69.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,2.0,"STC(20,81,21)","{'stc_ema_short_period': 20, 'stc_ema_long_period': 81, 'stc_cycle_period': 21}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.6066458718433125,0.09704960222595993,60664.587184331256,-0.16834414779000284,0.16735143278753,0.6362708300154685,1.01317705107906,,,,,,0.07422374992389995,21.0,57.14285714285714,3.0746238053323127,0.024262797714159307,0.06292620699584757,0.027288414661425047,2.3059678539992348,,,4.102325581395349,,,,,,,,20.0,81.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,3.0,"STC(10,97,22)","{'stc_ema_short_period': 10, 'stc_ema_long_period': 97, 'stc_cycle_period': 22}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.6065698430555418,0.09703946070093128,60656.984305554186,-0.16152290817434178,0.1676573768899004,0.6354759361132434,0.9942243546505731,,,,,,0.06584178707630377,22.0,54.54545454545454,2.82239773001856,0.02325423954502539,0.06602655300989187,0.02807253661281439,2.3519981083487997,,,4.297674418604651,,,,,,,,10.0,97.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,4.0,"STC(17,95,21)","{'stc_ema_short_period': 17, 'stc_ema_long_period': 95, 'stc_cycle_period': 21}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.6013903185641783,0.09634764979336463,60139.03185641784,-0.17071093150608763,0.16631046855476367,0.6353685338808335,1.010285779603111,,,,,,0.07595473864340478,22.0,54.54545454545454,2.912661544346701,0.023099017416564616,0.0644891773406109,0.02656917449229093,2.4272179536222507,,,4.297674418604651,,,,,,,,17.0,95.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,5.0,"STC(10,96,22)","{'stc_ema_short_period': 10, 'stc_ema_long_period': 96, 'stc_cycle_period': 22}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.6038136761549697,0.09667155294413265,60381.36761549697,-0.1615229081743419,0.16774479239061504,0.6332319325856021,0.9904184580940291,,,,,,0.06598288332113209,22.0,54.54545454545454,2.76514499386843,0.023225490988092234,0.0667027688894691,0.02894724249356,2.3042874948903584,,,4.297674418604651,,,,,,,,10.0,96.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,1.0,"KAMA(20,14,62)","{'kama_period': 20, 'kama_fast_ema_constant': 14, 'kama_slow_ema_constant': 62}","Price crossing KAMA line: buy on cross above, sell on cross below",0.3599610900761212,0.06190152177923447,35996.10900761212,-0.2901722076455141,0.1965824156707386,0.40352161903033823,0.6006948949803665,,,,,,0.10269154357645001,14.0,42.857142857142854,3.452815685505066,0.02460442172930602,0.0808162005367115,0.01755441237624808,4.603754247340087,,,2.734883720930233,,,,,,,,,,,20.0,14.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
