stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,ema1_period,ema2_period,ema3_period,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,Triple EMA,1.0,"EMA(6,90,131)","{'ema1_period': 6, 'ema2_period': 90, 'ema3_period': 131}",Triple EMA crossover strategy,1.4626509981734044,0.19250468880427207,146265.09981734044,-0.2782784168363215,0.2211187586003916,0.907070318892117,1.3428617713082796,,,,,,0.12360338874189522,18.0,38.88888888888889,5.111859556097942,0.06632403004873355,0.21202448322971498,0.02639444015734558,8.03292215958248,,,3.516279069767442,6.0,90.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,2.0,"EMA(6,92,131)","{'ema1_period': 6, 'ema2_period': 92, 'ema3_period': 131}",Triple EMA crossover strategy,1.4316210332531285,0.18955441623792124,143162.10332531284,-0.29843594453445066,0.22082801211519507,0.8967536221626226,1.3262562930499129,,,,,,0.12807921047972634,19.0,36.84210526315789,5.01030114766273,0.06218127242310676,0.21086379063569158,0.02455019653423438,8.589087681707538,,,3.7116279069767444,6.0,92.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,3.0,"EMA(6,90,129)","{'ema1_period': 6, 'ema2_period': 90, 'ema3_period': 129}",Triple EMA crossover strategy,1.4184498033462736,0.1882929545037335,141844.98033462735,-0.2782784168363224,0.22196508389008213,0.8885083785395081,1.3137529183383934,,,,,,0.12379131220767668,19.0,36.84210526315789,4.814104847525978,0.06188815491423977,0.21202448322971507,0.025691369936454156,8.252751167187391,,,3.7116279069767444,6.0,90.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,4.0,"EMA(6,90,130)","{'ema1_period': 6, 'ema2_period': 90, 'ema3_period': 130}",Triple EMA crossover strategy,1.4184498033462736,0.1882929545037335,141844.98033462735,-0.2782784168363224,0.22196508389008213,0.8885083785395081,1.3137529183383934,,,,,,0.12379131220767668,19.0,36.84210526315789,4.814104847525978,0.06188815491423977,0.21202448322971507,0.025691369936454156,8.252751167187391,,,3.7116279069767444,6.0,90.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,Triple EMA,5.0,"EMA(6,91,131)","{'ema1_period': 6, 'ema2_period': 91, 'ema3_period': 131}",Triple EMA crossover strategy,1.402481518558751,0.1867561724502118,140248.1518558751,-0.29591210188460104,0.22068693637083975,0.8865083145255431,1.3100730590120562,,,,,,0.12717194885447736,18.0,38.88888888888889,4.768619421872827,0.06516301450349185,0.2120244832297151,0.028294283776832005,7.493544805800156,,,3.516279069767442,6.0,91.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,1.0,"MACD(20,60,41)","{'macd_fast_period': 20, 'macd_slow_period': 60, 'macd_signal_period': 41}",MACD line crossing its signal line,1.0639207387961898,0.15205951335816414,106392.07387961897,-0.2769024491183246,0.22294630099213705,0.7455280341040624,1.1713474007983582,,,,,,0.10811926559413025,18.0,38.88888888888889,4.27013962782621,0.053745544839539285,0.18046488727183355,0.02689403670828434,6.710219415155472,,,3.516279069767442,,,,20.0,60.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,2.0,"MACD(14,64,40)","{'macd_fast_period': 14, 'macd_slow_period': 64, 'macd_signal_period': 40}",MACD line crossing its signal line,1.0562097203594736,0.15121742386037829,105620.97203594736,-0.24740235817262202,0.2259100509543609,0.7354678619517764,1.1500048855500415,,,,,,0.1106374772034972,23.0,52.17391304347826,3.499725576860912,0.041221035741999215,0.11061324863704514,0.03447956014350546,3.2080817787891696,,,4.493023255813954,,,,14.0,64.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,3.0,"MACD(23,60,40)","{'macd_fast_period': 23, 'macd_slow_period': 60, 'macd_signal_period': 40}",MACD line crossing its signal line,1.0253462168692526,0.1478212919685793,102534.62168692527,-0.2767329285825364,0.222969160201431,0.7289138873342137,1.1474562317619126,,,,,,0.11090713207436537,18.0,44.44444444444444,3.7526367934041116,0.05309416179195742,0.16286092936379237,0.034719252265510536,4.69079599175514,,,3.516279069767442,,,,23.0,60.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,4.0,"MACD(13,62,43)","{'macd_fast_period': 13, 'macd_slow_period': 62, 'macd_signal_period': 43}",MACD line crossing its signal line,1.0380651976664312,0.14922586272090665,103806.51976664312,-0.24740235817262235,0.22583949282693963,0.7279548031975892,1.1385021947468752,,,,,,0.1098439285119746,23.0,52.17391304347826,3.504060924476513,0.040793761256499604,0.10941253924222333,0.034063087455199044,3.2120558474368037,,,4.493023255813954,,,,13.0,62.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,MACD,5.0,"MACD(13,64,42)","{'macd_fast_period': 13, 'macd_slow_period': 64, 'macd_signal_period': 42}",MACD line crossing its signal line,1.0380651976664312,0.14922586272090665,103806.51976664312,-0.24740235817262235,0.22583949282693963,0.7279548031975892,1.1385021947468752,,,,,,0.1098439285119746,23.0,52.17391304347826,3.504060924476513,0.040793761256499604,0.10941253924222333,0.034063087455199044,3.2120558474368037,,,4.493023255813954,,,,13.0,64.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,1.0,AROON(24),{'aroon_timeperiod': 24},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",1.3198838965610773,0.17867319490946532,131988.38965610773,-0.2693980467066962,0.23844986412895502,0.8084802618037518,1.217228968950756,,,,,,0.1127315116311009,21.0,57.14285714285714,3.477426650148127,0.04883502035294013,0.1199572758874421,0.045994653693062486,2.608069987611095,,,4.102325581395349,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,2.0,AROON(23),{'aroon_timeperiod': 23},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",1.2855518778807227,0.17524521250877334,128555.18778807226,-0.30351029268543317,0.23926512854430418,0.7943733586259797,1.192530765565229,,,,,,0.11488872487760055,24.0,45.83333333333333,3.1718016457875304,0.04240344911619693,0.13511563372501376,0.03604532247587882,3.7484928541125364,,,4.688372093023256,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,3.0,AROON(25),{'aroon_timeperiod': 25},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",1.2455325908679815,0.17119667019146023,124553.25908679815,-0.31485281597253323,0.23791690303560528,0.783004278395645,1.1757702819956952,,,,,,0.12151311887787776,20.0,50.0,3.425396037148932,0.04972581091319252,0.14045590331407598,0.041004281487690974,3.425396037148932,,,3.906976744186047,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,AROON,4.0,AROON(22),{'aroon_timeperiod': 22},"AROON Up/Down crossover: buy when Up crosses above Down and Up > entry level, sell when Down crosses above Up",1.231782809769513,0.16979227413443643,123178.2809769513,-0.3254047840328689,0.23983773556405003,0.7736496602743868,1.1596779586254315,,,,,,0.11897987778750177,24.0,45.83333333333333,3.070944945702679,0.04160339598195533,0.13460178399672823,0.037087547722852506,3.6292985721940756,,,4.688372093023256,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
